Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
RB1		50	48	1001	4.8%	Yes
CD83		43	34	1001	3.4%	No
ZNF292		61	59	1001	5.9%	Yes
HNRNPU		25	25	1001	2.5%	No
CBLB		25	25	1001	2.5%	Yes
PRDM1		35	32	1001	3.2%	Yes
ETS1		10	10	1001	1.0%	Yes
IKZF3		27	26	1001	2.6%	Yes
ACTB		14	13	1001	1.3%	Yes
DCAF6		33	32	1001	3.2%	No
YY1		19	19	1001	1.9%	Yes
CCND3		33	33	1001	3.3%	Yes
TCL1A		20	16	1001	1.6%	Yes
GOLGA5		32	30	1001	3.0%	Yes
ZNF608		85	68	1001	6.8%	No
MYC		72	45	1001	4.5%	Yes
MYB		20	20	1001	2.0%	Yes
PIM1		274	147	1001	14.7%	Yes
EP300		58	57	1001	5.7%	Yes
PIM2		33	28	1001	2.8%	No
B2M		68	56	1001	5.6%	Yes
JUNB		32	31	1001	3.1%	No
KCMF1		13	12	1001	1.2%	No
MAP2K1		16	16	1001	1.6%	Yes
MEF2B		57	55	1001	5.5%	Yes
FBXW7		15	13	1001	1.3%	Yes
EBF1		47	41	1001	4.1%	Yes
DDX10		25	25	1001	2.5%	Yes
ARID5B		36	32	1001	3.2%	Yes
DICER1		22	22	1001	2.2%	Yes
RUNX1		17	17	1001	1.7%	Yes
FOXP1		14	14	1001	1.4%	Yes
MSH6		14	14	1001	1.4%	Yes
MSH2		40	38	1001	3.8%	Yes
RRAGC		23	23	1001	2.3%	Yes
TBL1XR1		61	53	1001	5.3%	Yes
BTK		28	28	1001	2.8%	Yes
TOX		24	22	1001	2.2%	No
TP53		96	93	1001	9.3%	Yes
CARD11		96	89	1001	8.9%	Yes
NOTCH2		76	73	1001	7.3%	Yes
ANKRD17		42	41	1001	4.1%	No
KMT2D		285	247	1001	24.7%	Yes
KLHL14		71	52	1001	5.2%	No
KMT2C		61	56	1001	5.6%	Yes
PIK3R1		14	13	1001	1.3%	Yes
BCL10		31	28	1001	2.8%	Yes
FOXO1		51	47	1001	4.7%	Yes
CD79B		52	47	1001	4.7%	Yes
SOCS1		147	92	1001	9.2%	Yes
BTBD3		15	15	1001	1.5%	No
UBR5		29	25	1001	2.5%	Yes
TNFRSF14		83	79	1001	7.9%	Yes
ZBTB7A		35	34	1001	3.4%	Yes
BRINP3		44	42	1001	4.2%	No
MARK1		26	26	1001	2.6%	No
MCL1		30	29	1001	2.9%	Yes
STAT5B		18	18	1001	1.8%	Yes
CREBBP		125	115	1001	11.5%	Yes
TIPARP		12	12	1001	1.2%	Yes
SETD1B		88	83	1001	8.3%	Yes
BRAF		19	19	1001	1.9%	Yes
UBE2A		32	32	1001	3.2%	Yes
INO80		49	49	1001	4.9%	No
POU2F2		23	22	1001	2.2%	Yes
NFKB2		22	22	1001	2.2%	Yes
SMARCA4		79	75	1001	7.5%	Yes
NFKBIA		37	30	1001	3.0%	Yes
H1-4		136	105	1001	10.5%	Yes
BCL6		46	45	1001	4.5%	Yes
FUBP1		18	18	1001	1.8%	Yes
ZFAT		21	21	1001	2.1%	No
BCL2		159	101	1001	10.1%	Yes
GNAS		40	38	1001	3.8%	Yes
HNRNPD		15	15	1001	1.5%	No
NF1		33	33	1001	3.3%	Yes
ATM		77	72	1001	7.2%	Yes
NFKBIE		37	37	1001	3.7%	Yes
CD22		21	20	1001	2.0%	Yes
MYD88		178	172	1001	17.2%	Yes
ATR		39	37	1001	3.7%	Yes
EZH2		61	61	1001	6.1%	Yes
SETD5		33	31	1001	3.1%	Yes
LIN54		15	13	1001	1.3%	No
CIITA		16	15	1001	1.5%	Yes
BTG2		67	58	1001	5.8%	Yes
SETD2		69	62	1001	6.2%	Yes
BTG1		48	39	1001	3.9%	Yes
DDX3X		32	32	1001	3.2%	Yes
CHD8		54	50	1001	5.0%	No
PTEN		12	12	1001	1.2%	Yes
PIK3CD		65	63	1001	6.3%	Yes
TNFAIP3		49	45	1001	4.5%	Yes
PTPRK		32	31	1001	3.1%	Yes
MAGT1		22	22	1001	2.2%	No
CHD1		38	37	1001	3.7%	No
PHF6		23	22	1001	2.2%	Yes
CDC73		9	9	1001	0.9%	Yes
IKBKB		22	22	1001	2.2%	Yes
CASP8		11	10	1001	1.0%	Yes
XPO1		21	21	1001	2.1%	Yes
BCL7A		49	45	1001	4.5%	Yes
MECOM		27	26	1001	2.6%	Yes
TMSB4X		23	22	1001	2.2%	No
HRAS		10	10	1001	1.0%	Yes
JAK3		44	43	1001	4.3%	Yes
JAK1		32	31	1001	3.1%	Yes
DUSP2		91	76	1001	7.6%	Yes
SYK		12	12	1001	1.2%	Yes
DNMT3A		48	46	1001	4.6%	Yes
TET2		70	62	1001	6.2%	Yes
IL16		34	32	1001	3.2%	No
PAX5		21	21	1001	2.1%	Yes
ARID1A		100	96	1001	9.6%	Yes
ZFX		15	15	1001	1.5%	No
ARID1B		87	83	1001	8.3%	Yes
RHOA		32	30	1001	3.0%	Yes
ETV6		44	38	1001	3.8%	Yes
TGFBR2		12	12	1001	1.2%	Yes
ZEB2		38	37	1001	3.7%	No
NCOR1		37	37	1001	3.7%	Yes
IRF4		51	38	1001	3.8%	Yes
RARA		20	19	1001	1.9%	Yes
WAC		21	21	1001	2.1%	No
IRF8		68	64	1001	6.4%	Yes
BIRC6		69	64	1001	6.4%	No
SGK1		86	67	1001	6.7%	Yes
MET		9	9	1001	0.9%	Yes
CHST2		34	30	1001	3.0%	No
CXCR4		14	14	1001	1.4%	Yes
GNAI2		22	22	1001	2.2%	No
GNA13		101	83	1001	8.3%	Yes
STAT6		56	53	1001	5.3%	Yes
CD58		27	22	1001	2.2%	Yes
S1PR2		28	19	1001	1.9%	Yes
SF3B1		30	25	1001	2.5%	Yes
MAP4K4		30	30	1001	3.0%	Yes
SPEN		112	101	1001	10.1%	Yes
TMEM30A		42	40	1001	4.0%	Yes
CD70		63	56	1001	5.6%	Yes
CDKN2A		30	29	1001	2.9%	Yes
MGA		76	75	1001	7.5%	Yes
STAT3		37	34	1001	3.4%	Yes
H2BC4		19	19	1001	1.9%	Yes
MTOR		65	64	1001	6.4%	Yes
KLHL6		79	67	1001	6.7%	Yes
FAS		18	17	1001	1.7%	Yes
KRAS		15	15	1001	1.5%	Yes
PTPN6		25	22	1001	2.2%	Yes
TAF1		35	34	1001	3.4%	Yes
