Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
ITSN2		1	1	143	0.7%	No
PGLYRP3		1	1	143	0.7%	No
TFRC		1	1	143	0.7%	Yes
IFT172		1	1	143	0.7%	No
ITSN1		1	1	143	0.7%	No
SCX		1	1	143	0.7%	No
ISM2		1	1	143	0.7%	No
PTPDC1		1	1	143	0.7%	No
ENDOU		2	2	143	1.4%	No
PRKACG		2	2	143	1.4%	No
GPBP1		1	1	143	0.7%	No
SUPT20H		1	1	143	0.7%	No
TRAJ44		1	1	143	0.7%	No
SPATA31G1		1	1	143	0.7%	No
IGHV3-35		1	1	143	0.7%	No
PHKA1		1	1	143	0.7%	No
UNC5C		1	1	143	0.7%	No
RC3H2		1	1	143	0.7%	No
SCO1		1	1	143	0.7%	No
RABL3		1	1	143	0.7%	No
ASPHD2		1	1	143	0.7%	No
SPATA31H1		1	1	143	0.7%	No
SKAP2		1	1	143	0.7%	No
FLG		2	2	143	1.4%	No
SLBP		1	1	143	0.7%	No
EXD3		1	1	143	0.7%	No
ZNF20		2	1	143	0.7%	No
TPRG1L		1	1	143	0.7%	No
PLA2G3		1	1	143	0.7%	No
BAZ2B		1	1	143	0.7%	No
ADAMTS12		1	1	143	0.7%	No
PLA2G7		1	1	143	0.7%	No
ADAMTS10		1	1	143	0.7%	No
ADAMTS16		1	1	143	0.7%	No
RNF214		1	1	143	0.7%	No
ADAMTS13		1	1	143	0.7%	No
AGMO		1	1	143	0.7%	No
EPB41L3		2	2	143	1.4%	No
KRTAP5-11		1	1	143	0.7%	No
MOV10L1		1	1	143	0.7%	No
PRPF38A		1	1	143	0.7%	No
EIF2AK3		1	1	143	0.7%	No
ZNF32		1	1	143	0.7%	No
TEX35		1	1	143	0.7%	No
OR4N2		1	1	143	0.7%	No
ZNF34		1	1	143	0.7%	No
BTBD10		1	1	143	0.7%	No
NR2F6		1	1	143	0.7%	No
TBL2		1	1	143	0.7%	No
AGO1		1	1	143	0.7%	Yes
AGO2		1	1	143	0.7%	Yes
ZNF30		1	1	143	0.7%	No
FAT1		3	3	143	2.1%	Yes
FAT2		2	2	143	1.4%	No
SFXN4		2	2	143	1.4%	No
DZIP1		1	1	143	0.7%	No
ZNF497		1	1	143	0.7%	No
ACHE		1	1	143	0.7%	No
GTF2H2C		1	1	143	0.7%	No
ZNF492		1	1	143	0.7%	No
KCNC2		2	1	143	0.7%	No
MTMR11		1	1	143	0.7%	No
KCNC3		1	1	143	0.7%	No
KDM8		1	1	143	0.7%	No
ZNF43		1	1	143	0.7%	No
ARHGAP5		2	2	143	1.4%	No
ARHGAP4		1	1	143	0.7%	No
OSBPL10		1	1	143	0.7%	No
MED12		1	1	143	0.7%	Yes
SULT1C3		1	1	143	0.7%	No
MED14		1	1	143	0.7%	No
GLT1D1		1	1	143	0.7%	No
MED13		2	2	143	1.4%	No
NEFM		1	1	143	0.7%	No
JAK2		1	1	143	0.7%	Yes
NINL		1	1	143	0.7%	No
SLC18A3		1	1	143	0.7%	No
MYBPC1		2	1	143	0.7%	No
ZNF483		1	1	143	0.7%	No
MYBPC2		1	1	143	0.7%	No
KCND2		1	1	143	0.7%	No
KCND3		1	1	143	0.7%	No
MAMDC2		1	1	143	0.7%	No
MED23		2	1	143	0.7%	No
PHF20L1		1	1	143	0.7%	No
MED25		1	1	143	0.7%	No
SLC7A7		1	1	143	0.7%	No
PXDN		3	3	143	2.1%	No
PTRH1		1	1	143	0.7%	No
PPARG		1	1	143	0.7%	Yes
OR52A1		1	1	143	0.7%	No
PPARA		2	2	143	1.4%	No
ACSBG2		1	1	143	0.7%	No
CRB2		2	2	143	1.4%	No
ECHS1		1	1	143	0.7%	No
KCNA1		1	1	143	0.7%	No
KCNA2		1	1	143	0.7%	No
CCM2L		1	1	143	0.7%	No
KCNA7		1	1	143	0.7%	No
ABCB11		1	1	143	0.7%	No
SLC7A1		1	1	143	0.7%	No
ZNF69		1	1	143	0.7%	No
EGFR		2	2	143	1.4%	Yes
FAM117B		1	1	143	0.7%	No
ADAM29		1	1	143	0.7%	No
NRAP		1	1	143	0.7%	No
SPP1		1	1	143	0.7%	No
ZSWIM8		1	1	143	0.7%	No
ZNF469		1	1	143	0.7%	No
SAMD3		1	1	143	0.7%	No
APEX2		1	1	143	0.7%	No
ADAM30		1	1	143	0.7%	No
ZNF79		1	1	143	0.7%	No
SNX20		1	1	143	0.7%	No
SKI		1	1	143	0.7%	No
NUDT21		1	1	143	0.7%	No
FAM200A		1	1	143	0.7%	No
SNX19		1	1	143	0.7%	No
CCDC9		1	1	143	0.7%	No
ETNK2		1	1	143	0.7%	No
CENPJ		1	1	143	0.7%	No
CENPL		1	1	143	0.7%	No
ADGRL1		1	1	143	0.7%	No
CENPO		1	1	143	0.7%	No
LGR5		2	2	143	1.4%	Yes
YPEL2		1	1	143	0.7%	No
TMEM167A		1	1	143	0.7%	No
CASC3		2	2	143	1.4%	No
APEH		1	1	143	0.7%	No
POTEH		1	1	143	0.7%	No
TNFRSF8		1	1	143	0.7%	No
MAP3K8		1	1	143	0.7%	No
MAP3K9		2	2	143	1.4%	No
NEK3		1	1	143	0.7%	No
POTEG		1	1	143	0.7%	No
MTPAP		1	1	143	0.7%	No
KCNH1		1	1	143	0.7%	No
MAP3K5		1	1	143	0.7%	No
UGT2B10		1	1	143	0.7%	No
KCNH4		1	1	143	0.7%	No
UGT2B11		1	1	143	0.7%	No
KCNH8		2	2	143	1.4%	No
FBXO15		1	1	143	0.7%	No
TPST1		1	1	143	0.7%	No
RINT1		1	1	143	0.7%	No
SMO		1	1	143	0.7%	Yes
PKP2		1	1	143	0.7%	No
PKP1		1	1	143	0.7%	No
SRSF4		1	1	143	0.7%	No
PKP3		1	1	143	0.7%	No
IL6ST		1	1	143	0.7%	Yes
PLA2R1		1	1	143	0.7%	No
ZNF433		1	1	143	0.7%	No
ZNF432		1	1	143	0.7%	No
GRIA1		1	1	143	0.7%	No
GRIA2		1	1	143	0.7%	No
KMT2D		1	1	143	0.7%	Yes
KMT2A		1	1	143	0.7%	Yes
KCNE4		1	1	143	0.7%	No
TMEM121B		1	1	143	0.7%	No
KMT2B		1	1	143	0.7%	Yes
CYP2C18		1	1	143	0.7%	No
SPATA6		1	1	143	0.7%	No
CCDC144A		2	2	143	1.4%	No
IGSF22		1	1	143	0.7%	No
IGSF21		1	1	143	0.7%	No
LOXHD1		1	1	143	0.7%	No
KRTAP4-4		1	1	143	0.7%	No
CERT1		1	1	143	0.7%	No
NEK9		1	1	143	0.7%	No
NOP14		1	1	143	0.7%	No
HTR1E		1	1	143	0.7%	No
ODF2		1	1	143	0.7%	No
HTR1A		1	1	143	0.7%	No
ARPC5		1	1	143	0.7%	No
CORO2A		1	1	143	0.7%	No
DMXL2		1	1	143	0.7%	No
LCN2		1	1	143	0.7%	No
OGT		1	1	143	0.7%	No
ZNF410		1	1	143	0.7%	No
PIWIL2		1	1	143	0.7%	No
BMP10		1	1	143	0.7%	No
ITGB4		2	2	143	1.4%	No
PTEN		3	3	143	2.1%	Yes
DYSF		2	2	143	1.4%	No
ITGAL		1	1	143	0.7%	No
TSPAN12		1	1	143	0.7%	No
BICD1		1	1	143	0.7%	No
RESF1		1	1	143	0.7%	No
KIAA1549		1	1	143	0.7%	No
PPP6R2		1	1	143	0.7%	No
SPDYE1		1	1	143	0.7%	No
UGT2A3		1	1	143	0.7%	No
ZNF404		1	1	143	0.7%	No
PGM1		2	2	143	1.4%	No
UNC45A		1	1	143	0.7%	No
GRID2		1	1	143	0.7%	No
ADGRV1		5	5	143	3.5%	No
GRID1		1	1	143	0.7%	No
CEP295		1	1	143	0.7%	No
ATRX		11	11	143	7.7%	Yes
ITGA1		1	1	143	0.7%	No
VPS13A		4	3	143	2.1%	No
MSL2		1	1	143	0.7%	No
AHSA1		1	1	143	0.7%	No
TNFRSF1B		1	1	143	0.7%	No
SEZ6L		2	2	143	1.4%	No
PCCA		1	1	143	0.7%	No
ZNF879		1	1	143	0.7%	No
ITGA8		1	1	143	0.7%	No
TOP1		2	2	143	1.4%	Yes
SMIM21		2	2	143	1.4%	No
TNFRSF21		1	1	143	0.7%	No
SPACA9		1	1	143	0.7%	No
OR56A1		1	1	143	0.7%	No
BLTP3B		1	1	143	0.7%	No
CANT1		1	1	143	0.7%	Yes
C1S		1	1	143	0.7%	No
IGHV3-43		1	1	143	0.7%	No
KRTAP29-1		1	1	143	0.7%	No
LRTM2		1	1	143	0.7%	No
ATP10D		1	1	143	0.7%	No
UGT2B28		1	1	143	0.7%	No
TBXT		2	2	143	1.4%	No
EHBP1		1	1	143	0.7%	No
IGF2BP1		1	1	143	0.7%	No
OR12D1		1	1	143	0.7%	No
TRIM46		2	2	143	1.4%	No
TRIM47		1	1	143	0.7%	No
MROH7-TTC4		1	1	143	0.7%	No
IGF2BP2		1	1	143	0.7%	No
