Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
RB1		173	169	5200	3.3%	Yes
MDC1		61	55	5200	1.1%	Yes
ARAF		32	31	5200	0.6%	Yes
PREX2		65	63	4126	1.5%	Yes
SOX17		46	45	5200	0.9%	Yes
PPP4R2		11	11	4126	0.3%	Yes
AKT2		15	15	5200	0.3%	Yes
MYC		21	21	5200	0.4%	Yes
AKT3		33	33	5200	0.6%	Yes
AKT1		254	250	5200	4.8%	Yes
DAXX		28	28	5200	0.5%	Yes
PRKCI		19	19	4126	0.5%	Yes
MEF2B		14	14	5200	0.3%	Yes
DICER1		43	41	5200	0.8%	Yes
KNSTRN		14	14	4126	0.3%	Yes
NUP93		44	41	4897	0.8%	Yes
AR		58	55	5200	1.1%	Yes
PRKAR1A		12	11	5200	0.2%	Yes
PRKD1		29	29	4126	0.7%	Yes
MAPKAP1		11	10	4126	0.2%	Yes
PRDM14		30	30	4126	0.7%	Yes
GATA3		806	783	5200	15.1%	Yes
BCL10		3	3	4897	<0.1%	Yes
GATA2		23	20	5200	0.4%	Yes
GATA1		22	22	5200	0.4%	Yes
GRIN2A		93	83	5200	1.6%	Yes
TERT		58	58	5200	1.1%	Yes
NTHL1		6	6	4126	0.1%	Yes
RAD21		35	33	4897	0.7%	Yes
PLCG2		40	34	4897	0.7%	Yes
NKX2-1		17	15	5200	0.3%	Yes
BARD1		33	32	5200	0.6%	Yes
LYN		24	24	4126	0.6%	Yes
CREBBP		115	111	5200	2.1%	Yes
JUN		26	25	5200	0.5%	Yes
PLK2		52	50	5200	1.0%	Yes
BRAF		30	30	5200	0.6%	Yes
H1-2		45	44	5200	0.8%	Yes
CYLD		18	18	4126	0.4%	Yes
AGO2		27	27	4126	0.7%	Yes
FAT1		172	157	5200	3.0%	Yes
REL		22	18	5200	0.3%	Yes
CDK12		67	60	5200	1.2%	Yes
EZH1		14	13	4126	0.3%	Yes
EZH2		31	31	5200	0.6%	Yes
RET		38	35	5200	0.7%	Yes
CDKN1A		19	19	5200	0.4%	Yes
SETD2		98	86	5200	1.7%	Yes
CDKN1B		74	72	5200	1.4%	Yes
CTCF		76	70	5200	1.3%	Yes
GLI1		41	40	4897	0.8%	Yes
PHF6		2	2	1036	0.2%	Yes
BBC3		16	16	5200	0.3%	Yes
MED12		77	71	5200	1.4%	Yes
NUF2		14	14	4126	0.3%	Yes
CTLA4		7	7	5200	0.1%	Yes
ELOC		4	4	4897	<0.1%	Yes
JAK2		53	52	5200	1.0%	Yes
CIC		57	57	5200	1.1%	Yes
JAK3		49	49	5200	0.9%	Yes
IKBKE		21	21	5200	0.4%	Yes
JAK1		86	76	5200	1.5%	Yes
DUSP4		11	10	4126	0.2%	Yes
SERPINB3		4	4	1036	0.4%	Yes
UPF1		30	30	4126	0.7%	Yes
SERPINB4		2	2	1036	0.2%	Yes
IFNGR1		21	21	5200	0.4%	Yes
TET2		61	56	5200	1.1%	Yes
RRAS2		8	8	4126	0.2%	Yes
TET1		81	69	5200	1.3%	Yes
PAX5		15	15	5200	0.3%	Yes
NCOR1		185	168	5200	3.2%	Yes
SDHAF2		9	9	5200	0.2%	Yes
RARA		41	39	5200	0.8%	Yes
POT1		5	5	1036	0.5%	Yes
PPARG		16	16	4126	0.4%	Yes
FH		22	22	5200	0.4%	Yes
GPS2		56	52	4897	1.1%	Yes
CENPA		6	6	4897	0.1%	Yes
EGFR		68	66	5200	1.3%	Yes
RECQL4		54	49	5200	0.9%	Yes
NSD3		44	40	4126	1.0%	Yes
NRAS		7	7	5200	0.1%	Yes
H3C13		3	3	4897	<0.1%	Yes
EPCAM		7	7	5200	0.1%	Yes
H3C11		13	13	4897	0.3%	Yes
NSD1		84	69	5200	1.3%	Yes
NSD2		29	28	4126	0.7%	Yes
