Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
RB1		67	67	2746	2.4%	Yes
MDC1		15	14	2746	0.5%	Yes
ARAF		8	8	2746	0.3%	Yes
PREX2		42	42	2310	1.8%	Yes
SOX17		9	9	2746	0.3%	Yes
PPP4R2		1	1	2310	<0.1%	Yes
AKT2		5	5	2746	0.2%	Yes
MYC		3	3	2746	0.1%	Yes
AKT3		15	14	2746	0.5%	Yes
AKT1		9	9	2746	0.3%	Yes
DAXX		8	8	2746	0.3%	Yes
PRKCI		12	12	2310	0.5%	Yes
MEF2B		12	12	2746	0.4%	Yes
DICER1		12	12	2746	0.4%	Yes
KNSTRN		2	2	2310	<0.1%	Yes
NUP93		10	10	2728	0.4%	Yes
AR		22	21	2746	0.8%	Yes
MTAP		1	1	996	0.1%	Yes
PRKAR1A		10	10	2746	0.4%	Yes
PRKD1		20	20	2310	0.9%	Yes
MAPKAP1		3	3	2310	0.1%	Yes
PRDM14		10	10	2310	0.4%	Yes
GATA3		6	6	2746	0.2%	Yes
BCL10		3	3	2728	0.1%	Yes
GATA2		8	8	2746	0.3%	Yes
GATA1		10	10	2746	0.4%	Yes
GRIN2A		29	28	2746	1.0%	Yes
TERT		26	26	2746	0.9%	Yes
NTHL1		2	2	2310	<0.1%	Yes
RAD21		6	5	2728	0.2%	Yes
PLCG2		13	13	2728	0.5%	Yes
NKX2-1		7	7	2746	0.3%	Yes
BARD1		9	9	2746	0.3%	Yes
LYN		6	6	2310	0.3%	Yes
CREBBP		26	23	2746	0.8%	Yes
JUN		12	12	2746	0.4%	Yes
PLK2		6	6	2746	0.2%	Yes
BRAF		32	32	2746	1.2%	Yes
H1-2		10	10	2746	0.4%	Yes
CYLD		5	5	2310	0.2%	Yes
AGO2		12	12	2310	0.5%	Yes
FAT1		33	32	2746	1.2%	Yes
REL		9	8	2746	0.3%	Yes
CDK12		16	16	2746	0.6%	Yes
EZH1		5	5	2310	0.2%	Yes
EZH2		7	7	2746	0.3%	Yes
RET		23	23	2746	0.8%	Yes
CDKN1A		4	4	2746	0.1%	Yes
SETD2		33	32	2746	1.2%	Yes
CDKN1B		1	1	2746	<0.1%	Yes
CTCF		8	8	2746	0.3%	Yes
GLI1		14	14	2728	0.5%	Yes
PHF6		1	1	996	0.1%	Yes
BBC3		2	2	2746	<0.1%	Yes
MED12		32	32	2746	1.2%	Yes
NUF2		3	3	2310	0.1%	Yes
CTLA4		1	1	2746	<0.1%	Yes
ELOC		2	2	2728	<0.1%	Yes
JAK2		14	14	2746	0.5%	Yes
CIC		25	22	2746	0.8%	Yes
JAK3		14	14	2746	0.5%	Yes
IKBKE		10	10	2746	0.4%	Yes
JAK1		10	10	2746	0.4%	Yes
DUSP4		5	5	2310	0.2%	Yes
UPF1		7	7	2310	0.3%	Yes
SERPINB4		1	1	996	0.1%	Yes
IFNGR1		3	3	2746	0.1%	Yes
TET2		19	17	2746	0.6%	Yes
RRAS2		3	3	2310	0.1%	Yes
TET1		13	13	2746	0.5%	Yes
PAX5		7	7	2746	0.3%	Yes
NCOR1		20	19	2746	0.7%	Yes
RARA		14	14	2746	0.5%	Yes
POT1		3	3	996	0.3%	Yes
PPARG		4	4	2310	0.2%	Yes
FH		10	10	2746	0.4%	Yes
GPS2		8	8	2728	0.3%	Yes
CENPA		1	1	2728	<0.1%	Yes
