Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
RB1		28	17	965	1.8%	Yes
MDC1		29	23	965	2.4%	Yes
ARAF		23	20	965	2.1%	Yes
SOX17		34	33	965	3.4%	Yes
AKT2		6	6	965	0.6%	Yes
MYC		9	9	965	0.9%	Yes
AKT3		19	15	965	1.6%	Yes
AKT1		14	13	965	1.3%	Yes
DAXX		9	8	965	0.8%	Yes
MEF2B		14	13	965	1.3%	Yes
DICER1		38	29	965	3.0%	Yes
NUP93		16	14	776	1.8%	Yes
AR		46	38	965	3.9%	Yes
PRKAR1A		6	5	965	0.5%	Yes
GATA3		20	18	965	1.9%	Yes
BCL10		6	5	776	0.6%	Yes
GATA2		8	8	965	0.8%	Yes
GATA1		9	9	965	0.9%	Yes
GRIN2A		56	47	965	4.9%	Yes
TERT		36	32	965	3.3%	Yes
RAD21		14	13	776	1.7%	Yes
PLCG2		32	28	776	3.6%	Yes
NKX2-1		14	13	965	1.3%	Yes
BARD1		15	14	965	1.5%	Yes
CREBBP		67	47	965	4.9%	Yes
JUN		26	23	965	2.4%	Yes
PLK2		9	8	965	0.8%	Yes
BRAF		116	109	965	11.3%	Yes
H1-2		11	10	965	1.0%	Yes
FAT1		98	61	965	6.3%	Yes
REL		12	9	965	0.9%	Yes
CDK12		31	27	965	2.8%	Yes
EZH2		7	6	965	0.6%	Yes
RET		22	22	965	2.3%	Yes
CDKN1A		3	3	965	0.3%	Yes
SETD2		57	43	965	4.5%	Yes
CDKN1B		9	9	965	0.9%	Yes
CTCF		32	27	965	2.8%	Yes
GLI1		34	30	776	3.9%	Yes
BBC3		5	5	965	0.5%	Yes
MED12		39	36	965	3.7%	Yes
CTLA4		9	9	965	0.9%	Yes
ELOC		1	1	776	0.1%	Yes
JAK2		11	9	965	0.9%	Yes
CIC		57	45	965	4.7%	Yes
JAK3		22	21	965	2.2%	Yes
IKBKE		15	13	965	1.3%	Yes
JAK1		31	21	965	2.2%	Yes
IFNGR1		16	11	965	1.1%	Yes
TET2		33	25	965	2.6%	Yes
TET1		49	34	965	3.5%	Yes
PAX5		17	17	965	1.8%	Yes
NCOR1		58	47	965	4.9%	Yes
SDHAF2		2	2	965	0.2%	Yes
RARA		14	14	965	1.5%	Yes
FH		7	7	965	0.7%	Yes
GPS2		8	8	776	1.0%	Yes
EGFR		21	18	965	1.9%	Yes
RECQL4		30	23	965	2.4%	Yes
NRAS		43	43	965	4.5%	Yes
EPCAM		2	2	965	0.2%	Yes
H3C11		1	1	776	0.1%	Yes
NSD1		36	30	965	3.1%	Yes
H3C12		5	5	776	0.6%	Yes
SPOP		7	6	965	0.6%	Yes
PMS2		10	9	965	0.9%	Yes
H3C10		3	3	776	0.4%	Yes
RICTOR		28	23	965	2.4%	Yes
SF3B1		31	22	965	2.3%	Yes
PMS1		16	13	965	1.3%	Yes
BRD4		30	30	965	3.1%	Yes
CDKN2B		12	12	965	1.2%	Yes
CDKN2C		5	5	965	0.5%	Yes
CDKN2A		17	17	965	1.8%	Yes
STAT3		7	7	776	0.9%	Yes
RYBP		5	5	965	0.5%	Yes
WT1		9	8	965	0.8%	Yes
INHA		10	10	776	1.3%	Yes
CRLF2		6	6	965	0.6%	Yes
CSF3R		16	16	776	2.1%	Yes
MRE11		25	22	965	2.3%	Yes
IRS1		34	31	965	3.2%	Yes
IRS2		34	29	965	3.0%	Yes
FGF3		14	12	965	1.2%	Yes
FGF4		5	5	965	0.5%	Yes
STK11		10	10	965	1.0%	Yes
CDH1		24	22	965	2.3%	Yes
PIM1		4	4	965	0.4%	Yes
NBN		17	16	965	1.7%	Yes
ROS1		57	37	965	3.8%	Yes
MEN1		13	12	965	1.2%	Yes
MAP2K4		24	22	965	2.3%	Yes
RNF43		98	75	965	7.8%	Yes
MAP2K1		18	17	965	1.8%	Yes
MAP2K2		7	6	965	0.6%	Yes
EIF1AX		6	6	965	0.6%	Yes
FBXW7		118	105	965	10.9%	Yes
MITF		24	23	965	2.4%	Yes
FOXP1		32	28	965	2.9%	Yes
MSH6		36	27	965	2.8%	Yes
MSH2		30	22	965	2.3%	Yes
SMO		31	27	965	2.8%	Yes
RAB35		3	3	776	0.4%	Yes
SRSF2		5	5	776	0.6%	Yes
PGR		18	15	776	1.9%	Yes
ERG		14	14	965	1.5%	Yes
NOTCH2		25	21	965	2.2%	Yes
CSF1R		25	22	965	2.3%	Yes
NOTCH3		88	67	965	6.9%	Yes
KMT2D		140	83	965	8.6%	Yes
CD274		4	4	965	0.4%	Yes
BLM		23	21	965	2.2%	Yes
DNMT1		35	29	965	3.0%	Yes
NOTCH1		74	55	965	5.7%	Yes
CBFB		8	8	965	0.8%	Yes
KMT2A		67	47	965	4.9%	Yes
