Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
EIF4A2		1	1	36	2.8%	Yes
RB1		9	7	55	12.7%	Yes
MDC1		5	5	55	9.1%	Yes
ERRFI1		1	1	36	2.8%	Yes
SMARCB1		1	1	55	1.8%	Yes
ARAF		2	2	55	3.6%	Yes
KEAP1		2	2	55	3.6%	Yes
IKZF1		4	4	55	7.3%	Yes
CRKL		3	3	55	5.5%	Yes
SOX2		3	3	55	5.5%	Yes
RPS6KA4		5	4	55	7.3%	Yes
SOX17		3	3	55	5.5%	Yes
PPP2R1A		5	4	55	7.3%	Yes
MYC		3	3	55	5.5%	Yes
CHEK2		3	3	55	5.5%	Yes
CHEK1		2	2	55	3.6%	Yes
AKT3		10	8	55	14.5%	Yes
KDR		16	14	55	25.5%	Yes
SOX9		2	2	55	3.6%	Yes
EPHB1		6	5	55	9.1%	Yes
TP63		10	7	55	12.7%	Yes
ICOSLG		1	1	55	1.8%	Yes
EPHA5		20	12	55	21.8%	Yes
DAXX		5	4	55	7.3%	Yes
EPHA7		16	9	36	25.0%	Yes
MEF2B		2	2	55	3.6%	Yes
HNF1A		6	6	55	10.9%	Yes
DICER1		7	5	55	9.1%	Yes
RUNX1		4	4	55	7.3%	Yes
INPP4A		7	7	55	12.7%	Yes
NUP93		4	4	36	11.1%	Yes
AR		4	3	55	5.5%	Yes
INPP4B		2	2	55	3.6%	Yes
PRKAR1A		1	1	55	1.8%	Yes
BTK		4	4	55	7.3%	Yes
TP53		77	46	55	83.6%	Yes
EPHA3		13	9	55	16.4%	Yes
PIK3R2		1	1	55	1.8%	Yes
GATA3		1	1	55	1.8%	Yes
MST1R		2	2	36	5.6%	Yes
PIK3R1		6	5	55	9.1%	Yes
GATA2		5	5	55	9.1%	Yes
GATA1		2	2	55	3.6%	Yes
GRIN2A		19	14	55	25.5%	Yes
BRIP1		6	5	55	9.1%	Yes
TERT		45	34	55	61.8%	Yes
RAD21		1	1	36	2.8%	Yes
PLCG2		4	4	36	11.1%	Yes
NKX2-1		1	1	55	1.8%	Yes
H3C3		2	2	36	5.6%	Yes
H3C2		3	2	55	3.6%	Yes
RBM10		4	4	55	7.3%	Yes
BARD1		2	2	55	3.6%	Yes
STAT5A		2	2	36	5.6%	Yes
STAT5B		3	3	36	8.3%	Yes
CREBBP		20	11	55	20.0%	Yes
JUN		3	3	55	5.5%	Yes
YES1		4	4	55	7.3%	Yes
INSR		10	10	55	18.2%	Yes
PLK2		3	3	55	5.5%	Yes
SH2D1A		1	1	55	1.8%	Yes
IGF2		3	3	55	5.5%	Yes
BRAF		3	2	55	3.6%	Yes
IGF1		4	4	55	7.3%	Yes
H1-2		2	2	55	3.6%	Yes
SMARCA4		8	8	55	14.5%	Yes
STAG2		2	2	55	3.6%	Yes
FUBP1		7	7	55	12.7%	Yes
FAT1		38	23	55	41.8%	Yes
REL		3	3	55	5.5%	Yes
ID3		1	1	36	2.8%	Yes
ATM		16	15	55	27.3%	Yes
CALR		1	1	36	2.8%	Yes
CDK12		7	6	55	10.9%	Yes
ATR		12	11	55	20.0%	Yes
