Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
EIF4A2		3	3	400	0.8%	Yes
RB1		46	45	522	8.6%	Yes
MDC1		14	9	522	1.7%	Yes
ERRFI1		3	3	400	0.8%	Yes
SMARCB1		7	6	522	1.1%	Yes
ARAF		6	5	522	1.0%	Yes
KEAP1		5	5	522	1.0%	Yes
IKZF1		10	9	522	1.7%	Yes
SOX2		4	4	522	0.8%	Yes
RPS6KA4		5	4	522	0.8%	Yes
SOX17		8	8	522	1.5%	Yes
PPP2R1A		3	3	522	0.6%	Yes
AKT2		7	6	522	1.1%	Yes
MYC		3	3	522	0.6%	Yes
CHEK2		2	2	522	0.4%	Yes
CHEK1		6	5	522	1.0%	Yes
AKT3		3	2	522	0.4%	Yes
KDR		11	9	522	1.7%	Yes
AKT1		4	4	522	0.8%	Yes
SOX9		5	5	522	1.0%	Yes
EPHB1		7	4	522	0.8%	Yes
TP63		8	8	522	1.5%	Yes
ICOSLG		2	2	522	0.4%	Yes
ACVR1		3	3	400	0.8%	Yes
EPHA5		12	9	522	1.7%	Yes
DAXX		8	8	522	1.5%	Yes
EPHA7		5	4	400	1.0%	Yes
HNF1A		6	5	522	1.0%	Yes
DICER1		10	9	522	1.7%	Yes
RUNX1		8	8	522	1.5%	Yes
INPP4A		7	6	522	1.1%	Yes
NUP93		4	4	400	1.0%	Yes
AR		9	8	522	1.5%	Yes
INPP4B		10	6	522	1.1%	Yes
PRKAR1A		2	2	522	0.4%	Yes
BTK		4	4	522	0.8%	Yes
TP53		263	206	522	39.5%	Yes
EPHA3		14	12	522	2.3%	Yes
DCUN1D1		2	2	522	0.4%	Yes
PIK3R3		4	3	522	0.6%	Yes
PIK3R2		10	8	522	1.5%	Yes
GATA3		2	2	522	0.4%	Yes
MST1R		10	8	400	2.0%	Yes
PIK3R1		53	49	522	9.4%	Yes
BCL10		1	1	400	0.3%	Yes
GATA2		5	5	522	1.0%	Yes
GATA1		3	2	522	0.4%	Yes
CD79B		1	1	522	0.2%	Yes
CD79A		1	1	400	0.3%	Yes
GRIN2A		20	14	522	2.7%	Yes
BRIP1		11	9	522	1.7%	Yes
TERT		361	351	522	67.2%	Yes
RAD21		4	4	400	1.0%	Yes
PLCG2		21	14	400	3.5%	Yes
NKX2-1		3	3	522	0.6%	Yes
H3C3		1	1	400	0.3%	Yes
H3C2		1	1	522	0.2%	Yes
H3C4		3	3	400	0.8%	Yes
RBM10		5	5	522	1.0%	Yes
H3C7		1	1	400	0.3%	Yes
H3C6		1	1	400	0.3%	Yes
BARD1		4	4	522	0.8%	Yes
STAT5A		3	2	400	0.5%	Yes
STAT5B		5	5	400	1.3%	Yes
ZRSR2		5	4	400	1.0%	Yes
CREBBP		24	15	522	2.9%	Yes
JUN		2	2	522	0.4%	Yes
YES1		5	5	522	1.0%	Yes
INSR		10	8	522	1.5%	Yes
XRCC2		3	3	400	0.8%	Yes
PLK2		5	5	522	1.0%	Yes
IGF2		4	4	522	0.8%	Yes
BRAF		11	11	522	2.1%	Yes
IGF1		3	2	522	0.4%	Yes
H1-2		3	3	522	0.6%	Yes
SMARCA4		30	26	522	5.0%	Yes
STAG2		26	23	522	4.4%	Yes
FUBP1		35	30	522	5.7%	Yes
FAT1		35	26	522	5.0%	Yes
REL		6	4	522	0.8%	Yes
ID3		1	1	400	0.3%	Yes
ATM		18	13	522	2.5%	Yes
CALR		3	2	400	0.5%	Yes
CDK12		5	5	522	1.0%	Yes
BAP1		5	5	522	1.0%	Yes
ATR		23	14	522	2.7%	Yes
EZH2		8	8	522	1.5%	Yes
RET		8	6	522	1.1%	Yes
PTPRT		17	12	522	2.3%	Yes
CDKN1A		2	2	522	0.4%	Yes
SETD2		36	29	522	5.6%	Yes
CDKN1B		3	3	522	0.6%	Yes
PTPRS		11	9	522	1.7%	Yes
