Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
RB1		41	41	1312	3.1%	Yes
MDC1		16	16	1312	1.2%	Yes
ARAF		6	5	1312	0.4%	Yes
SOX17		15	15	1312	1.1%	Yes
AKT2		8	8	1312	0.6%	Yes
MYC		5	5	1312	0.4%	Yes
AKT3		6	6	1312	0.5%	Yes
AKT1		72	70	1312	5.3%	Yes
DAXX		10	10	1312	0.8%	Yes
MEF2B		2	2	1312	0.2%	Yes
DICER1		17	14	1312	1.1%	Yes
NUP93		8	7	884	0.8%	Yes
AR		16	16	1312	1.2%	Yes
PRKAR1A		3	3	1312	0.2%	Yes
GATA3		192	187	1312	14.3%	Yes
GATA2		7	6	1312	0.5%	Yes
GATA1		5	5	1312	0.4%	Yes
GRIN2A		25	21	1312	1.6%	Yes
TERT		21	21	1312	1.6%	Yes
RAD21		7	6	884	0.7%	Yes
PLCG2		3	3	884	0.3%	Yes
NKX2-1		6	6	1312	0.5%	Yes
BARD1		16	16	1312	1.2%	Yes
CREBBP		31	30	1312	2.3%	Yes
JUN		8	8	1312	0.6%	Yes
PLK2		18	17	1312	1.3%	Yes
BRAF		4	4	1312	0.3%	Yes
H1-2		13	13	1312	1.0%	Yes
FAT1		48	45	1312	3.4%	Yes
REL		7	7	1312	0.5%	Yes
CDK12		20	14	1312	1.1%	Yes
EZH2		9	9	1312	0.7%	Yes
RET		11	10	1312	0.8%	Yes
CDKN1A		8	7	1312	0.5%	Yes
SETD2		25	21	1312	1.6%	Yes
CDKN1B		13	13	1312	1.0%	Yes
CTCF		20	19	1312	1.4%	Yes
GLI1		12	12	884	1.4%	Yes
BBC3		6	5	1312	0.4%	Yes
MED12		27	27	1312	2.1%	Yes
CTLA4		1	1	1312	<0.1%	Yes
ELOC		1	1	884	0.1%	Yes
JAK2		8	8	1312	0.6%	Yes
CIC		17	17	1312	1.3%	Yes
JAK3		16	16	1312	1.2%	Yes
IKBKE		9	9	1312	0.7%	Yes
JAK1		24	20	1312	1.5%	Yes
IFNGR1		5	5	1312	0.4%	Yes
TET2		18	17	1312	1.3%	Yes
TET1		26	24	1312	1.8%	Yes
PAX5		3	3	1312	0.2%	Yes
NCOR1		62	53	1312	4.0%	Yes
SDHAF2		1	1	1312	<0.1%	Yes
RARA		14	12	1312	0.9%	Yes
FH		3	3	1312	0.2%	Yes
GPS2		10	10	884	1.1%	Yes
CENPA		1	1	884	0.1%	Yes
EGFR		20	18	1312	1.4%	Yes
RECQL4		15	15	1312	1.1%	Yes
NRAS		2	2	1312	0.2%	Yes
EPCAM		4	4	1312	0.3%	Yes
H3C11		4	4	884	0.5%	Yes
NSD1		35	30	1312	2.3%	Yes
H3C12		3	3	884	0.3%	Yes
SPOP		12	12	1312	0.9%	Yes
PMS2		3	3	1312	0.2%	Yes
H3C10		2	2	884	0.2%	Yes
RICTOR		21	21	1312	1.6%	Yes
SF3B1		22	22	1312	1.7%	Yes
PMS1		10	10	1312	0.8%	Yes
BRD4		13	13	1312	1.0%	Yes
CDKN2B		1	1	1312	<0.1%	Yes
CDKN2A		21	20	1312	1.5%	Yes
STAT3		5	5	884	0.6%	Yes
RYBP		3	3	1312	0.2%	Yes
WT1		7	7	1312	0.5%	Yes
INHA		3	3	884	0.3%	Yes
CSF3R		4	4	884	0.5%	Yes
MRE11		2	2	1312	0.2%	Yes
IRS1		7	7	1312	0.5%	Yes
IRS2		11	10	1312	0.8%	Yes
FGF3		3	3	1312	0.2%	Yes
FGF4		3	3	1312	0.2%	Yes
STK11		16	16	1312	1.2%	Yes
CDH1		195	193	1312	14.7%	Yes
PIM1		3	3	1312	0.2%	Yes
