Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
ITSN2		1	1	26	3.8%	No
TSKS		1	1	26	3.8%	No
ISM1		1	1	26	3.8%	No
NDST2		1	1	26	3.8%	No
ENDOU		1	1	26	3.8%	No
TBK1		1	1	26	3.8%	No
PRKACG		1	1	26	3.8%	No
ZC3H12B		1	1	26	3.8%	No
NDST3		1	1	26	3.8%	No
ANKFY1		1	1	26	3.8%	No
BBX		1	1	26	3.8%	No
SUPT20H		1	1	26	3.8%	No
PKNOX1		1	1	26	3.8%	No
VSTM4		1	1	26	3.8%	No
WLS		1	1	26	3.8%	No
FNBP4		1	1	26	3.8%	No
TEX55		1	1	26	3.8%	No
RC3H1		1	1	26	3.8%	No
UNC5C		1	1	26	3.8%	No
CACNA2D4		1	1	26	3.8%	No
UNC5D		1	1	26	3.8%	No
PHKA2		1	1	26	3.8%	No
FRS3		1	1	26	3.8%	No
ABITRAM		1	1	26	3.8%	No
LRATD2		1	1	26	3.8%	No
ASPHD1		1	1	26	3.8%	No
UNC50		1	1	26	3.8%	No
AGTR1		1	1	26	3.8%	No
MPPE1		1	1	26	3.8%	No
CLOCK		2	2	26	7.7%	No
SKAP2		1	1	26	3.8%	No
FLG		4	2	26	7.7%	No
EXD2		1	1	26	3.8%	No
UNC119B		1	1	26	3.8%	No
SHMT1		1	1	26	3.8%	No
ZNF20		1	1	26	3.8%	No
BAZ2A		1	1	26	3.8%	No
GATA3		2	1	26	3.8%	Yes
BAZ2B		2	1	26	3.8%	No
ADAMTS10		2	2	26	7.7%	No
SULT1A1		1	1	26	3.8%	No
ADAMTS16		1	1	26	3.8%	No
PRPSAP2		1	1	26	3.8%	No
ADAMTS13		1	1	26	3.8%	No
RNF213		3	2	26	7.7%	Yes
EPB41L1		1	1	26	3.8%	No
HLCS		1	1	26	3.8%	No
EPB41L3		1	1	26	3.8%	No
RNF217		1	1	26	3.8%	No
MOV10L1		1	1	26	3.8%	No
JAG2		1	1	26	3.8%	No
BTBD17		1	1	26	3.8%	No
BTBD18		1	1	26	3.8%	No
EIF2AK1		2	2	26	7.7%	No
BTBD16		1	1	26	3.8%	No
OR4N2		1	1	26	3.8%	No
NR2F2		1	1	26	3.8%	No
LARP4		1	1	26	3.8%	No
FAM111B		1	1	26	3.8%	No
PKIB		1	1	26	3.8%	No
PPFIBP2		1	1	26	3.8%	No
VANGL2		1	1	26	3.8%	No
AGO1		1	1	26	3.8%	Yes
AGO2		1	1	26	3.8%	Yes
FAT1		1	1	26	3.8%	Yes
C19ORF47		1	1	26	3.8%	No
HYOU1		1	1	26	3.8%	No
FAT3		2	2	26	7.7%	No
ARHGAP8		1	1	26	3.8%	No
KCNC4		1	1	26	3.8%	No
ARHGAP5		2	1	26	3.8%	No
SHB		2	1	26	3.8%	No
ARHGAP6		1	1	26	3.8%	No
ZNF48		1	1	26	3.8%	No
ARHGAP4		2	1	26	3.8%	No
MED17		1	1	26	3.8%	No
NPAP1		2	1	26	3.8%	No
PANX2		1	1	26	3.8%	No
GGTLC1		1	1	26	3.8%	No
SHH		1	1	26	3.8%	No
MMP25		1	1	26	3.8%	No
MED13		1	1	26	3.8%	No
NHSL1		2	1	26	3.8%	No
DLGAP3		1	1	26	3.8%	No
DLGAP2		1	1	26	3.8%	No
DLGAP5		2	2	26	7.7%	No
SLC18A3		1	1	26	3.8%	No
DUSP5		1	1	26	3.8%	No
MAMDC4		1	1	26	3.8%	No
MYBPC1		1	1	26	3.8%	No
ZNF483		1	1	26	3.8%	No
MYBPC2		1	1	26	3.8%	No
CHST7		1	1	26	3.8%	No
TEX11		2	2	26	7.7%	No
WNT9B		1	1	26	3.8%	No
