Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
C5ORF22		1	1	35	2.9%	No
MDC1		1	1	35	2.9%	Yes
ZFYVE9		1	1	35	2.9%	No
EHMT2		1	1	35	2.9%	No
IFT172		1	1	35	2.9%	No
TEX47		1	1	35	2.9%	No
NOC2L		1	1	35	2.9%	No
CLDN1		1	1	35	2.9%	No
BBX		1	1	35	2.9%	No
TMEM8B		1	1	35	2.9%	No
SPATA31G1		1	1	35	2.9%	No
GBP6		1	1	35	2.9%	No
STARD6		1	1	35	2.9%	No
ZNF282		1	1	35	2.9%	No
ESX1		1	1	35	2.9%	No
RFX3		1	1	35	2.9%	No
RC3H1		1	1	35	2.9%	No
RNASE2		1	1	35	2.9%	No
HDHD3		1	1	35	2.9%	No
SIGIRR		1	1	35	2.9%	No
FLG2		1	1	35	2.9%	No
RBP4		1	1	35	2.9%	No
SLC5A9		1	1	35	2.9%	No
MYL1		1	1	35	2.9%	No
RFX4		1	1	35	2.9%	No
IDO1		1	1	35	2.9%	No
FLG		1	1	35	2.9%	No
ZNF274		1	1	35	2.9%	No
NYAP1		1	1	35	2.9%	No
FLII		1	1	35	2.9%	No
SHMT1		1	1	35	2.9%	No
IL20RA		1	1	35	2.9%	No
CDCA7		1	1	35	2.9%	No
CLCNKA		1	1	35	2.9%	No
ZNF22		1	1	35	2.9%	No
CYP2B6		1	1	35	2.9%	No
LARP1		1	1	35	2.9%	No
PDGFD		1	1	35	2.9%	No
ADAMTS18		1	1	35	2.9%	No
CFAP65		2	2	35	5.7%	No
RHBDL1		1	1	35	2.9%	No
B3GALNT2		1	1	35	2.9%	No
COL24A1		1	1	35	2.9%	No
OR2J2		2	2	35	5.7%	No
GRIN2B		1	1	35	2.9%	No
DAZL		1	1	35	2.9%	No
TBL3		1	1	35	2.9%	No
GRIN3B		1	1	35	2.9%	No
COL1A2		1	1	35	2.9%	No
FANCD2OS		1	1	35	2.9%	No
DCHS2		1	1	35	2.9%	No
FASN		1	1	35	2.9%	No
FAT3		1	1	35	2.9%	No
FAT4		1	1	35	2.9%	Yes
PIGN		1	1	35	2.9%	No
PRKAG1		1	1	35	2.9%	No
ARHGAP5		1	1	35	2.9%	No
ECSIT		1	1	35	2.9%	Yes
PEAR1		2	1	35	2.9%	No
MED17		1	1	35	2.9%	No
IKBKB		1	1	35	2.9%	Yes
EEA1		1	1	35	2.9%	No
SMPD3		1	1	35	2.9%	No
CASP14		1	1	35	2.9%	No
TUBA1A		1	1	35	2.9%	No
OR52B4		1	1	35	2.9%	No
JAK1		1	1	35	2.9%	Yes
DUSP4		1	1	35	2.9%	Yes
APC2		3	2	35	5.7%	No
CRPPA		1	1	35	2.9%	No
LRRC49		1	1	35	2.9%	No
NSUN3		1	1	35	2.9%	No
TMC7		1	1	35	2.9%	No
LRRD1		1	1	35	2.9%	No
VAMP8		1	1	35	2.9%	No
MMP11		1	1	35	2.9%	No
