Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
ATF1		4	4	2018	0.2%	Yes
RB1		135	129	2018	6.4%	Yes
PRSS1		34	31	2018	1.5%	Yes
ARAF		13	13	2018	0.6%	Yes
PREX2		88	83	2018	4.1%	Yes
CYP2D6		12	12	2018	0.6%	No
AKT2		17	16	2018	0.8%	Yes
MYC		19	19	2018	0.9%	Yes
CREB3L1		10	10	2018	0.5%	Yes
MYB		18	18	2018	0.9%	Yes
AKT3		15	15	2018	0.7%	Yes
CREB3L2		15	15	2018	0.7%	Yes
AKT1		12	11	2018	0.5%	Yes
PRSS8		9	8	2018	0.4%	Yes
PRKACA		6	6	2018	0.3%	Yes
DAXX		20	19	2018	0.9%	Yes
PRKCI		20	19	2018	0.9%	Yes
FRS2		15	14	2018	0.7%	Yes
DICER1		36	33	2018	1.6%	Yes
SOX10		12	12	2018	0.6%	Yes
BCR		28	26	2018	1.3%	Yes
NUP93		11	11	2018	0.5%	Yes
AR		31	31	2018	1.5%	Yes
EWSR1		15	13	2018	0.6%	Yes
PRKAR1A		3	3	2018	0.1%	Yes
PRKDC		107	99	2018	4.9%	Yes
GATA6		27	27	2018	1.3%	Yes
PDGFB		10	10	2018	0.5%	Yes
GATA4		23	23	2018	1.1%	Yes
GATA3		28	28	2018	1.4%	Yes
GATA2		23	21	2018	1.0%	Yes
GATA1		14	14	2018	0.7%	Yes
GRIN2A		107	99	2018	4.9%	Yes
TERT		89	87	2018	4.3%	Yes
PLCG2		31	29	2018	1.4%	Yes
NKX2-1		22	19	2018	0.9%	Yes
BARD1		28	28	2018	1.4%	Yes
LYN		10	10	2018	0.5%	Yes
CREBBP		88	85	2018	4.2%	Yes
JUN		8	8	2018	0.4%	Yes
SRMS		23	22	2018	1.1%	No
TIPARP		9	9	2018	0.4%	Yes
BRAF		75	74	2018	3.7%	Yes
FLI1		21	19	2018	0.9%	Yes
COL1A1		33	31	2018	1.5%	Yes
CYLD		37	36	2018	1.8%	Yes
FAM135B		190	164	2018	8.1%	No
FAT1		159	141	2018	7.0%	Yes
REL		11	11	2018	0.5%	Yes
FAT3		270	222	2018	11.0%	No
CDK12		25	25	2018	1.2%	Yes
FAT4		168	138	2018	6.8%	Yes
EZH2		9	9	2018	0.4%	Yes
RET		58	56	2018	2.8%	Yes
ITK		42	41	2018	2.0%	Yes
CDKN1A		6	6	2018	0.3%	Yes
SETD2		103	84	2018	4.2%	Yes
BTG1		9	9	2018	0.4%	Yes
CDKN1B		14	14	2018	0.7%	Yes
CTCF		15	14	2018	0.7%	Yes
GLI1		55	48	2018	2.4%	Yes
GLI3		81	74	2018	3.7%	No
GLI2		91	80	2018	4.0%	No
MED12		82	81	2018	4.0%	Yes
JAK2		26	26	2018	1.3%	Yes
CIC		52	46	2018	2.3%	Yes
JAK3		38	34	2018	1.7%	Yes
IKBKE		19	19	2018	0.9%	Yes
JAK1		25	23	2018	1.1%	Yes
SS18		8	8	2018	0.4%	Yes
TET2		63	60	2018	3.0%	Yes
TET1		63	61	2018	3.0%	Yes
FOS		8	8	2018	0.4%	No
PAX5		17	17	2018	0.8%	Yes
NCOR1		48	46	2018	2.3%	Yes
DPYD		35	34	2018	1.7%	Yes
TET3		42	42	2018	2.1%	Yes
RARA		17	17	2018	0.8%	Yes
FH		18	18	2018	0.9%	Yes
EGFR		1139	953	2018	47.2%	Yes
ADAM29		35	33	2018	1.6%	No
NRAS		10	10	2018	0.5%	Yes
EPCAM		5	5	2018	0.2%	Yes
NSD1		39	38	2018	1.9%	Yes
NSD2		29	29	2018	1.4%	Yes
STAT4		19	19	2018	0.9%	Yes
SPOP		7	7	2018	0.3%	Yes
PMS2		24	24	2018	1.2%	Yes
RICTOR		27	25	2018	1.2%	Yes
SF3B1		41	40	2018	2.0%	Yes
RUNX1T1		76	68	2018	3.4%	Yes
BRD4		32	30	2018	1.5%	Yes
CDKN2B		2	2	2018	<0.1%	Yes
CDKN2C		5	5	2018	0.2%	Yes
GABRA6		33	32	2018	1.6%	Yes
CRBN		9	9	2018	0.4%	Yes
CDKN2A		171	165	2018	8.2%	Yes
CSNK1A1		9	9	2018	0.4%	No
MGMT		13	11	2018	0.5%	No
STAT3		20	20	2018	1.0%	Yes
SNCAIP		21	21	2018	1.0%	Yes
GID4		2	2	2018	<0.1%	Yes
NFIB		9	9	2018	0.4%	Yes
WT1		35	34	2018	1.7%	Yes
APEX1		6	6	2018	0.3%	No
ZNF217		21	21	2018	1.0%	Yes
MRE11		22	21	2018	1.0%	Yes
CSF1		11	11	2018	0.5%	Yes
TPMT		7	7	2018	0.3%	No
IRS2		42	38	2018	1.9%	Yes
FGF3		17	16	2018	0.8%	Yes
FGF4		15	15	2018	0.7%	Yes
FGF6		21	21	2018	1.0%	Yes
FGF7		3	3	2018	0.1%	Yes
STK11		111	104	2018	5.2%	Yes
CDH1		18	18	2018	0.9%	Yes
NBN		20	19	2018	0.9%	Yes
ROS1		66	61	2018	3.0%	Yes
MEN1		19	18	2018	0.9%	Yes
