Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
RB1		11	11	122	9.0%	Yes
SMARCB1		1	1	122	0.8%	Yes
PRDM1		1	1	122	0.8%	Yes
IKZF1		2	2	122	1.6%	Yes
IGF1R		1	1	122	0.8%	Yes
PREX2		2	2	122	1.6%	Yes
CCND3		1	1	122	0.8%	Yes
MYC		1	1	122	0.8%	Yes
CCN6		1	1	122	0.8%	Yes
AKT3		1	1	122	0.8%	Yes
CREB3L2		1	1	122	0.8%	Yes
EP300		2	2	122	1.6%	Yes
EPHB1		1	1	122	0.8%	Yes
ROS1		1	1	122	0.8%	Yes
EPHA5		1	1	122	0.8%	Yes
PDGFRA		1	1	122	0.8%	Yes
DAXX		1	1	122	0.8%	Yes
SPINK1		1	1	122	0.8%	No
FBXW7		1	1	122	0.8%	Yes
HGF		2	2	122	1.6%	Yes
MAGI2		1	1	122	0.8%	Yes
RECQL		1	1	122	0.8%	Yes
TSC2		1	1	122	0.8%	Yes
TSC1		1	1	122	0.8%	Yes
HNF1A		1	1	122	0.8%	Yes
FOXP1		1	1	122	0.8%	Yes
MSH2		1	1	122	0.8%	Yes
SMO		1	1	122	0.8%	Yes
BTK		1	1	122	0.8%	Yes
TP53		32	31	122	25.4%	Yes
CFTR		3	3	122	2.5%	No
EPHA2		1	1	122	0.8%	No
NOTCH2		3	3	122	2.5%	Yes
NOTCH3		2	2	122	1.6%	Yes
KMT2D		5	4	122	3.3%	Yes
NOTCH1		1	1	122	0.8%	Yes
KMT2A		2	2	122	1.6%	Yes
PRKDC		1	1	122	0.8%	Yes
NOTCH4		1	1	122	0.8%	Yes
KMT2C		6	5	122	4.1%	Yes
PDGFB		1	1	122	0.8%	Yes
GATA4		1	1	122	0.8%	Yes
MST1R		1	1	122	0.8%	Yes
PIK3R1		1	1	122	0.8%	Yes
CD79B		1	1	122	0.8%	Yes
SPTA1		3	3	122	2.5%	No
GRIN2A		3	3	122	2.5%	Yes
TERT		2	2	122	1.6%	Yes
ZNF703		2	2	122	1.6%	Yes
CAMTA1		1	1	122	0.8%	Yes
SMAD2		2	2	122	1.6%	Yes
CREBBP		3	2	122	1.6%	Yes
SMAD3		1	1	122	0.8%	Yes
IDH1		1	1	122	0.8%	Yes
PTCH1		1	1	122	0.8%	Yes
TNK2		1	1	122	0.8%	No
IGF2		1	1	122	0.8%	Yes
FANCE		1	1	122	0.8%	Yes
PTK2		1	1	122	0.8%	No
LRP1B		3	3	122	2.5%	Yes
COL1A1		7	6	122	4.9%	Yes
FAM135B		1	1	122	0.8%	No
CDK6		1	1	122	0.8%	Yes
FGF14		1	1	122	0.8%	Yes
STAG2		1	1	122	0.8%	Yes
BCL6		2	2	122	1.6%	Yes
FAT1		1	1	122	0.8%	Yes
GNAS		2	2	122	1.6%	Yes
NF1		1	1	122	0.8%	Yes
ATM		1	1	122	0.8%	Yes
FAT3		1	1	122	0.8%	No
NF2		2	2	122	1.6%	Yes
FAT4		3	2	122	1.6%	Yes
MAP3K13		1	1	122	0.8%	Yes
