Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
RB1		18	13	417	3.1%	Yes
ABCA13		32	16	417	3.8%	No
PREX2		24	15	417	3.6%	Yes
CREB3L4		3	3	417	0.7%	No
MYC		1	1	417	0.2%	Yes
IGLON5		1	1	417	0.2%	No
DPYSL3		5	5	417	1.2%	No
AKT3		3	3	417	0.7%	Yes
AKT1		3	3	417	0.7%	Yes
BBX		3	3	417	0.7%	No
NUP214		6	6	417	1.4%	Yes
CUBN		27	19	417	4.6%	No
PRKCI		6	6	417	1.4%	Yes
DAPK1		11	11	417	2.6%	No
RPL22		2	2	417	0.5%	Yes
ESX1		23	20	417	4.8%	No
MRTFA		3	3	417	0.7%	Yes
UNC5C		11	10	417	2.4%	No
DICER1		9	9	417	2.2%	Yes
FRS3		7	7	417	1.7%	No
HCFC1		6	6	417	1.4%	No
OBSCN-AS1		1	1	417	0.2%	No
ASTN2		15	14	417	3.4%	No
CGGBP1		3	3	417	0.7%	No
ASTN1		23	16	417	3.8%	No
SRCAP		13	12	417	2.9%	No
GATA6		3	2	417	0.5%	Yes
PDGFA		3	3	417	0.7%	No
GATA3		5	5	417	1.2%	Yes
PRDM11		1	1	417	0.2%	No
SLC5A5		6	6	417	1.4%	No
RNF213		28	21	417	5.0%	Yes
TERT		8	6	417	1.4%	Yes
HLCS		4	4	417	1.0%	No
NKX2-1		2	2	417	0.5%	Yes
BARD1		6	6	417	1.4%	Yes
ABCA2		9	9	417	2.2%	No
CREBBP		12	11	417	2.6%	Yes
JUN		4	4	417	1.0%	Yes
ST14		3	3	417	0.7%	No
HACE1		8	6	417	1.4%	No
NR2F1		7	6	417	1.4%	No
BRAF		15	14	417	3.4%	Yes
ABCA7		10	9	417	2.2%	No
PBX1		6	6	417	1.4%	Yes
NFATC4		4	4	417	1.0%	No
MLLT11		2	2	417	0.5%	Yes
FAT2		33	20	417	4.8%	No
CDK10		3	3	417	0.7%	No
HYOU1		3	3	417	0.7%	No
FAT3		46	27	417	6.5%	No
EZH2		3	2	417	0.5%	Yes
RET		10	10	417	2.4%	Yes
PIGR		4	3	417	0.7%	No
RARG		1	1	417	0.2%	No
SMG1		7	7	417	1.7%	Yes
SETD2		18	12	417	2.9%	Yes
CDKN1B		5	5	417	1.2%	Yes
GPT		1	1	417	0.2%	No
GLI3		21	19	417	4.6%	No
IKBKB		5	5	417	1.2%	Yes
MED12		21	15	417	3.6%	Yes
ADAMTSL3		11	10	417	2.4%	No
TIMP3		3	3	417	0.7%	No
JARID2		14	9	417	2.2%	Yes
JAK3		6	6	417	1.4%	Yes
TPI1		3	3	417	0.7%	No
TET2		9	7	417	1.7%	Yes
TET1		12	7	417	1.7%	Yes
SIRT6		5	5	417	1.2%	No
FOS		2	2	417	0.5%	No
PAX5		1	1	417	0.2%	Yes
DDB2		1	1	417	0.2%	Yes
KAT2A		5	5	417	1.2%	No
ZEB2		14	9	417	2.2%	No
NCOR1		14	10	417	2.4%	Yes
MRAS		4	4	417	1.0%	No
TAL1		2	2	417	0.5%	Yes
PXDN		26	23	417	5.5%	No
TET3		5	5	417	1.2%	Yes
FH		3	3	417	0.7%	Yes
COL11A1		17	15	417	3.6%	No
KCNA4		18	12	417	2.9%	No
EGFR		2	2	417	0.5%	Yes
NRAS		11	11	417	2.6%	Yes
WRN		11	10	417	2.4%	Yes
GPAT4		5	5	417	1.2%	No
NSD1		14	10	417	2.4%	Yes
SPOP		3	3	417	0.7%	Yes
CSMD3		54	34	417	8.2%	No
BRD7		7	5	417	1.2%	No
SF3B1		21	21	417	5.0%	Yes
P4HTM		5	5	417	1.2%	No
CSMD1		34	24	417	5.8%	No
PMS1		1	1	417	0.2%	Yes
CDKN2A		13	13	417	3.1%	Yes
ADAM33		8	7	417	1.7%	No
HIPK3		6	6	417	1.4%	No
GATM		4	4	417	1.0%	No
WT1		8	5	417	1.2%	Yes
PLCD1		3	2	417	0.5%	No
CSF3R		7	7	417	1.7%	Yes
CTNND2		8	8	417	1.9%	No
LTN1		11	11	417	2.6%	No
YEATS4		1	1	417	0.2%	No
CDH8		19	12	417	2.9%	No
YY1		2	1	417	0.2%	Yes
FOXQ1		3	3	417	0.7%	No
CDH5		7	7	417	1.7%	No
RIMS1		19	15	417	3.6%	No
STK11		24	23	417	5.5%	Yes
CDH2		9	6	417	1.4%	Yes
TNN		11	10	417	2.4%	No
ROS1		24	12	417	2.9%	Yes
KCNH1		11	9	417	2.2%	No
MEN1		5	4	417	1.0%	Yes
PCDHAC1		2	2	417	0.5%	No
TLE4		9	7	417	1.7%	Yes
MAP2K4		10	10	417	2.4%	Yes
RNF43		22	22	417	5.3%	Yes
USP7		6	5	417	1.2%	No
FBXW7		19	15	417	3.6%	Yes
FBXO15		2	2	417	0.5%	No
EMSY		5	5	417	1.2%	Yes
MSH6		8	7	417	1.7%	Yes
ACLY		7	7	417	1.7%	No
OBSCN		44	31	417	7.4%	No
MSH2		5	3	417	0.7%	Yes
MSH3		8	8	417	1.9%	Yes
KAT6B		14	13	417	3.1%	Yes
MSH4		9	8	417	1.9%	No
HAT1		1	1	417	0.2%	No
ZNF318		6	5	417	1.2%	No
ROR2		7	7	417	1.7%	No
FKBP3		1	1	417	0.2%	No
NOTCH2		12	10	417	2.4%	Yes
REG3A		1	1	417	0.2%	No
KMT2D		36	30	417	7.2%	Yes
NOTCH1		9	9	417	2.2%	Yes
MAX		1	1	417	0.2%	Yes
NOTCH4		17	15	417	3.6%	Yes
KMT2C		42	29	417	7.0%	Yes
BOD1L1		20	14	417	3.4%	No
FHIT		1	1	417	0.2%	Yes
SBNO1		12	9	417	2.2%	No
TPR		9	8	417	1.9%	Yes
MAP2K7		10	8	417	1.9%	No
TIA1		3	3	417	0.7%	No
NEK4		6	6	417	1.4%	No
BRPF3		6	6	417	1.4%	No
ESRRG		4	4	417	1.0%	No
NEB		52	24	417	5.8%	No
MCC		5	5	417	1.2%	No
PALB2		8	8	417	1.9%	Yes
NFKB1		3	3	417	0.7%	No
NDC80		3	3	417	0.7%	No
NFKB2		5	5	417	1.2%	Yes
FBXO31		3	3	417	0.7%	Yes
BCL9		9	8	417	1.9%	Yes
PTPRE		4	3	417	0.7%	No
CDK6		2	2	417	0.5%	Yes
MAFB		2	2	417	0.5%	Yes
DMXL1		20	9	417	2.2%	No
DMXL2		22	13	417	3.1%	No
MDM2		2	2	417	0.5%	Yes
NF1		15	12	417	2.9%	Yes
ZNF415		7	5	417	1.2%	No
OGT		7	4	417	1.0%	No
EIF4G2		4	4	417	1.0%	No
BCL2L1		4	4	417	1.0%	Yes
WRAP53		5	5	417	1.2%	No
MDM1		1	1	417	0.2%	No
ALK		12	9	417	2.2%	Yes
DIDO1		13	11	417	2.6%	No
RASGRF2		6	5	417	1.2%	No
MCM9		5	5	417	1.2%	No
PTEN		18	12	417	2.9%	Yes
PIK3C2G		9	8	417	1.9%	Yes
ECE2		5	5	417	1.2%	No
FOXM1		5	5	417	1.2%	No
PIK3C2A		5	4	417	1.0%	No
SYNE1		95	46	417	11.0%	No
NCK2		4	4	417	1.0%	No
PMEPA1		9	9	417	2.2%	No
ZNF521		18	15	417	3.6%	Yes
PELP1		9	8	417	1.9%	No
PLEKHG1		4	3	417	0.7%	No
PPP1R12A		6	6	417	1.4%	No
ADGRV1		46	24	417	5.8%	No
PEG3		18	13	417	3.1%	No
DNMT3A		3	3	417	0.7%	Yes
ARNT		4	4	417	1.0%	Yes
MSL3		4	3	417	0.7%	No
ADAMTS20		28	22	417	5.3%	No
PIK3CA		25	21	417	5.0%	Yes
TRIM58		8	8	417	1.9%	No
MCM5		2	2	417	0.5%	No
BIRC6		22	12	417	2.9%	No
MCM6		5	5	417	1.2%	No
MET		7	5	417	1.2%	Yes
TRIM56		10	9	417	2.2%	No
GTF3C1		15	12	417	2.9%	No
HDAC2		5	5	417	1.2%	Yes
ATP10A		10	9	417	2.2%	No
FOXK1		9	9	417	2.2%	No
LRP2		39	28	417	6.7%	No
MLLT6		1	1	417	0.2%	Yes
CECR2		12	11	417	2.6%	No
HECTD3		4	4	417	1.0%	No
E2F2		5	5	417	1.2%	No
XIRP2		35	17	417	4.1%	No
FYN		1	1	417	0.2%	Yes
ANGPT1		7	7	417	1.7%	No
FBXL13		3	3	417	0.7%	No
TBX2		7	7	417	1.7%	No
ASXL1		14	13	417	3.1%	Yes
MARCKS		4	4	417	1.0%	No
APC		43	33	417	7.9%	Yes
DOP1B		5	5	417	1.2%	No
ASXL2		9	8	417	1.9%	Yes
BCOR		14	14	417	3.4%	Yes
BCAR1		2	2	417	0.5%	No
VEZT		4	4	417	1.0%	No
SMARCB1		3	3	417	0.7%	Yes
TONSL		9	9	417	2.2%	Yes
RPS6KA4		3	3	417	0.7%	Yes
RPS6KA6		11	9	417	2.2%	No
KDR		13	11	417	2.6%	Yes
FBXO4		7	6	417	1.4%	No
CCN3		1	1	417	0.2%	No
SOX9		7	7	417	1.7%	Yes
HMCN1		58	30	417	7.2%	No
BSN		18	16	417	3.8%	No
SPA17		1	1	417	0.2%	No
RECQL		10	6	417	1.4%	Yes
ANK3		28	14	417	3.4%	No
HNF1A		5	5	417	1.2%	Yes
ANK1		15	14	417	3.4%	No
AFG3L2		4	4	417	1.0%	No
TP53		152	147	417	35.3%	Yes
EPHA3		10	7	417	1.7%	Yes
EPHA2		39	36	417	8.6%	No
PCDH10		16	14	417	3.4%	No
PIK3R3		4	4	417	1.0%	Yes
PIK3R1		12	11	417	2.6%	Yes
RPAP1		7	7	417	1.7%	No
H3C3		5	4	417	1.0%	Yes
APOB		41	20	417	4.8%	No
SRPK2		6	4	417	1.0%	No
SETDB1		5	5	417	1.2%	Yes
SPHKAP		15	8	417	1.9%	No
SMARCA2		8	7	417	1.7%	Yes
SMARCA4		16	14	417	3.4%	Yes
SRPK1		5	4	417	1.0%	No
EXT2		2	2	417	0.5%	Yes
PAF1		5	4	417	1.0%	No
ATM		32	23	417	5.5%	Yes
BAP1		41	39	417	9.4%	Yes
TP73		6	6	417	1.4%	No
ROBO2		22	18	417	4.3%	No
PTPRT		13	10	417	2.4%	Yes
RYR2		47	32	417	7.7%	No
TENM1		28	20	417	4.8%	No
ROBO3		18	16	417	3.8%	No
TENM2		14	10	417	2.4%	No
FASTKD2		8	5	417	1.2%	No
BRCA1		11	7	417	1.7%	Yes
BMI1		3	2	417	0.5%	No
BRCA2		23	16	417	3.8%	Yes
ROBO1		27	15	417	3.6%	Yes
PCLO		52	36	417	8.6%	Yes
VAV3		12	9	417	2.2%	No
NCOA2		9	9	417	2.2%	Yes
PBRM1		32	29	417	7.0%	Yes
NCOA3		10	7	417	1.7%	Yes
LRRIQ1		19	11	417	2.6%	No
SLC22A23		3	3	417	0.7%	No
