Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
RB1		362	347	7334	4.7%	Yes
MDC1		184	170	7334	2.3%	Yes
ARAF		120	110	7334	1.5%	Yes
PREX2		271	250	5785	4.3%	Yes
SOX17		125	121	7334	1.6%	Yes
PPP4R2		16	15	5785	0.3%	Yes
AKT2		39	38	7334	0.5%	Yes
MYC		43	38	7334	0.5%	Yes
AKT3		92	91	7334	1.2%	Yes
AKT1		53	52	7334	0.7%	Yes
DAXX		56	54	7334	0.7%	Yes
PRKCI		53	51	5785	0.9%	Yes
MEF2B		27	27	7334	0.4%	Yes
DICER1		214	205	7334	2.8%	Yes
KNSTRN		33	32	5785	0.6%	Yes
NUP93		79	78	7024	1.1%	Yes
AR		210	194	7334	2.6%	Yes
MTAP		5	5	2120	0.2%	Yes
PRKAR1A		29	29	7334	0.4%	Yes
PRKD1		137	130	5785	2.2%	Yes
MAPKAP1		36	36	5785	0.6%	Yes
PRDM14		101	98	5785	1.7%	Yes
GATA3		134	127	7334	1.7%	Yes
BCL10		16	16	7024	0.2%	Yes
GATA2		85	82	7334	1.1%	Yes
GATA1		65	60	7334	0.8%	Yes
GRIN2A		400	372	7334	5.1%	Yes
TERT		378	350	7334	4.8%	Yes
NTHL1		14	14	5785	0.2%	Yes
RAD21		59	59	7024	0.8%	Yes
PLCG2		135	126	7024	1.8%	Yes
NKX2-1		173	148	7334	2.0%	Yes
BARD1		110	109	7334	1.5%	Yes
LYN		50	50	5785	0.9%	Yes
CREBBP		275	258	7334	3.5%	Yes
JUN		39	38	7334	0.5%	Yes
PLK2		64	63	7334	0.9%	Yes
BRAF		379	373	7334	5.1%	Yes
H1-2		79	77	7334	1.0%	Yes
CYLD		80	77	5785	1.3%	Yes
AGO2		61	60	5785	1.0%	Yes
FAT1		569	507	7334	6.9%	Yes
REL		41	40	7334	0.5%	Yes
CDK12		134	130	7334	1.8%	Yes
EZH1		51	50	5785	0.9%	Yes
EZH2		54	49	7334	0.7%	Yes
RET		212	208	7334	2.8%	Yes
CDKN1A		22	22	7334	0.3%	Yes
SETD2		459	377	7334	5.1%	Yes
CDKN1B		31	31	7334	0.4%	Yes
CTCF		71	69	7334	0.9%	Yes
GLI1		206	193	7024	2.7%	Yes
PHF6		12	12	2120	0.6%	Yes
BBC3		13	13	7334	0.2%	Yes
MED12		350	329	7334	4.5%	Yes
NUF2		67	65	5785	1.1%	Yes
CTLA4		38	38	7334	0.5%	Yes
ELOC		4	4	7024	<0.1%	Yes
JAK2		144	139	7334	1.9%	Yes
CIC		150	137	7334	1.9%	Yes
JAK3		148	143	7334	1.9%	Yes
IKBKE		60	60	7334	0.8%	Yes
JAK1		87	83	7334	1.1%	Yes
DUSP4		26	25	5785	0.4%	Yes
SERPINB3		24	22	2120	1.0%	Yes
UPF1		54	53	5785	0.9%	Yes
SERPINB4		25	25	2120	1.2%	Yes
IFNGR1		33	33	7334	0.4%	Yes
TET2		169	155	7334	2.1%	Yes
RRAS2		22	22	5785	0.4%	Yes
TET1		237	224	7334	3.1%	Yes
PAX5		78	76	7334	1.0%	Yes
NCOR1		175	165	7334	2.2%	Yes
SDHAF2		15	15	7334	0.2%	Yes
RARA		51	50	7334	0.7%	Yes
POT1		71	63	2120	3.0%	Yes
PPARG		44	43	5785	0.7%	Yes
FH		81	81	7334	1.1%	Yes
GPS2		28	26	7024	0.4%	Yes
CENPA		25	23	7024	0.3%	Yes
EGFR		2249	1881	7334	25.6%	Yes
RECQL4		141	129	7334	1.8%	Yes
NSD3		72	68	5785	1.2%	Yes
NRAS		64	64	7334	0.9%	Yes
H3C13		2	2	7024	<0.1%	Yes
EPCAM		32	31	7334	0.4%	Yes
H3C11		24	24	7024	0.3%	Yes
NSD1		184	177	7334	2.4%	Yes
NSD2		86	85	5785	1.5%	Yes
H3C12		20	19	7024	0.3%	Yes
SPOP		45	45	7334	0.6%	Yes
PMS2		57	56	7334	0.8%	Yes
H3C10		25	25	7024	0.4%	Yes
RICTOR		114	111	7334	1.5%	Yes
SF3B1		154	148	7334	2.0%	Yes
PMS1		95	92	7334	1.3%	Yes
BRD4		104	99	7334	1.3%	Yes
CDKN2B		5	5	7334	<0.1%	Yes
CDKN2C		31	31	7334	0.4%	Yes
CDKN2A		537	515	7334	7.0%	Yes
STAT3		58	55	7024	0.8%	Yes
RYBP		17	17	7334	0.2%	Yes
WT1		145	140	7334	1.9%	Yes
INHA		50	50	7024	0.7%	Yes
CRLF2		47	46	7334	0.6%	Yes
CSF3R		89	84	7024	1.2%	Yes
MRE11		83	80	7334	1.1%	Yes
IRS1		158	150	7334	2.0%	Yes
MSI1		38	38	5785	0.7%	Yes
IRS2		171	165	7334	2.2%	Yes
STK19		25	25	5785	0.4%	Yes
MSI2		12	12	5785	0.2%	Yes
FGF3		76	74	7334	1.0%	Yes
FGF4		47	47	7334	0.6%	Yes
STK11		976	944	7334	12.9%	Yes
CYSLTR2		53	52	5785	0.9%	Yes
SESN3		26	26	5785	0.4%	Yes
CDH1		75	73	7334	1.0%	Yes
SESN1		21	21	5785	0.4%	Yes
SESN2		33	33	5785	0.6%	Yes
PIM1		26	24	7334	0.3%	Yes
NBN		96	92	7334	1.3%	Yes
KMT5A		17	17	5785	0.3%	Yes
ROS1		212	207	7334	2.8%	Yes
GTF2I		1	1	3665	<0.1%	Yes
MEN1		66	66	7334	0.9%	Yes
MAP2K4		73	71	7334	1.0%	Yes
USP8		18	16	2120	0.8%	Yes
RNF43		89	82	7334	1.1%	Yes
MAP2K1		74	73	7334	1.0%	Yes
MAP2K2		41	41	7334	0.6%	Yes
EIF1AX		32	31	7334	0.4%	Yes
FBXW7		159	151	7334	2.1%	Yes
TAP2		44	44	5785	0.8%	Yes
TAP1		35	35	5785	0.6%	Yes
MITF		40	40	7334	0.5%	Yes
FOXP1		77	77	7334	1.0%	Yes
MSH6		92	88	7334	1.2%	Yes
MSH2		81	76	7334	1.0%	Yes
SMO		137	133	7334	1.8%	Yes
MSH3		69	67	5785	1.2%	Yes
RAB35		15	15	7024	0.2%	Yes
ERF		38	35	5785	0.6%	Yes
SRSF2		37	37	7024	0.5%	Yes
PGR		162	156	7024	2.2%	Yes
ERG		61	61	7334	0.8%	Yes
NOTCH2		203	186	7334	2.5%	Yes
CSF1R		141	138	7334	1.9%	Yes
NOTCH3		255	242	7334	3.3%	Yes
KMT2D		678	573	7334	7.8%	Yes
CD274		11	11	7334	0.1%	Yes
BLM		83	80	7334	1.1%	Yes
DNMT1		74	74	7334	1.0%	Yes
NOTCH1		265	248	7334	3.4%	Yes
CBFB		18	18	7334	0.2%	Yes
KMT2A		221	208	7334	2.8%	Yes
MAX		105	104	7334	1.4%	Yes
NOTCH4		291	274	7334	3.7%	Yes
CUL3		153	142	7334	1.9%	Yes
ANKRD11		178	166	7024	2.4%	Yes
KMT2C		457	417	7334	5.7%	Yes
KMT2B		225	206	5785	3.6%	Yes
VTCN1		27	26	7334	0.4%	Yes
CYP19A1		23	23	2120	1.1%	Yes
FOXO1		67	67	7024	1.0%	Yes
SOCS1		27	26	7334	0.4%	Yes
BCL2L11		25	25	7334	0.3%	Yes
