Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
EIF4A2		2	2	120	1.7%	Yes
RB1		1	1	172	0.6%	Yes
MDC1		1	1	172	0.6%	Yes
ERRFI1		2	2	120	1.7%	Yes
SMARCB1		2	2	172	1.2%	Yes
ARAF		2	2	172	1.2%	Yes
KEAP1		2	2	172	1.2%	Yes
RPS6KA4		1	1	172	0.6%	Yes
SOX17		1	1	172	0.6%	Yes
PPP2R1A		2	2	172	1.2%	Yes
AKT3		2	2	172	1.2%	Yes
KDR		1	1	172	0.6%	Yes
SOX9		4	4	172	2.3%	Yes
B2M		1	1	172	0.6%	Yes
ICOSLG		2	2	172	1.2%	Yes
ACVR1		2	2	120	1.7%	Yes
EPHA5		3	3	172	1.7%	Yes
DAXX		1	1	172	0.6%	Yes
EPHA7		2	2	120	1.7%	Yes
DICER1		1	1	172	0.6%	Yes
RUNX1		1	1	172	0.6%	Yes
AR		2	2	172	1.2%	Yes
BTK		1	1	172	0.6%	Yes
TP53		38	35	172	20.3%	Yes
EPHA3		1	1	172	0.6%	Yes
MST1R		1	1	120	0.8%	Yes
GATA2		1	1	172	0.6%	Yes
GATA1		3	3	172	1.7%	Yes
CD79A		1	1	120	0.8%	Yes
GRIN2A		1	1	172	0.6%	Yes
TERT		8	8	172	4.7%	Yes
PLCG2		2	2	120	1.7%	Yes
NKX2-1		1	1	172	0.6%	Yes
RBM10		1	1	172	0.6%	Yes
STAT5B		1	1	120	0.8%	Yes
CREBBP		1	1	172	0.6%	Yes
INSR		1	1	172	0.6%	Yes
PLK2		1	1	172	0.6%	Yes
IGF2		1	1	172	0.6%	Yes
BRAF		9	9	172	5.2%	Yes
H1-2		2	2	172	1.2%	Yes
SMARCA4		7	7	172	4.1%	Yes
FUBP1		1	1	172	0.6%	Yes
FAT1		3	3	172	1.7%	Yes
ATM		17	15	172	8.7%	Yes
BAP1		28	27	172	15.7%	Yes
ATR		2	2	172	1.2%	Yes
EZH2		1	1	172	0.6%	Yes
PTPRT		2	2	172	1.2%	Yes
CDKN1A		1	1	172	0.6%	Yes
SETD2		4	4	172	2.3%	Yes
CDKN1B		2	2	172	1.2%	Yes
PTPRS		5	4	172	2.3%	Yes
BRCA1		1	1	172	0.6%	Yes
CTCF		1	1	172	0.6%	Yes
BRCA2		2	2	172	1.2%	Yes
GLI1		1	1	120	0.8%	Yes
MED12		3	3	172	1.7%	Yes
RPTOR		4	4	172	2.3%	Yes
XPO1		3	3	172	1.7%	Yes
SUFU		1	1	172	0.6%	Yes
RAC1		1	1	172	0.6%	Yes
CIC		2	2	172	1.2%	Yes
H3-3B		1	1	120	0.8%	Yes
JAK1		2	2	172	1.2%	Yes
PBRM1		21	21	172	12.2%	Yes
PARP1		1	1	172	0.6%	Yes
NCOA3		1	1	120	0.8%	Yes
TET2		2	2	172	1.2%	Yes
TET1		1	1	172	0.6%	Yes
NCOR1		1	1	172	0.6%	Yes
DDR2		1	1	172	0.6%	Yes
YAP1		1	1	172	0.6%	Yes
AMER1		2	1	172	0.6%	Yes
DOT1L		4	4	172	2.3%	Yes
TMPRSS2		1	1	172	0.6%	Yes
CXCR4		1	1	120	0.8%	Yes
CENPA		1	1	120	0.8%	Yes
EGFR		2	2	172	1.2%	Yes
RECQL4		1	1	172	0.6%	Yes
NRAS		7	7	172	4.1%	Yes
NSD1		3	3	172	1.7%	Yes
RAD54L		1	1	172	0.6%	Yes
RICTOR		1	1	172	0.6%	Yes
SF3B1		6	5	172	2.9%	Yes
PMS1		1	1	172	0.6%	Yes
BRD4		2	2	172	1.2%	Yes
MAP3K1		1	1	172	0.6%	Yes
CDKN2A		3	3	172	1.7%	Yes
RIT1		1	1	172	0.6%	Yes
RYBP		1	1	172	0.6%	Yes
CTNNB1		4	4	172	2.3%	Yes
FOXA1		1	1	172	0.6%	Yes
