Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
EIF4A2		1	1	105	1.0%	Yes
RB1		8	5	141	3.5%	Yes
MDC1		2	2	141	1.4%	Yes
KEAP1		3	2	141	1.4%	Yes
SOX2		1	1	141	0.7%	Yes
RPS6KA4		3	3	141	2.1%	Yes
SOX17		4	4	141	2.8%	Yes
PPP2R1A		1	1	141	0.7%	Yes
AKT2		1	1	141	0.7%	Yes
MYC		2	2	141	1.4%	Yes
CHEK2		1	1	141	0.7%	Yes
AKT3		2	2	141	1.4%	Yes
KDR		6	5	141	3.5%	Yes
AKT1		2	2	141	1.4%	Yes
B2M		1	1	141	0.7%	Yes
EPHB1		4	3	141	2.1%	Yes
TP63		5	4	141	2.8%	Yes
ICOSLG		1	1	141	0.7%	Yes
ACVR1		1	1	105	1.0%	Yes
EPHA5		5	4	141	2.8%	Yes
DAXX		2	2	141	1.4%	Yes
EPHA7		3	3	105	2.9%	Yes
MEF2B		1	1	141	0.7%	Yes
HNF1A		1	1	141	0.7%	Yes
DICER1		5	4	141	2.8%	Yes
RUNX1		1	1	141	0.7%	Yes
INPP4A		1	1	141	0.7%	Yes
AR		3	3	141	2.1%	Yes
INPP4B		4	3	141	2.1%	Yes
PRKAR1A		1	1	141	0.7%	Yes
BTK		1	1	141	0.7%	Yes
TP53		92	70	141	49.6%	Yes
OBSL1		1	1	141	0.7%	No
EPHA3		7	6	141	4.3%	Yes
DCUN1D1		1	1	141	0.7%	Yes
PIK3R2		2	2	141	1.4%	Yes
MST1R		1	1	105	1.0%	Yes
PIK3R1		3	3	141	2.1%	Yes
BCL10		1	1	105	1.0%	Yes
GATA2		1	1	141	0.7%	Yes
GRIN2A		8	6	141	4.3%	Yes
BRIP1		1	1	141	0.7%	Yes
TERT		42	40	141	28.4%	Yes
RAD21		3	2	105	1.9%	Yes
PLCG2		2	2	105	1.9%	Yes
H3C2		2	2	141	1.4%	Yes
H3C4		1	1	105	1.0%	Yes
RBM10		3	3	141	2.1%	Yes
H3C7		1	1	105	1.0%	Yes
BARD1		1	1	141	0.7%	Yes
CREBBP		6	6	141	4.3%	Yes
YES1		1	1	141	0.7%	Yes
INSR		3	3	141	2.1%	Yes
PLK2		3	3	141	2.1%	Yes
H1-2		1	1	141	0.7%	Yes
SMARCA4		4	4	141	2.8%	Yes
FAT1		32	25	141	17.7%	Yes
ATM		5	5	141	3.5%	Yes
CDK12		4	4	141	2.8%	Yes
BAP1		1	1	141	0.7%	Yes
ATR		8	7	141	5.0%	Yes
EZH2		3	3	141	2.1%	Yes
RET		2	2	141	1.4%	Yes
PTPRT		6	6	141	4.3%	Yes
SETD2		5	4	141	2.8%	Yes
CDKN1B		1	1	141	0.7%	Yes
PTPRS		3	3	141	2.1%	Yes
BRCA1		5	5	141	3.5%	Yes
CTCF		1	1	141	0.7%	Yes
BRCA2		5	5	141	3.5%	Yes
GLI1		2	2	105	1.9%	Yes
