Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
PGLYRP4		1	1	134	0.7%	No
ITSN1		2	2	134	1.5%	No
SLA2		1	1	134	0.7%	No
PTPDC1		1	1	134	0.7%	No
CAPNS1		1	1	134	0.7%	No
SCP2		1	1	134	0.7%	No
DPYSL5		2	2	134	1.5%	No
EPSTI1		1	1	134	0.7%	No
SMCO3		1	1	134	0.7%	No
BBX		2	2	134	1.5%	No
SAP30BP		1	1	134	0.7%	No
SDS		1	1	134	0.7%	No
CACNA2D1		1	1	134	0.7%	No
ESX1		1	1	134	0.7%	No
FEZ1		2	2	134	1.5%	No
LARS1		1	1	134	0.7%	No
MPPE1		1	1	134	0.7%	No
CLOCK		1	1	134	0.7%	No
SPATA31H1		1	1	134	0.7%	No
SF1		1	1	134	0.7%	No
ZNF28		1	1	134	0.7%	No
SHMT2		1	1	134	0.7%	No
ZNF23		1	1	134	0.7%	No
ZNF24		1	1	134	0.7%	Yes
ADAMTS12		1	1	134	0.7%	No
ADAMTS10		1	1	134	0.7%	No
DEDD2		1	1	134	0.7%	No
ADAMTS16		2	2	134	1.5%	No
PRPSAP2		1	1	134	0.7%	No
LARP1		1	1	134	0.7%	No
ADAMTS19		1	1	134	0.7%	No
ADAMTS18		1	1	134	0.7%	No
NPBWR2		1	1	134	0.7%	No
ADAMTS17		1	1	134	0.7%	No
RDH13		2	1	134	0.7%	No
CREBBP		2	2	134	1.5%	Yes
BTBD19		1	1	134	0.7%	No
JAG1		1	1	134	0.7%	No
PRPF38A		1	1	134	0.7%	No
EIF2AK1		1	1	134	0.7%	No
NCAPH2		1	1	134	0.7%	No
EIF2AK2		1	1	134	0.7%	No
LARP7		1	1	134	0.7%	No
TEX36		1	1	134	0.7%	No
ZNF34		1	1	134	0.7%	No
LARP6		1	1	134	0.7%	No
PPFIBP1		2	2	134	1.5%	Yes
FXYD3		1	1	134	0.7%	No
AGO4		1	1	134	0.7%	No
AGO1		1	1	134	0.7%	Yes
HYOU1		1	1	134	0.7%	No
L1TD1		1	1	134	0.7%	No
SPMAP2		1	1	134	0.7%	No
SFXN5		1	1	134	0.7%	No
KCNC2		1	1	134	0.7%	No
KCNC4		1	1	134	0.7%	No
PRKAG2		1	1	134	0.7%	No
ZNF44		1	1	134	0.7%	No
SNX11		1	1	134	0.7%	No
MMP21		1	1	134	0.7%	No
NPAP1		1	1	134	0.7%	No
M1AP		1	1	134	0.7%	No
NHSL1		1	1	134	0.7%	No
MMP27		1	1	134	0.7%	No
NEFM		2	1	134	0.7%	No
SLC18A1		1	1	134	0.7%	No
MYBPC3		1	1	134	0.7%	No
APC2		1	1	134	0.7%	No
CHST8		1	1	134	0.7%	No
MAMDC4		1	1	134	0.7%	No
DUSP2		1	1	134	0.7%	Yes
CHST6		1	1	134	0.7%	No
MYBPC2		1	1	134	0.7%	No
GSTO1		1	1	134	0.7%	No
TEX11		1	1	134	0.7%	No
TEX14		1	1	134	0.7%	No
DUSP9		1	1	134	0.7%	Yes
MMP10		1	1	134	0.7%	No
MMP15		1	1	134	0.7%	No
PTRH2		1	1	134	0.7%	No
MMP17		1	1	134	0.7%	No
RAPGEF1		1	1	134	0.7%	No
RAPGEF2		1	1	134	0.7%	No
CRYAB		1	1	134	0.7%	No
SZRD1		1	1	134	0.7%	No
PKN3		1	1	134	0.7%	No
PTAFR		1	1	134	0.7%	No
ADAM22		1	1	134	0.7%	No
CCM2L		1	1	134	0.7%	No
KCNA6		1	1	134	0.7%	No
SNX30		1	1	134	0.7%	No
ZNF69		1	1	134	0.7%	No
FAM117B		1	1	134	0.7%	No
FAM117A		1	1	134	0.7%	No
ADAM29		1	1	134	0.7%	No
ADAM28		1	1	134	0.7%	No
SNX29		1	1	134	0.7%	Yes
RICTOR		1	1	134	0.7%	Yes
