Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
ITSN2		2	1	56	1.8%	No
PGLYRP2		1	1	56	1.8%	No
ALKBH3		1	1	56	1.8%	No
ZC3H12C		2	2	56	3.6%	No
COMTD1		1	1	56	1.8%	No
HTR7		1	1	56	1.8%	No
SCP2		1	1	56	1.8%	No
DPYSL4		1	1	56	1.8%	No
LURAP1L		1	1	56	1.8%	No
ALKBH1		1	1	56	1.8%	No
PRKACA		1	1	56	1.8%	Yes
VSTM4		1	1	56	1.8%	No
FNBP4		1	1	56	1.8%	No
UNC5A		1	1	56	1.8%	No
FNBP1		1	1	56	1.8%	Yes
UNC5B		1	1	56	1.8%	No
CACNA2D1		2	2	56	3.6%	No
SECISBP2		1	1	56	1.8%	No
TEX55		2	2	56	3.6%	No
CACNA2D3		2	2	56	3.6%	No
ZNF10		1	1	56	1.8%	No
RC3H1		2	2	56	3.6%	No
UNC5C		1	1	56	1.8%	No
UNC5D		4	4	56	7.1%	No
BHLHA15		1	1	56	1.8%	No
PRKAB1		1	1	56	1.8%	No
RC3H2		1	1	56	1.8%	No
BCR		1	1	56	1.8%	Yes
SIGIRR		1	1	56	1.8%	No
SPINT1		1	1	56	1.8%	No
TFR2		1	1	56	1.8%	No
MTHFD2		1	1	56	1.8%	Yes
ASPHD1		1	1	56	1.8%	No
AGTR1		1	1	56	1.8%	No
PLBD1		1	1	56	1.8%	No
OPTN		1	1	56	1.8%	No
ZNF28		1	1	56	1.8%	No
COL13A1		2	2	56	3.6%	No
SHMT2		1	1	56	1.8%	No
FAXDC2		1	1	56	1.8%	No
MEPCE		1	1	56	1.8%	No
B3GLCT		1	1	56	1.8%	No
ZNF22		1	1	56	1.8%	No
ZNF23		2	2	56	3.6%	No
ZC3HAV1		2	2	56	3.6%	No
ADAMTS12		2	2	56	3.6%	No
ADAMTS10		2	2	56	3.6%	No
ADAMTS15		2	2	56	3.6%	No
ADAMTS14		2	2	56	3.6%	No
PRPSAP2		1	1	56	1.8%	No
ADAMTS13		1	1	56	1.8%	No
RDH12		1	1	56	1.8%	No
ADAMTS18		1	1	56	1.8%	No
NPBWR2		1	1	56	1.8%	No
ADAMTS17		1	1	56	1.8%	No
MOV10L1		2	2	56	3.6%	No
HCRT		1	1	56	1.8%	No
ATRIP		1	1	56	1.8%	Yes
TOE1		1	1	56	1.8%	No
HEXIM2		1	1	56	1.8%	No
CREBBP		2	2	56	3.6%	Yes
PRPF38B		1	1	56	1.8%	No
JUP		1	1	56	1.8%	No
BTBD18		1	1	56	1.8%	No
EIF2AK1		1	1	56	1.8%	No
PBX3		2	2	56	3.6%	No
TEX35		1	1	56	1.8%	No
BTBD10		1	1	56	1.8%	No
FAM111B		1	1	56	1.8%	No
MOV10		1	1	56	1.8%	No
FAM111A		1	1	56	1.8%	No
PPFIBP1		1	1	56	1.8%	Yes
PPFIBP2		1	1	56	1.8%	No
AGO4		2	2	56	3.6%	No
