Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
RB1		7	7	321	2.2%	Yes
SMARCB1		1	1	321	0.3%	Yes
KEAP1		2	2	321	0.6%	Yes
IKZF1		4	4	321	1.2%	Yes
SOX2		3	2	321	0.6%	Yes
PREX2		4	4	321	1.2%	Yes
CYP2D6		1	1	321	0.3%	No
PPP2R1A		2	2	321	0.6%	Yes
ADGRA2		2	2	321	0.6%	Yes
AKT2		2	2	321	0.6%	Yes
MYC		1	1	321	0.3%	Yes
CHEK2		1	1	321	0.3%	Yes
CREB3L1		2	2	321	0.6%	Yes
MYB		3	3	321	0.9%	Yes
AKT3		4	4	321	1.2%	Yes
CREB3L2		1	1	321	0.3%	Yes
KDR		7	7	321	2.2%	Yes
AKT1		18	18	321	5.6%	Yes
PRSS8		5	5	321	1.6%	Yes
SOX9		3	3	321	0.9%	Yes
EPHB1		7	7	321	2.2%	Yes
EPHA5		3	3	321	0.9%	Yes
DAXX		5	5	321	1.6%	Yes
EPHA7		2	2	321	0.6%	Yes
PRKCI		2	2	321	0.6%	Yes
RECQL		2	2	321	0.6%	Yes
FRS2		1	1	321	0.3%	Yes
DICER1		1	1	321	0.3%	Yes
SOX10		2	2	321	0.6%	Yes
RUNX1		4	4	321	1.2%	Yes
BCR		2	2	321	0.6%	Yes
NUP93		3	3	321	0.9%	Yes
AR		4	4	321	1.2%	Yes
INPP4B		1	1	321	0.3%	Yes
KEL		5	5	321	1.6%	Yes
EWSR1		2	2	321	0.6%	Yes
BTK		1	1	321	0.3%	Yes
SIK1		2	2	321	0.6%	No
BCORL1		5	5	321	1.6%	Yes
TP53		168	164	321	51.1%	Yes
CFTR		6	6	321	1.9%	No
EPHA3		4	4	321	1.2%	Yes
EPHA2		3	3	321	0.9%	No
PRKDC		12	12	321	3.7%	Yes
GATA6		3	3	321	0.9%	Yes
GATA4		4	4	321	1.2%	Yes
PIK3R2		3	3	321	0.9%	Yes
GATA3		49	46	321	14.3%	Yes
MST1R		2	2	321	0.6%	Yes
PIK3R1		14	14	321	4.4%	Yes
GATA2		2	2	321	0.6%	Yes
GATA1		2	2	321	0.6%	Yes
ZBTB2		1	1	321	0.3%	No
CD79B		2	2	321	0.6%	Yes
GRIN2A		7	6	321	1.9%	Yes
BRIP1		3	3	321	0.9%	Yes
TERT		6	6	321	1.9%	Yes
ZNF703		1	1	321	0.3%	Yes
NKX2-1		3	3	321	0.9%	Yes
RBM10		2	2	321	0.6%	Yes
BARD1		2	2	321	0.6%	Yes
CREBBP		11	11	321	3.4%	Yes
JUN		1	1	321	0.3%	Yes
SRMS		4	4	321	1.2%	No
YES1		3	3	321	0.9%	Yes
TIPARP		3	2	321	0.6%	Yes
IGF2		1	1	321	0.3%	Yes
BRAF		1	1	321	0.3%	Yes
PTK6		1	1	321	0.3%	Yes
FLI1		1	1	321	0.3%	Yes
PTK2		1	1	321	0.3%	No
SMARCA4		7	7	321	2.2%	Yes
COL1A1		9	8	321	2.5%	Yes
FAM135B		10	10	321	3.1%	No
STAG2		5	5	321	1.6%	Yes
FUBP1		2	2	321	0.6%	Yes
FAT1		7	7	321	2.2%	Yes
REL		1	1	321	0.3%	Yes
ATM		10	10	321	3.1%	Yes
FAT3		11	10	321	3.1%	No
CDK12		8	8	321	2.5%	Yes
FAT4		17	16	321	5.0%	Yes
BAP1		1	1	321	0.3%	Yes
ATR		9	9	321	2.8%	Yes
EZH2		1	1	321	0.3%	Yes
DDR1		1	1	321	0.3%	Yes
RET		3	3	321	0.9%	Yes
TOP2A		4	4	321	1.2%	Yes
ITK		4	4	321	1.2%	Yes
SETD2		12	9	321	2.8%	Yes
CDKN1B		3	3	321	0.9%	Yes
BRCA1		8	7	321	2.2%	Yes
CTCF		8	8	321	2.5%	Yes
BRCA2		12	11	321	3.4%	Yes
GLI1		2	2	321	0.6%	Yes
GLI3		9	8	321	2.5%	No
GLI2		8	8	321	2.5%	No
MED12		8	8	321	2.5%	Yes
RPTOR		1	1	321	0.3%	Yes
XPO1		1	1	321	0.3%	Yes
RAC1		1	1	321	0.3%	Yes
JAK2		5	5	321	1.6%	Yes
CIC		8	8	321	2.5%	Yes
HRAS		2	2	321	0.6%	Yes
JAK3		3	3	321	0.9%	Yes
IKBKE		1	1	321	0.3%	Yes
H3-3A		2	2	321	0.6%	Yes
JAK1		4	4	321	1.2%	Yes
HTATIP2		1	1	321	0.3%	Yes
NCOA2		4	3	321	0.9%	Yes
PARP3		2	2	321	0.6%	Yes
PBRM1		5	5	321	1.6%	Yes
PARP4		5	5	321	1.6%	No
PARP1		3	3	321	0.9%	Yes
SYK		1	1	321	0.3%	Yes
PARP2		1	1	321	0.3%	Yes
TFE3		2	2	321	0.6%	Yes
TET2		2	2	321	0.6%	Yes
TET1		7	7	321	2.2%	Yes
FOS		1	1	321	0.3%	No
PAX5		2	2	321	0.6%	Yes
TYK2		4	4	321	1.2%	Yes
RHOA		2	2	321	0.6%	Yes
RAD51B		1	1	321	0.3%	Yes
RAD51D		1	1	321	0.3%	Yes
RAD51C		1	1	321	0.3%	Yes
NCOR1		10	9	321	2.8%	Yes
DPYD		4	4	321	1.2%	Yes
KIT		1	1	321	0.3%	Yes
TET3		4	3	321	0.9%	Yes
RARA		2	2	321	0.6%	Yes
DDR2		5	5	321	1.6%	Yes
AMER1		1	1	321	0.3%	Yes
FH		2	2	321	0.6%	Yes
DOT1L		3	3	321	0.9%	Yes
XIAP		1	1	321	0.3%	Yes
TMPRSS2		1	1	321	0.3%	Yes
CXCR4		1	1	321	0.3%	Yes
EGFR		3	3	321	0.9%	Yes
RELA		3	3	321	0.9%	No
CYP17A1		1	1	321	0.3%	Yes
RAD54B		2	2	321	0.6%	No
ADAM29		3	3	321	0.9%	No
RXRA		2	2	321	0.6%	Yes
EPCAM		2	2	321	0.6%	Yes
NSD1		8	8	321	2.5%	Yes
NSD2		2	2	321	0.6%	Yes
CTNNA1		3	3	321	0.9%	Yes
STAT4		5	5	321	1.6%	Yes
SPOP		2	2	321	0.6%	Yes
PMS2		2	2	321	0.6%	Yes
RAD54L		4	4	321	1.2%	Yes
RICTOR		7	5	321	1.6%	Yes
PAK3		1	1	321	0.3%	Yes
SF3B1		13	13	321	4.0%	Yes
RUNX1T1		7	6	321	1.9%	Yes
BRD4		5	5	321	1.6%	Yes
RANBP2		5	4	321	1.2%	Yes
NPM1		1	1	321	0.3%	Yes
MAP3K1		33	22	321	6.9%	Yes
GABRA6		2	2	321	0.6%	Yes
CRBN		1	1	321	0.3%	Yes
CDKN2A		10	10	321	3.1%	Yes
CSNK1A1		2	2	321	0.6%	No
MGMT		1	1	321	0.3%	No
STAT3		3	3	321	0.9%	Yes
MLH1		2	2	321	0.6%	Yes
SNCAIP		1	1	321	0.3%	Yes
AXL		2	2	321	0.6%	Yes
NFIB		1	1	321	0.3%	Yes
