Query	Reference	Cosine_sim
Signature.A	SBS1	0.244270487827277
Signature.A	SBS2	0.126651310457119
Signature.A	SBS3	0.827848520318188
Signature.A	SBS4	0.463933994754255
Signature.A	SBS5	0.78925332033536
Signature.A	SBS6	0.314104474174387
Signature.A	SBS7a	0.202378540126157
Signature.A	SBS7b	0.254514822305533
Signature.A	SBS7c	0.26204295530342
Signature.A	SBS7d	0.354504233155646
Signature.A	SBS8	0.506244175677372
Signature.A	SBS9	0.597983720642451
Signature.A	SBS10a	0.100981998105102
Signature.A	SBS10b	0.164054865168853
Signature.A	SBS10c	0.372189775405583
Signature.A	SBS10d	0.15713640052476
Signature.A	SBS11	0.2381398095527
Signature.A	SBS12	0.566585641810922
Signature.A	SBS13	0.177455379742433
Signature.A	SBS14	0.258462510775332
Signature.A	SBS15	0.269300609985296
Signature.A	SBS16	0.39494792605763
Signature.A	SBS17a	0.275683890845579
Signature.A	SBS17b	0.176076921900062
Signature.A	SBS18	0.381139394981153
Signature.A	SBS19	0.247918607974782
Signature.A	SBS20	0.314655667763729
Signature.A	SBS21	0.411314036902667
Signature.A	SBS22a	0.294385914398252
Signature.A	SBS22b	0.363731630784397
Signature.A	SBS23	0.249178738271892
Signature.A	SBS24	0.421954733848764
Signature.A	SBS25	0.686899827378285
Signature.A	SBS26	0.567772961923789
Signature.A	SBS27	0.19770097157338
Signature.A	SBS28	0.169918570550043
Signature.A	SBS29	0.397976319575027
Signature.A	SBS30	0.317501144276447
Signature.A	SBS31	0.371702924961792
Signature.A	SBS32	0.330103683959875
Signature.A	SBS33	0.348761955707017
Signature.A	SBS34	0.141157766797692
Signature.A	SBS35	0.429492420413736
Signature.A	SBS36	0.271095893785721
Signature.A	SBS37	0.641301347016436
Signature.A	SBS38	0.209497208757955
Signature.A	SBS39	0.718091123619805
Signature.A	SBS40a	0.637696598091426
Signature.A	SBS40b	0.704989942742596
Signature.A	SBS40c	0.766116577468586
Signature.A	SBS41	0.466070839423779
Signature.A	SBS42	0.386603322421288
Signature.A	SBS43	0.355225872494573
Signature.A	SBS44	0.429556831485548
Signature.A	SBS45	0.23779769742707
Signature.A	SBS46	0.619222113146333
Signature.A	SBS47	0.265011077078337
Signature.A	SBS48	0.120613035833688
Signature.A	SBS49	0.156243665244419
Signature.A	SBS50	0.345657999829915
Signature.A	SBS51	0.38535847152826
Signature.A	SBS52	0.141843916524755
Signature.A	SBS53	0.277505453202807
Signature.A	SBS54	0.403267361620993
Signature.A	SBS55	0.325545821030198
Signature.A	SBS56	0.147750591232553
Signature.A	SBS57	0.389188187217294
Signature.A	SBS58	0.367903026560196
Signature.A	SBS59	0.195601251978201
Signature.A	SBS60	0.171789129119955
Signature.A	SBS84	0.330816621638948
Signature.A	SBS85	0.441037355774681
Signature.A	SBS86	0.462419944210456
Signature.A	SBS87	0.417443839137499
Signature.A	SBS88	0.407113580937784
Signature.A	SBS89	0.6779449178083
Signature.A	SBS90	0.142099228491292
Signature.A	SBS91	0.157152782334316
Signature.A	SBS92	0.627804376156051
Signature.A	SBS93	0.567947059739601
Signature.A	SBS94	0.600159375933893
Signature.A	SBS95	0.483153437135928
Signature.A	SBS96	0.655044770167974
Signature.A	SBS97	0.245045341206609
Signature.A	SBS98	0.529264564242484
Signature.A	SBS99	0.465488816189473
Signature.B	SBS1	0.279597812345528
Signature.B	SBS2	0.134727727012006
Signature.B	SBS3	0.840467311904715
Signature.B	SBS4	0.497950738967518
Signature.B	SBS5	0.78901670609485
Signature.B	SBS6	0.352269977728281
Signature.B	SBS7a	0.213774460933617
Signature.B	SBS7b	0.272611668768806
Signature.B	SBS7c	0.271802501724011
Signature.B	SBS7d	0.321652214686197
Signature.B	SBS8	0.545883774366271
Signature.B	SBS9	0.617285859733756
Signature.B	SBS10a	0.119764715942148
Signature.B	SBS10b	0.19218587611226
Signature.B	SBS10c	0.396887898682737
Signature.B	SBS10d	0.179209843179849
Signature.B	SBS11	0.2595841636311
Signature.B	SBS12	0.516070929074593
Signature.B	SBS13	0.1762923074342
Signature.B	SBS14	0.285835790144952
Signature.B	SBS15	0.299335156764985
Signature.B	SBS16	0.374380752855737
Signature.B	SBS17a	0.254944736806297
Signature.B	SBS17b	0.20853379087923
Signature.B	SBS18	0.424296242868979
Signature.B	SBS19	0.269580223944885
Signature.B	SBS20	0.331361158029075
Signature.B	SBS21	0.366240398450166
Signature.B	SBS22a	0.30749573210175
Signature.B	SBS22b	0.376533466311339
Signature.B	SBS23	0.273336899203391
Signature.B	SBS24	0.460331998415077
Signature.B	SBS25	0.704929680745099
Signature.B	SBS26	0.513699460278661
Signature.B	SBS27	0.210951970855612
Signature.B	SBS28	0.199483294430843
Signature.B	SBS29	0.444356712269749
Signature.B	SBS30	0.340720364059284
Signature.B	SBS31	0.390252443345884
Signature.B	SBS32	0.359359971230564
Signature.B	SBS33	0.312066255251363
Signature.B	SBS34	0.158494235824196
Signature.B	SBS35	0.46063305199836
Signature.B	SBS36	0.305470832070577
Signature.B	SBS37	0.61113103134797
Signature.B	SBS38	0.215821411345137
Signature.B	SBS39	0.716263911965215
Signature.B	SBS40a	0.67441820424591
Signature.B	SBS40b	0.734543176798771
Signature.B	SBS40c	0.777111695969423
Signature.B	SBS41	0.479411475994726
Signature.B	SBS42	0.417656754739196
Signature.B	SBS43	0.36232722138805
Signature.B	SBS44	0.443836834882674
Signature.B	SBS45	0.253948026686199
Signature.B	SBS46	0.578427675454
Signature.B	SBS47	0.290787064232777
Signature.B	SBS48	0.131804067679219
Signature.B	SBS49	0.16181647088356
Signature.B	SBS50	0.369554911383964
Signature.B	SBS51	0.409653883734122
Signature.B	SBS52	0.157776193665273
Signature.B	SBS53	0.271643845305922
Signature.B	SBS54	0.362428345681667
Signature.B	SBS55	0.331866457090406
Signature.B	SBS56	0.170375050922458
Signature.B	SBS57	0.394288924810526
Signature.B	SBS58	0.378988249760295
Signature.B	SBS59	0.22363092819113
Signature.B	SBS60	0.182763677477486
Signature.B	SBS84	0.353601880485785
Signature.B	SBS85	0.430780428418553
Signature.B	SBS86	0.463020932930924
Signature.B	SBS87	0.440570720217737
Signature.B	SBS88	0.394592167564787
Signature.B	SBS89	0.700275420355372
Signature.B	SBS90	0.15797473161729
Signature.B	SBS91	0.177239325218548
Signature.B	SBS92	0.625395491460798
Signature.B	SBS93	0.587707543734239
Signature.B	SBS94	0.623323478232645
Signature.B	SBS95	0.521555539312023
Signature.B	SBS96	0.665333074719476
Signature.B	SBS97	0.259590262377161
Signature.B	SBS98	0.526722394087004
Signature.B	SBS99	0.47332053469132
Signature.C	SBS1	0.0989245795235878
Signature.C	SBS2	0.645608647819852
Signature.C	SBS3	0.468936527519106
Signature.C	SBS4	0.238924342270008
Signature.C	SBS5	0.574220919995949
Signature.C	SBS6	0.22879531791318
Signature.C	SBS7a	0.810956181504868
Signature.C	SBS7b	0.80101585525661
Signature.C	SBS7c	0.300547418760301
Signature.C	SBS7d	0.22639241016805
Signature.C	SBS8	0.266168947940886
Signature.C	SBS9	0.30590657778985
Signature.C	SBS10a	0.0920136865786259
Signature.C	SBS10b	0.399604107221247
Signature.C	SBS10c	0.253734640209257
Signature.C	SBS10d	0.127634842475678
Signature.C	SBS11	0.674151761845988
Signature.C	SBS12	0.168782946433024
Signature.C	SBS13	0.0685098027030932
Signature.C	SBS14	0.0987334992865826
Signature.C	SBS15	0.186946075716233
Signature.C	SBS16	0.163449790986249
Signature.C	SBS17a	0.060397565152291
Signature.C	SBS17b	0.042896179521348
Signature.C	SBS18	0.225237638879563
Signature.C	SBS19	0.610507580351369
Signature.C	SBS20	0.169477482819089
Signature.C	SBS21	0.10268714557497
Signature.C	SBS22a	0.106954090527603
Signature.C	SBS22b	0.184819945660405
Signature.C	SBS23	0.516629372723795
Signature.C	SBS24	0.208333649317871
Signature.C	SBS25	0.385044391134136
Signature.C	SBS26	0.144682802044268
Signature.C	SBS27	0.147108632757605
Signature.C	SBS28	0.0991954965360529
Signature.C	SBS29	0.160561480353456
Signature.C	SBS30	0.712637646246607
Signature.C	SBS31	0.542344477805339
Signature.C	SBS32	0.478856684866541
Signature.C	SBS33	0.0889066146380547
Signature.C	SBS34	0.142877416164462
Signature.C	SBS35	0.341845849573259
Signature.C	SBS36	0.176335970299326
Signature.C	SBS37	0.215664067269768
Signature.C	SBS38	0.08145914083879
Signature.C	SBS39	0.27140451779881
Signature.C	SBS40a	0.750972761939139
Signature.C	SBS40b	0.491677256736119
Signature.C	SBS40c	0.655340843302419
Signature.C	SBS41	0.330517398021509
Signature.C	SBS42	0.415319963880719
Signature.C	SBS43	0.0973768428024273
Signature.C	SBS44	0.22196408293932
Signature.C	SBS45	0.0883317979771426
Signature.C	SBS46	0.259763493357702
Signature.C	SBS47	0.362741552563756
