	ACA>AAA	ACC>AAC	ACG>AAG	ACT>AAT	CCA>CAA	CCC>CAC	CCG>CAG	CCT>CAT	GCA>GAA	GCC>GAC	GCG>GAG	GCT>GAT	TCA>TAA	TCC>TAC	TCG>TAG	TCT>TAT	ACA>AGA	ACC>AGC	ACG>AGG	ACT>AGT	CCA>CGA	CCC>CGC	CCG>CGG	CCT>CGT	GCA>GGA	GCC>GGC	GCG>GGG	GCT>GGT	TCA>TGA	TCC>TGC	TCG>TGG	TCT>TGT	ACA>ATA	ACC>ATC	ACG>ATG	ACT>ATT	CCA>CTA	CCC>CTC	CCG>CTG	CCT>CTT	GCA>GTA	GCC>GTC	GCG>GTG	GCT>GTT	TCA>TTA	TCC>TTC	TCG>TTG	TCT>TTT	ATA>AAA	ATC>AAC	ATG>AAG	ATT>AAT	CTA>CAA	CTC>CAC	CTG>CAG	CTT>CAT	GTA>GAA	GTC>GAC	GTG>GAG	GTT>GAT	TTA>TAA	TTC>TAC	TTG>TAG	TTT>TAT	ATA>ACA	ATC>ACC	ATG>ACG	ATT>ACT	CTA>CCA	CTC>CCC	CTG>CCG	CTT>CCT	GTA>GCA	GTC>GCC	GTG>GCG	GTT>GCT	TTA>TCA	TTC>TCC	TTG>TCG	TTT>TCT	ATA>AGA	ATC>AGC	ATG>AGG	ATT>AGT	CTA>CGA	CTC>CGC	CTG>CGG	CTT>CGT	GTA>GGA	GTC>GGC	GTG>GGG	GTT>GGT	TTA>TGA	TTC>TGC	TTG>TGG	TTT>TGT
CATD0161a	0.0175158585965866	0.0175022873283426	0.0174988735238647	0.0694627835835	0.0291869279430573	0.0176054056354571	0.0176182368570295	0.0176260568163686	0.0176872332857204	0.0174744678378194	0.017536280550199	0.0174908925942793	0.0175738116771816	0.0233113382391496	0.017532724844446	0.0232990564715936	0.0290433903889248	0.0177959417267984	0.0175288032576963	0.0174025672175771	0.0173919886538456	0.0293211013197279	0.0176535564333048	0.0233664214868368	0.0176352796608815	0.0174403053838042	0.0176394303429064	0.0174631110918178	0.0176185130851619	0.0175013523987856	0.0175794068774407	0.0175194825571756	0.0234241498559332	0.0176772865418528	0.0293001573135536	0.0175780113550467	0.0174499382710469	0.029030433782291	0.0174849517733667	0.0174984261980715	0.0175248857746195	0.023350343507125	0.0233170332398494	0.0235099864062892	0.0177658878802874	0.0351697804830995	0.0233620081374006	0.0350862723336208	0.0174877585353312	0.0175794858527816	0.0175714764293344	0.0174890895690033	0.0174029873780576	0.0175280678303825	0.0176036598143659	0.0234247189102139	0.0177352196037102	0.0175413156032707	0.017566028905609	0.0234744034392803	0.0174463606073629	0.0176412132179188	0.0173641982499076	0.0175909566955535	0.0175002678347393	0.0176843699031329	0.0175616914480958	0.0176715705415127	0.0175658970418846	0.0233934987611687	0.0175622146535818	0.0174933336845482	0.0176353700299843	0.017513235912363	0.0176080159865097	0.0176679827365342	0.0176509559227826	0.0176929846337985	0.0176425236488092	0.017516386736919	0.0177577504845727	0.0175213740583613	0.0464983364588711	0.0175028997800755	0.0175833250980483	0.0234622344783102	0.0291746167646195	0.0232724448578539	0.0175935497076008	0.0178543416638412	0.0348205722728472	0.0176575415261414	0.0233233033692265	0.0292770523388204	0.0174594074714679	0.0350815690301596
CATD0371a	0.0262740216532251	0.0262532691754199	0.0262489536117296	0.104195755620135	0.0437801973209787	0.0264084835392718	0.0264270137806268	0.0264382784588464	0.0265311018787293	0.0262121986030185	0.0263044446368663	0.0262359803509416	0.0263617127232952	0.0349676331599173	0.0262988530564312	0.0349485669827088	0.0435653295336858	0.026694320426513	0.026293639365929	0.0261043616444676	0.0260887349747597	0.0439820281388136	0.0264811414797466	0.0350490403962067	0.0264527062765394	0.0261606072807098	0.026459568025641	0.0261943367274042	0.0264273972218125	0.0262517336363397	0.026369023971703	0.0262794974895239	0.0351362009124486	0.0265154516470001	0.043949377837388	0.0263672132497843	0.0261753130122953	0.043544613181356	0.0262272765154397	0.0262476919220506	0.0262868931426536	0.0350261043731946	0.034975678114119	0.0352645843967364	0.026648670762729	0.0527555050616123	0.0350433308790147	0.0526285689515469	0.0262317242177288	0.0263690367615868	0.0263573138630655	0.0262334173793868	0.0261041929127956	0.0262928735243605	0.026405652146146	0.0351368640816094	0.0266029003840108	0.0263120212430374	0.0263496899218986	0.0352121398958794	0.0261689794136803	0.0264616443787719	0.0260464488203713	0.0263861303608449	0.0262502457479021	0.0265266111861945	0.0263426673852807	0.0265072679473971	0.0263492439605391	0.0350899696224981	0.0263432678379645	0.0262391084214642	0.0264529033529195	0.0262699999387891	0.0264115318031192	0.0265019249342007	0.0264767266389796	0.0265399325515699	0.0264637849767256	0.0262743336151093	0.0266369713578884	0.0262824044333938	0.0697459451485063	0.0262544328194978	0.0263748513225029	0.0351932752648181	0.0437613652276643	0.034908419562989	0.0263906195768321	0.0267809564675736	0.052228603104604	0.0264865378324602	0.0349850840380154	0.043915570582967	0.0261887708360178	0.0526232380971362
CATD0354a	0.0175157829040057	0.0175023679655227	0.0174987633975176	0.0694629950078282	0.0291869338964851	0.0176051996498316	0.0176184796172608	0.0176261413282119	0.0176872620062442	0.0174743291470625	0.0175361978699309	0.0174909848127797	0.0175737858081732	0.0233112270736748	0.017532832059562	0.0232991151447222	0.0290436180684809	0.0177958481044911	0.0175287529239805	0.0174024694399973	0.017391929751926	0.0293213066735551	0.017653518554378	0.0233665605523392	0.0176352750340432	0.0174402712905	0.0176393762407522	0.0174631065028777	0.0176186081683214	0.0175014372207367	0.0175793255004868	0.0175194591018028	0.0234241173676572	0.0176772240385647	0.0293002264159432	0.0175778186629856	0.017449899101692	0.0290302983697678	0.01748489098207	0.0174983966401318	0.0175249908755815	0.0233503745588002	0.0233169315934948	0.0235099638498254	0.0177658495955047	0.0351697156142433	0.0233618690184741	0.0350861161196808	0.0174877771680392	0.0175793892913091	0.0175713962129754	0.0174891709404578	0.0174029439060833	0.0175278525633607	0.0176036364474946	0.0234247400272238	0.0177351469993143	0.0175413135126654	0.0175659928013708	0.0234741656198121	0.017446382433831	0.0176413394620123	0.0173641842005024	0.0175909813534357	0.0175003049406767	0.0176843151410892	0.0175617642122732	0.0176715805690734	0.0175658562178604	0.0233933995778368	0.0175620039589813	0.0174935049099473	0.0176353222534425	0.0175132767314648	0.0176080787031754	0.0176680969374509	0.0176507801380198	0.0176929897381548	0.0176425706050421	0.0175164683983863	0.0177576367932509	0.0175213384677435	0.0464988157652435	0.0175028539419348	0.0175834153062869	0.023462068412509	0.0291748162936	0.0232725384474474	0.0175934876314596	0.0178544729709761	0.0348209700541623	0.0176574465680239	0.0233234978816832	0.0292771079384219	0.017459444744454	0.0350814191881408
CATD0372a	0.0350298153917748	0.0350064939604681	0.0349946089867953	0.138928146235216	0.0583742211171218	0.0352059552962503	0.0352420735749946	0.0352549049542446	0.0353747712894207	0.0349453671507444	0.0350707670810489	0.0349841924618092	0.0351458531906801	0.0466195376837034	0.0350680249176279	0.0465993870611701	0.0580913422295953	0.0355893858850295	0.0350560003705328	0.0348024221363125	0.0347817996824255	0.0586461257285166	0.0353053168844217	0.0467365357470419	0.0352707214975584	0.0348797004160277	0.0352771887475207	0.0349265279843392	0.0352395115610746	0.0350048763757457	0.0351571823684999	0.0350381295335304	0.0468476354377294	0.0353538240953105	0.0586028398861781	0.0351516694031941	0.034898544046207	0.0580592467913242	0.0349687908826552	0.0349961570535617	0.0350525480184208	0.0467006288618956	0.0466317397931263	0.0470199750010403	0.0355311556484245	0.0703371551976838	0.0467206566648624	0.070170237621166	0.0349758090437915	0.0351571455195514	0.0351411191472375	0.0349801816185045	0.0348053994642093	0.0350505960811972	0.0352066220630502	0.0468501508279098	0.0354688025413883	0.0350825280349419	0.0351304958505177	0.0469430759983627	0.0348938742979557	0.0352853359385838	0.0347279112596456	0.0351828126144738	0.0350015186492749	0.0353675019252672	0.0351247767478439	0.0353434626615039	0.0351304350890218	0.046785221234253	0.035119998119889	0.0349914141039224	0.0352699058764621	0.0350271643761464	0.0352179730539295	0.0353384633616846	0.0352978012928174	0.0353855206445415	0.0352860502244357	0.0350348182677575	0.0355126511399777	0.0350415682076385	0.093008812721718	0.0350047193465234	0.0351687426033411	0.0469210177115923	0.0583541778866135	0.0465471906348636	0.0351854132993566	0.0357121666719318	0.0696523956311544	0.0353127800661612	0.0466506009107533	0.0585553011958165	0.0349200271230474	0.0701588570154166
CATD0352a	0.0175155920979873	0.0175026596060293	0.0174987930465804	0.0694657908144027	0.029186770354959	0.0176044158815423	0.0176195051927702	0.0176258013436477	0.0176876795773495	0.0174740489788451	0.0175357548467488	0.0174911425517974	0.0175746480755559	0.0233112330940014	0.0175332005129018	0.0232994286931171	0.0290451516702507	0.017795732384608	0.0175289087856582	0.0174024345924256	0.017392358935509	0.0293228480983319	0.0176541220841366	0.0233667465881554	0.0176350328444691	0.0174402298475132	0.0176394986832976	0.0174627462814987	0.0176187680432592	0.0175016175919043	0.0175787782216122	0.0175196038662639	0.0234239096173124	0.0176763863706529	0.02929974731686	0.017576928759267	0.0174500887857641	0.029028482000582	0.0174843943529742	0.0174982829591664	0.017525143400167	0.0233511469429565	0.0233164872405661	0.0235094359403179	0.0177654700854849	0.0351701945210509	0.0233614058905063	0.0350843827936109	0.0174879700073716	0.0175786491414305	0.0175710435204514	0.0174894108398527	0.0174024063027853	0.0175274183174128	0.0176036690050651	0.0234246422096251	0.0177348086992628	0.0175413501742527	0.0175664439627112	0.0234733637593522	0.0174459367980714	0.0176418749736558	0.0173642582776584	0.0175908119422963	0.017500356515782	0.0176840628104189	0.017562307279679	0.0176715481934842	0.017566029249122	0.0233925569632983	0.0175607586534111	0.017493568391477	0.0176348986041868	0.0175136553740423	0.017607934342487	0.0176686923592439	0.0176500835822603	0.0176934802321331	0.0176428354089846	0.0175166800280832	0.0177573446498607	0.0175214852849629	0.0464999436307117	0.0175026792063224	0.0175837868553661	0.0234610526571036	0.0291753762924158	0.0232728162222412	0.0175934358305105	0.0178546514528739	0.0348209322869092	0.0176571385857138	0.0233247275927559	0.0292774140507179	0.0174593104469583	0.0350814688708579
CATD0366a	0.0175157589354158	0.0175023459791132	0.0174985632994625	0.0694618451180961	0.0291870317957725	0.0176052766673879	0.0176183340635451	0.0176264654753126	0.0176870854855301	0.0174742478865195	0.0175362978453935	0.0174910541978449	0.0175732788683722	0.0233110379442537	0.0175328132111979	0.0232990446489143	0.0290431741072957	0.0177957537763176	0.0175285849413478	0.0174023246745221	0.0173916004635214	0.0293208211722685	0.0176531306667605	0.023366693058918	0.017635397533628	0.0174402365651651	0.0176392199275254	0.017463292537043	0.017618681195114	0.0175014820668563	0.0175794837185127	0.0175193420328929	0.0234241747574895	0.0176775699730514	0.0293005996035677	0.0175779749841428	0.0174497316003354	0.0290310486780296	0.0174850563868878	0.0174984083446086	0.0175250846068704	0.0233500111367346	0.0233170005687459	0.0235102100122468	0.0177659896555493	0.035169349609371	0.0233618854279326	0.0350867869874502	0.0174877046271355	0.0175796258333668	0.0175714517336034	0.0174891780055184	0.0174031603061838	0.0175277261060092	0.0176035798654562	0.0234248279403823	0.0177352075092387	0.017541290302089	0.01756568981701	0.0234741991335045	0.0174466585714002	0.0176412625990517	0.0173641208722057	0.0175911136868621	0.0175003392552542	0.0176843592574262	0.01756159385658	0.0176716147471242	0.0175656949045422	0.0233936868356217	0.0175623212922653	0.0174937570977805	0.0176354701769989	0.0175131413757979	0.0176082612080818	0.017667967719289	0.0176508607595138	0.0176927345122212	0.0176425067282906	0.0175164911503442	0.0177576037766206	0.0175212000022925	0.046499010760252	0.0175028712544293	0.0175833663541301	0.0234623369346842	0.0291748488104604	0.0232725455764327	0.0175934116829062	0.01785459656603	0.0348216555372404	0.0176574533945697	0.0233231618743465	0.0292770363017688	0.0174595792907385	0.0350811419041151
CATD0180a	0.0087578132869915	0.00875125488924339	0.00874922498438296	0.0347313992193838	0.0145934980784803	0.00880242412216511	0.00880943262450934	0.00881323531463418	0.00884361236568859	0.00873701163608315	0.00876804637932375	0.00874559809263487	0.00878673641851215	0.0116554586889872	0.00876651300902466	0.011649594985145	0.0145219098753748	0.00889781054194097	0.00876428492311616	0.00870110413754385	0.00869582322407997	0.0146607221538953	0.00882662235566258	0.0116834469036686	0.00881766499399638	0.0087200942120054	0.00881959603677794	0.00873159729578086	0.00880941344016779	0.00875081088298163	0.00878962658750354	0.00875967680122953	0.0117120427436641	0.00883864263445806	0.0146502759754113	0.00878876689560672	0.00872486874637303	0.0145152157323448	0.00874243076022603	0.00874917327743497	0.00876261970062943	0.0116751222264749	0.0116583871520842	0.0117550245402725	0.00888292485967318	0.017584700931602	0.0116808065781165	0.0175430841703189	0.00874388741540391	0.00878966443298572	0.00878563632532195	0.00874466463350621	0.00870148694899009	0.00876368881601354	0.00880178129653207	0.0117124129550352	0.00886752025011202	0.00877064873042352	0.00878288325696242	0.0117368655368873	0.00872328380748852	0.00882076969786417	0.00868206227182002	0.00879554854084473	0.00875019665952612	0.00884211701055843	0.00878090692624376	0.00883580870638696	0.00878284734216595	0.0116966802807283	0.00878088433078453	0.00874698078352471	0.00881765421493546	0.00875664193615677	0.00880414643624513	0.00883412336875428	0.00882524400300815	0.00884643331119779	0.00882131330331368	0.00875831771970706	0.00887870176823658	0.00876059938515644	0.0232499140905265	0.00875138791689877	0.00879178063838985	0.0117309462666454	0.0145876062142456	0.011636360014185	0.00879666506513025	0.00892739342169985	0.0174110413863722	0.00882863482423465	0.0116618463532278	0.0146385881644674	0.00872979279990326	0.0175404950556463
CATD0375a	0.0262731950772978	0.0262544682717588	0.0262488584972242	0.10420622070106	0.0437796187650871	0.0264052806980011	0.0264311556489878	0.0264372080091495	0.026532659663622	0.0262109343817856	0.0263026961440373	0.0262367180491398	0.0263647732651156	0.034967450971266	0.0263003777663388	0.034949804760388	0.04357127489106	0.0266937316089018	0.0262941088424312	0.0261040567047965	0.0260901739078161	0.0439879607461135	0.0264832473908079	0.0350499660104832	0.026451824833481	0.0261603953715787	0.0264599101333072	0.0261930299156918	0.0264281478728691	0.0262525393446814	0.0263669020862432	0.0262799762643661	0.0351353925027626	0.0265123176888325	0.04394777769575	0.026363652231802	0.0261759248760236	0.0435378178336599	0.0262253749500419	0.0262472279540115	0.0262876356734772	0.035028945334815	0.034973890042614	0.0352626402095624	0.0266472326248059	0.0527571122749264	0.0350414064056467	0.0526220347756337	0.0262324534691255	0.0263661918348942	0.0263558954804254	0.0262344313248983	0.0261021754238413	0.0262909134912229	0.0264057266406802	0.0351365502349682	0.0266015478392239	0.0263121495530282	0.0263512498856044	0.0352088134560925	0.0261674131797302	0.0264638061407893	0.0260466900587808	0.0263855649541339	0.0262504997030816	0.0265256012372443	0.0263447582940793	0.0265071696431805	0.0263497927654387	0.0350867505596794	0.0263383927780753	0.0262396512810284	0.0264512887090866	0.0262714395982649	0.0264111264927661	0.0265042805501725	0.0264738935411335	0.0265417098679382	0.0264648255681619	0.0262752461961978	0.0266357098243539	0.0262828683500272	0.0697508895636938	0.0262537189243436	0.0263763559985024	0.0351893094576127	0.0437637496639147	0.0349095924372586	0.0263903190097758	0.0267818406246125	0.0522291965454284	0.0264852535671027	0.0349898732088648	0.0439167759205442	0.0261883551315663	0.0526231423501763
CATD0351a	0.0175154301392408	0.0175027309806207	0.0174982056709285	0.0694636527418124	0.0291869874921263	0.0176042779514432	0.017619551116415	0.0176266152598332	0.0176873458851301	0.0174736727258846	0.0175358465040909	0.0174914254150055	0.0175735309686003	0.0233106675458963	0.0175333175199517	0.0232993646088962	0.0290445402301264	0.0177953943641155	0.0175284774094284	0.0174019831090927	0.0173915716076711	0.0293221155058491	0.0176532408187861	0.0233672324849617	0.017635286845527	0.0174401059563947	0.0176390866264258	0.0174631355930757	0.0176190628575073	0.0175018373753896	0.0175789957781806	0.0175193202695509	0.0234239841769704	0.0176770312064357	0.0293006430487199	0.0175769791366373	0.0174496747963455	0.0290298808293248	0.0174846573789791	0.017498264556637	0.017525496972861	0.0233504187840917	0.0233164851071131	0.0235099269225273	0.0177657121415859	0.0351693202847004	0.0233612369338657	0.0350855820201144	0.0174878428870744	0.0175790111832457	0.0175710441516026	0.0174895451365216	0.0174028032724362	0.0175268336191095	0.0176035143049484	0.0234248603113441	0.0177348311077616	0.0175412976986951	0.017565746043782	0.0234730865614673	0.0174465566392705	0.0176418963653612	0.0173641028713163	0.0175911297970997	0.0175004839477152	0.0176840764689621	0.017562051261252	0.0176716356492774	0.0175656260080007	0.0233930231282565	0.0175611254157463	0.0174943562034269	0.0176351434895271	0.0175134270470548	0.0176084147825081	0.0176685846448608	0.017649997586115	0.0176929443777138	0.017642768243643	0.0175168481446882	0.0177571077391296	0.0175211383532721	0.0465010612052317	0.0175026488824488	0.0175838148513286	0.0234613809154076	0.0291757379410742	0.0232729685616418	0.0175931831706883	0.0178551070079676	0.0348229745508036	0.0176570139497304	0.0233242973601364	0.0292773430333234	0.0174596515010128	0.0350806589721514
CATD0182a	0.0262725730911257	0.0262544588415397	0.0262456169049102	0.10419074926338	0.0437810255357915	0.0264055997061734	0.0264300048910463	0.0264421081532589	0.0265302706609202	0.0262092666089332	0.0263038008712813	0.0262380441149671	0.026357507299451	0.0349643606141453	0.0263005120909868	0.0349490271763937	0.0435658476099013	0.026692047543936	0.0262915449997812	0.0261016438090521	0.0260852968109815	0.0439818625199949	0.0264776201784711	0.0350523599158373	0.026453539946271	0.0261597768028977	0.0264574972312939	0.0261956436884648	0.0264295361517895	0.0262534907200014	0.0263688353641868	0.026278232952655	0.0351360826457938	0.0265169762585696	0.0439533137637986	0.0263651424719782	0.0261734095836898	0.0435479225245373	0.0262274868356239	0.0262472829625941	0.0262893542163599	0.0350239218534574	0.034974485443896	0.0352660371463896	0.0266490702325269	0.0527516936161033	0.0350411182998313	0.0526309382263846	0.0262314972501684	0.0263691760108319	0.0263563807314921	0.0262348354916494	0.026105073252214	0.0262883202145075	0.0264048390768727	0.0351378724771884	0.0266021321113334	0.0263118134877226	0.0263468300271201	0.0352083981961573	0.0261713999805302	0.0264631911619852	0.0260457419264869	0.0263875286358123	0.0262511237271151	0.0265260203813899	0.0263426211593707	0.0265076904892336	0.0263473587986589	0.035090442163962	0.0263420927705192	0.0262438579889556	0.0264532020340182	0.0262696779966863	0.0264139420125811	0.0265028801240754	0.026474376439188	0.0265381194990081	0.0264640977821698	0.0262758732944443	0.0266348178001531	0.0262807770701149	0.0697554393674391	0.0262537923702339	0.0263760010000806	0.0351924860229156	0.0437649555709019	0.034910043192183	0.0263890128253859	0.0267840794926012	0.0522403781003371	0.0264849950570182	0.0349858486186489	0.0439159707104495	0.0261903972763166	0.0526186606804186
