	Signature A	Signature B	Signature C	Signature D
CATD309a	0.0295568563848629	0.0289135276902459	0.0263497341895751	0.915179881735316
CATD319a	0.277591573266961	0.286968344368447	0.279708169079057	0.155731913285535
CATD310a	0.27605795519787	0.278753921522636	0.278172830683813	0.16701529259568
CATD297a	0.201032183330847	0.199278267525679	0.19956806341846	0.400121485725015
CATD312a	0.264834225603943	0.26410045629987	0.262060997030691	0.209004321065496
CATD323a	0.285568595619747	0.287805451534452	0.286194842510429	0.140431110335373
CATD314a	0.206681071948952	0.209508663670119	0.207390495474747	0.376419768906182
CATD329a	0.249787237130165	0.381295488826506	0.311281555430791	0.0576357186125389
CATD311a	0.271576654203679	0.269930302204971	0.269823646535713	0.188669397055637
CATD306a	0.277639266345179	0.272960064146179	0.277652983995944	0.171747685512698
CATD320a	0.25272700997961	0.253119607921828	0.254198846667784	0.239954535430778
CATD300a	0.290717428829334	0.298015761084161	0.304149023722552	0.107117786363953
CATD328a	0.268958239366039	0.260510777875685	0.262798338499209	0.207732644259068
CATD0674a	0.218154042679668	0.21573768791958	0.216591609243038	0.349516660157714
CATD318a	0.257282778360807	0.262841160471714	0.259267913284832	0.220608147882647
CATD301a	0.245867854372491	0.236831364095522	0.240629487856267	0.276671293675721
CATD308a	0.241049868848997	0.239861855240632	0.240300201052359	0.278788074858013
CATD296a	0.268087524898365	0.264940897622401	0.26708347048315	0.199888106996084
CATD0675a	0.257059418586074	0.257023070277257	0.257361021547524	0.228556489589145
CATD0676a	0.273898311828634	0.272017793624992	0.272156662069363	0.181927232477011
CATD326a	0.288761608261492	0.293212165087823	0.294973688870123	0.123052537780561
CATD0677a	0.258719807580058	0.257584774748452	0.257187123818094	0.226508293853396
CATD304a	0.237624970897472	0.235973945873592	0.236062297178053	0.290338786050884
CATD299a	0.262809650962758	0.265612103643895	0.265361966557207	0.206216278836139
CATD317a	0.260060413509363	0.258305665672301	0.257209587748193	0.224424333070144
CATD307a	0.255272082490306	0.257646523179685	0.257452466247607	0.229628928082402
CATD303a	0.206183552607625	0.203511376883737	0.20453838160527	0.385766688903368
