	ACA>AAA	ACC>AAC	ACG>AAG	ACT>AAT	CCA>CAA	CCC>CAC	CCG>CAG	CCT>CAT	GCA>GAA	GCC>GAC	GCG>GAG	GCT>GAT	TCA>TAA	TCC>TAC	TCG>TAG	TCT>TAT	ACA>AGA	ACC>AGC	ACG>AGG	ACT>AGT	CCA>CGA	CCC>CGC	CCG>CGG	CCT>CGT	GCA>GGA	GCC>GGC	GCG>GGG	GCT>GGT	TCA>TGA	TCC>TGC	TCG>TGG	TCT>TGT	ACA>ATA	ACC>ATC	ACG>ATG	ACT>ATT	CCA>CTA	CCC>CTC	CCG>CTG	CCT>CTT	GCA>GTA	GCC>GTC	GCG>GTG	GCT>GTT	TCA>TTA	TCC>TTC	TCG>TTG	TCT>TTT	ATA>AAA	ATC>AAC	ATG>AAG	ATT>AAT	CTA>CAA	CTC>CAC	CTG>CAG	CTT>CAT	GTA>GAA	GTC>GAC	GTG>GAG	GTT>GAT	TTA>TAA	TTC>TAC	TTG>TAG	TTT>TAT	ATA>ACA	ATC>ACC	ATG>ACG	ATT>ACT	CTA>CCA	CTC>CCC	CTG>CCG	CTT>CCT	GTA>GCA	GTC>GCC	GTG>GCG	GTT>GCT	TTA>TCA	TTC>TCC	TTG>TCG	TTT>TCT	ATA>AGA	ATC>AGC	ATG>AGG	ATT>AGT	CTA>CGA	CTC>CGC	CTG>CGG	CTT>CGT	GTA>GGA	GTC>GGC	GTG>GGG	GTT>GGT	TTA>TGA	TTC>TGC	TTG>TGG	TTT>TGT
CATD309a	70.4385118801114	41.2874916100612	34.5070519047123	34.4455135499103	201.198964750164	120.885581643677	116.603204444802	96.2571800838648	115.805917600959	59.1836999249423	65.5240608284153	47.1000107547255	100.011552194389	60.1980151459909	32.7069807809095	51.4925529493823	225.66412139369	111.663897763574	63.5656219297332	84.7889564305485	173.197046975657	171.41447555823	157.429011542604	147.273485528313	197.073228198124	156.159401006775	74.7483218188233	76.3020174226553	258.471414112771	194.485895087048	89.3990808011526	147.121579855378	615.68477050764	334.053341208677	453.13207632767	707.457855217389	473.95838603518	324.280369806055	369.781950619661	724.816566031502	374.845470129421	268.109291226244	277.045907677426	608.532138951053	398.747357450356	363.96646080576	245.520402395361	657.143056687355	77.9871781967187	24.8696191720403	81.9438533343053	16.0024280305862	160.62841734488	143.054819438291	284.111446903867	84.9234811712746	67.4939745375981	28.3577830914038	116.663878631792	22.6491610731413	55.7467829547372	46.0833301528797	92.5629203950087	52.6074452319941	869.856987578785	530.115566561911	1281.43232714164	1068.60658293137	717.149095620575	507.550660746814	1147.92503799542	978.365036507424	453.930064046984	418.277300598206	842.231334333024	994.046513765644	510.167528858504	527.004237132932	817.869386176793	820.994978620514	91.9848768474118	75.917784840965	186.492907588419	30.2268085022185	137.913287619341	265.533260738198	378.815262538489	100.046840831913	132.34112654431	98.366060098307	212.860410135199	62.9143363142813	160.483163051516	164.245715160264	274.925688934429	97.2440654288376
CATD319a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01985683485312	1.08507682857238	0	0	0	0.862716469207126	0	0	0	0	0	0	0	0	0	0	1.01985683485312	0	0.780566482753804	0	0	0.862716469207126	0	0	0.80071361203748	0.845025817192716	0	0	0.783601175633072	0	0	0	0	0	1.08882882841304	1.17525596944838	0	1.34968139924651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.32610327858214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CATD310a	0	0	0	0	0	0	0	0	0	0	0	0	0	0.870510777353039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.23032789567154	0	0	0	0	0.899161326975419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CATD297a	0	0	0	0	0	0	0	0	0	0	0	0	1.37358148100338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.480163616676907	0	0	0	0.31060966369555	0	0	0	0	0	0	0	0.461183941629864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.49411275503472	1.88034854195958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CATD312a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.86075293795456	0	0	0	0.5568064120171	0	0	0	0	0	0	1.75571113761199	0.826729512416347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CATD323a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.78649701433786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.36732886742158	0	0	0	0	0.42798361213581	0	0	0	0.926980804351179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.49120970175357	0	0	0	0	0
CATD314a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.568391137110829	0	0	0.902735451104354	0.633663390453549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.77702360455403	0	0	0	0	0	0	0	0	0	0	1.11818641677723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CATD329a	0	0	0	0	1.2186064395929	0.751540098233808	0	1.13102600764689	0	0.837844603153568	0	1.10685430588409	0	1.08819887401195	0	0	0	0	0.53349913765349	3.11335589461474	0	0	0	0	0	0	0	2.21370861176818	0	0	0	0	0	2.20513546771249	0.53349913765349	0	0	0.751540098233808	0.345111503606321	0	2.38723599052115	4.18922301576784	0.747485955378862	7.74798014118862	0	1.08819887401195	0	1.44057074458892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3669240517376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.20246104703935	0	0	0	0	0
CATD311a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.12243734495433	0	0	0	0	0	0	0	0	0.877562655045672	0	0	0	0	0
CATD306a	0	0	0	0	0	0	0	0	0	0	0	0	2.05687001059475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01288491680918	0.930245072596064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
