	ACA>AAA	ACC>AAC	ACG>AAG	ACT>AAT	CCA>CAA	CCC>CAC	CCG>CAG	CCT>CAT	GCA>GAA	GCC>GAC	GCG>GAG	GCT>GAT	TCA>TAA	TCC>TAC	TCG>TAG	TCT>TAT	ACA>AGA	ACC>AGC	ACG>AGG	ACT>AGT	CCA>CGA	CCC>CGC	CCG>CGG	CCT>CGT	GCA>GGA	GCC>GGC	GCG>GGG	GCT>GGT	TCA>TGA	TCC>TGC	TCG>TGG	TCT>TGT	ACA>ATA	ACC>ATC	ACG>ATG	ACT>ATT	CCA>CTA	CCC>CTC	CCG>CTG	CCT>CTT	GCA>GTA	GCC>GTC	GCG>GTG	GCT>GTT	TCA>TTA	TCC>TTC	TCG>TTG	TCT>TTT	ATA>AAA	ATC>AAC	ATG>AAG	ATT>AAT	CTA>CAA	CTC>CAC	CTG>CAG	CTT>CAT	GTA>GAA	GTC>GAC	GTG>GAG	GTT>GAT	TTA>TAA	TTC>TAC	TTG>TAG	TTT>TAT	ATA>ACA	ATC>ACC	ATG>ACG	ATT>ACT	CTA>CCA	CTC>CCC	CTG>CCG	CTT>CCT	GTA>GCA	GTC>GCC	GTG>GCG	GTT>GCT	TTA>TCA	TTC>TCC	TTG>TCG	TTT>TCT	ATA>AGA	ATC>AGC	ATG>AGG	ATT>AGT	CTA>CGA	CTC>CGC	CTG>CGG	CTT>CGT	GTA>GGA	GTC>GGC	GTG>GGG	GTT>GGT	TTA>TGA	TTC>TGC	TTG>TGG	TTT>TGT
CATD0735a	0.824282296275193	0.84811478677152	0.474008716680415	0.647215668320966	0.700942451528218	1.15213135210071	0.929320619767189	1.83931195664912	1.51328784528436	1.39995076804375	0.464853850915877	3.52540296005133	0.469433906811368	0.781714864885197	0.472772740876664	0.869388551071209	0.612688359686873	0.61574521353874	0.472330449686969	2.15463785661637	0.669965996123995	0.777292927783217	0.462869362075675	0.605360455295375	0.663231368866354	1.62983493043731	0.664949900299598	1.76787807474094	0.721719755484495	1.10231244099262	0.469666832927809	0.798711601864877	1.38588549582874	0.784195843494029	3.05595811781119	1.68004897944693	0.901099680910186	1.21746564134241	2.83994887476655	2.81656199139708	3.65973614285529	2.63902991514819	7.54976555230063	3.19589772868365	1.7107761815734	0.98507101068433	2.21703269205816	2.76778469490864	6.29840819537642	2.76087045674451	0.470287806876677	0.760437915028363	2.79759783160816	0.530324126288214	0.880200732519504	0.727810512275242	0.56195482865469	1.8687678301663	1.70344733449032	1.61194278723234	0.63955586594579	0.630293348870772	0.465339355931399	2.2053559123924	0.910177395158911	5.91312368600488	4.97362370081124	4.4125229814571	2.73587199593361	3.94769378743375	4.57026980772394	0.663509433624885	5.05725638584743	11.4395815091221	7.30675218861762	2.94766883294132	6.3991350289379	8.47825469958216	4.32638025867828	3.18549037905622	0.952957047678938	2.99250614261954	0.735829310150796	0.948808489837731	1.48912687867235	0.788597963851795	3.13490498308532	2.89106090523314	3.77173865375023	4.0600992586021	6.35986714576179	15.5636885755503	1.00750882769857	0.982944877281991	0.850296003460427	2.78257061976882
CATD0575a	0.0714365140943296	0.0339456802921433	0.0162885066805949	0.0626367690262131	0.0245954108198196	0.028829022463022	0.020217642363632	0.0407168233262424	0.0460609934439878	0.0363555396389021	0.0161256876665015	0.0590865513418308	0.0160214632269145	0.0350823131365314	0.0162002319190472	0.0578446690081441	0.0261401793021246	0.0381944587835235	0.0163292536903336	0.0711286081663422	0.0373533746990063	0.0351724629206635	0.0162013500675523	0.0383600370389781	0.0497611203944969	0.056614489755994	0.0247058518763352	0.140499955749721	0.048768723274989	0.029032371513907	0.01597602358974	0.0843253183866949	0.0732927799550508	0.0969915362504957	0.104597436387813	0.0804195469160427	0.0822550323059165	0.0769943089866866	0.0586757126489384	0.0840420775375044	0.118335140418366	0.124684281196182	0.0968034640631609	0.151231766815432	0.0430307994307651	0.129789430115411	0.0584481660803781	0.0486214560781423	0.082336082485738	0.0354379100991261	0.0162944656263925	0.122534278855402	0.0476838677869775	0.0272432651136992	0.0458322610282223	0.0361118196641034	0.0268638589499564	0.0278784639741806	0.0306550994135165	0.0444993673079559	0.0378535733075474	0.0504730795051697	0.0160446100716665	0.0339027705548138	0.0450735759356187	0.0780852071677652	0.0696066524398577	0.140924436752622	0.0488529292769731	0.0755013925648905	0.0885920470889127	0.0372769171714744	0.093051205448645	0.112422937733774	0.0765203063908479	0.0948863527717484	0.0683575958914665	0.0927704137101278	0.119320230889668	0.0653282313362416	0.205176671599975	0.0564544434538806	0.0481330511820674	0.0688908737477317	0.0706289370561288	0.0225996745624859	0.0536550422024221	0.0704701999450657	0.0548506950275649	0.0621323227499586	0.0705719396642778	0.148285860573479	0.142408151362784	0.0437902424138156	0.0954318604213731	0.0600844948773447
CATD0584a	0.141619030226696	0.0616347306899912	0.0287432671044339	0.125110748536335	0.0435855224009561	0.04698850012251	0.0314479305461683	0.063734013815211	0.0791367780158676	0.0599129715604671	0.0285107282837099	0.0818684053447087	0.0282323905321664	0.0648742154537395	0.0285709634519034	0.11216943322106	0.0479635629248515	0.0735476502917046	0.0288506913849027	0.124465078331812	0.0710874192823483	0.0651206757531547	0.0286961649067258	0.0740283904939623	0.0975442544951474	0.100123331514774	0.0442666613943382	0.276714208509921	0.0947094715948308	0.0480385986996596	0.0281329173927738	0.169331991304367	0.138599443217381	0.196434726583412	0.184426364311287	0.150099451250639	0.163661641642293	0.148556031341772	0.0894963602008943	0.143703942467558	0.206138328248307	0.232292872789562	0.11212627789084	0.281814490230117	0.0702466311526124	0.263657043661678	0.0967382975806302	0.0690205162558216	0.0968948257800657	0.0410839545559745	0.0288020810304583	0.251021810696782	0.0666578717101588	0.0513297360585882	0.0865023378409948	0.067731023725502	0.0501309947097694	0.0360800908929154	0.0440323302649647	0.0745939111050706	0.0725277733549722	0.0994660682265544	0.028332372245785	0.0447105989027818	0.0845179332705538	0.0926377865414596	0.086268146355503	0.244816759583935	0.0699083157854214	0.111521624389757	0.131625112310072	0.0710049811102359	0.135063527448281	0.0970835808713228	0.072027295937721	0.165127987114422	0.0659335784450442	0.0920384090825919	0.199964262550768	0.0993511226774206	0.424294842616924	0.0828828742371668	0.0931833263563598	0.134663726538403	0.131656874658762	0.0382563501313507	0.0751665264135756	0.113932250547714	0.0698097403514457	0.0817108821059521	0.0711272940177567	0.122163639408509	0.290200512716673	0.080887656114918	0.192299759642995	0.0932024231596487
CATD0600a	0.108747415987527	0.0602388032616486	0.0301629814965001	0.0939345317750487	0.0452679176208857	0.0592613988019044	0.0438362318911819	0.0876774426147892	0.0885390284545681	0.0737391580187561	0.0297786078643646	0.143299181520643	0.0297284419614304	0.0604772300834477	0.0300245224020434	0.0918453858253568	0.0456292625281178	0.0614271663796615	0.0301847015459098	0.133305479521184	0.0613461639260819	0.0605119838405919	0.029840175309432	0.0614485406505531	0.0774219183476818	0.104506504096315	0.0447368400311474	0.216634618977442	0.077223399196694	0.0585922308913821	0.0296734767673975	0.125097937376186	0.121708137551477	0.141365216750956	0.193919847489069	0.136533407842118	0.124315550251597	0.123381723533975	0.129902217381987	0.162586985638012	0.223186706996156	0.212326964822104	0.268055239331674	0.257440785406032	0.0882874586161459	0.187961724804725	0.117917933240688	0.115419364018704	0.225685680043702	0.0980744848956771	0.0301009510200523	0.174273338549848	0.114754409573272	0.0455243610434302	0.0763623688528627	0.0608102125632228	0.0456223853653383	0.0714656862591198	0.0719896907515416	0.0883508114545531	0.0614287714837817	0.0777336157869493	0.0296818452942583	0.0856473273603271	0.0759340953612293	0.21290615393708	0.184207908550551	0.266807732479826	0.115122877115193	0.172656800469165	0.201431426768841	0.0611251872079043	0.216391064189214	0.361431963612217	0.237009952827646	0.179207332284608	0.209322324270756	0.280209169691977	0.236980619967664	0.14507216574828	0.285800319261311	0.129863949834798	0.0766580581700044	0.107759663653456	0.12016669002289	0.0443064657133484	0.128880161547506	0.146262494173444	0.142389724590303	0.157308339398822	0.211477083819203	0.485638475875301	0.204860305734113	0.0756235740615229	0.140568753704477	0.130665283018122
CATD0576a	0.117918708695127	0.053332298355545	0.0251941965657035	0.103840136834986	0.0381304828632678	0.0427378020788064	0.0292537331082663	0.0591058101057967	0.0702216307948781	0.05420903174862	0.0249684944923633	0.0807045320180403	0.0247622320452195	0.0556790787009882	0.0250497698991342	0.0942878887318652	0.0413081648797048	0.0620109399362442	0.0252741710506771	0.109516478768046	0.0602442723856666	0.0558602115945352	0.0251102994566895	0.0623570191690223	0.0816125882276682	0.0876729872747943	0.0385333283917534	0.231052103890266	0.0795605637258605	0.04338217647774	0.0246827445313545	0.140225417185245	0.117786033431619	0.162084085414022	0.161714219598271	0.128295846168597	0.136060745703283	0.125145523266988	0.0840547845435273	0.127797039442722	0.181755714089122	0.19871012261063	0.12172262915749	0.241048774221413	0.0638441160520595	0.217273699580317	0.0873500146016873	0.0671989479882749	0.104259174735626	0.0445778328775685	0.0252264598587237	0.206131722971936	0.0654108359746102	0.0436917547793018	0.0735750132758479	0.0577677649254729	0.0428523811899044	0.0368628224045558	0.0426141122130859	0.0669534195870977	0.0612840605066753	0.0830313447771364	0.024826251889237	0.0452264802929257	0.0720934615785195	0.0992321623298462	0.0902177320472195	0.216130948118573	0.0677856990607342	0.10642195588079	0.125239950731122	0.0601510541778492	0.130023128353355	0.125552274774897	0.0882947594222082	0.145662070631727	0.0796345734847642	0.109295229533588	0.179503895436111	0.0934453303300526	0.347051657083777	0.07933368087247	0.0783843673055175	0.112805908816661	0.112596009708394	0.034181146096288	0.0736789062139902	0.10402659917569	0.0719654526654782	0.082775806413757	0.0836733339751885	0.162793150351584	0.238832034196116	0.0694568253621912	0.159011883629059	0.0868159901288825
CATD0679a	0.0852383349508427	0.0400284061088695	0.0191373613257201	0.074817165057177	0.028912569874985	0.0335447905347449	0.0233983210871871	0.0471561071763884	0.0539368650539568	0.0423576847415831	0.0189506686708999	0.0675385139447737	0.0188202806057405	0.0414675164833331	0.0190322581165164	0.0688100188378304	0.0308663554299788	0.0453913523657205	0.0191882200483557	0.0834806602352444	0.0443211401509952	0.0415807765461759	0.0190439276443259	0.0456017359217259	0.0592823505556598	0.0665347862335676	0.0290831904009145	0.167492215335561	0.0580253233296857	0.0338417972612385	0.0187652726081165	0.100798963846754	0.0868902259491842	0.116079802708716	0.122878895807351	0.0951730264864492	0.0981970772568951	0.0915269583000179	0.0677577804734447	0.0983544674716361	0.138806699034387	0.147522717796405	0.108801645793593	0.178938150699346	0.0500789490815141	0.155399454170082	0.0681327754349401	0.0557152996083234	0.0926693594825096	0.0398332968632776	0.0191484213854137	0.146889452202002	0.0545542167260607	0.0322816728763373	0.0543210315559287	0.0427644913346758	0.0317914336344689	0.0316522266823912	0.0351710189044481	0.051951921747693	0.0449556899540531	0.0601747552538677	0.0188524454735525	0.0385620910689128	0.0533753977941576	0.0879476425696292	0.078708235242486	0.165247403568745	0.0560275394712528	0.0868820410073827	0.102010408148823	0.0442357206421077	0.106877154039052	0.123572507020169	0.0846090526713323	0.111287669161148	0.0757170801688253	0.102973163635776	0.139299143043269	0.0754154533319969	0.246291913573593	0.0649216350903658	0.0572444862246023	0.0820404633086081	0.083572077327571	0.0264158881653591	0.0613992951592235	0.0819195819773802	0.0621765855505984	0.0706520770828434	0.0784268017632327	0.162497194339032	0.170584533415444	0.0517528426600145	0.114131140537429	0.0695154906061021
CATD0591a	0.123875984641639	0.0845453227622926	0.0443408065985554	0.104366905927118	0.0661210310870512	0.0961002186090033	0.0742216689733723	0.147661190014643	0.13511484231517	0.118208991249807	0.0436490702576276	0.262458264345806	0.0437937026160828	0.0820423612593839	0.0441754996250636	0.11166891598589	0.0628311952140792	0.0760801726329389	0.0442905820331139	0.198395138531158	0.078218491745046	0.0818913567718616	0.0436194936158039	0.075675494684779	0.0913000009209683	0.153121297882055	0.0642157015469625	0.251890800282574	0.0935142884571739	0.093517731812533	0.0437575135301261	0.136419544499406	0.157488649853668	0.149343645397068	0.285416787517713	0.181771331204416	0.139934533624124	0.152027986725359	0.223445120615123	0.249647728553151	0.334291918794629	0.283749135803343	0.529808095759381	0.343881420237377	0.142939351511404	0.196226510797388	0.188149549058047	0.208477489439708	0.443704974860525	0.193786399094245	0.0441379120852907	0.175716718135	0.209137807248587	0.0593935997838924	0.0992457113611415	0.0801262547265952	0.0607617230196085	0.135390956645106	0.12910131774185	0.138971599824964	0.0770500853201755	0.0902190879606259	0.0435884311283565	0.160864686530518	0.100109311649315	0.417415205594185	0.35535583775028	0.401153686547448	0.206933015700501	0.304026188571809	0.353257053213406	0.0777722654318114	0.385495099059696	0.765615369647688	0.494130806078979	0.268788845797833	0.434207983751633	0.577674825162053	0.372869681432909	0.250104130212453	0.276202804436627	0.229619113840476	0.093618566838863	0.128120902879629	0.160407735552068	0.0688879590274097	0.234594355984179	0.239116115493855	0.271723244392596	0.295847422967545	0.434400766713136	1.03656609339207	0.211178298521548	0.102811400436939	0.151370806072499	0.221745007061092
CATD0686a	0.1487162792499	0.0811525404680094	0.0404804404604574	0.128662024236836	0.060784823811117	0.0788404312857128	0.0580776026715681	0.116222677045776	0.118442583859787	0.0982068157853278	0.0399743445216817	0.188326808566076	0.0398902036542337	0.0816922422935413	0.0402916764411047	0.125059528189221	0.0615639925828206	0.0835337337968654	0.040515915946649	0.178716387296385	0.0832512019201914	0.0817544452700027	0.0400662180868096	0.0835959993872664	0.105638180896807	0.140292763683589	0.0601586846900253	0.295862037518422	0.105178782990347	0.0780654778366352	0.0398130020595094	0.171544536019363	0.164989179734436	0.194222352626448	0.260224789121298	0.184693886973741	0.17013530778293	0.167845145686558	0.171834908083169	0.217381844280879	0.299051998530936	0.287140189576594	0.349292048145239	0.348161903463993	0.117473990630983	0.258421969816353	0.157112555485861	0.151911234597629	0.294263708146909	0.127801299211009	0.0404057936018712	0.240081198478611	0.150892713291773	0.0616760331313606	0.103484441242109	0.0823243579284769	0.0617133362071453	0.093575311892208	0.0948221794290834	0.117871706188075	0.0834613852873496	0.10617501061904	0.039838199903021	0.112251664593822	0.102794697331309	0.277690621651422	0.240706089594945	0.3573831421659	0.151598697687599	0.227848758762984	0.26593225308423	0.0829639850827914	0.285219926535967	0.467021269648195	0.306860531492212	0.240094745574644	0.271182184984323	0.363293285763385	0.316155084313125	0.191858228810509	0.394643491927751	0.171303814922825	0.104348039930388	0.146951987594125	0.162521212744716	0.0591726127696941	0.169489056211731	0.194436545494779	0.186289906170521	0.206142658068949	0.274303058057536	0.626909509458409	0.28186235499819	0.102134746872486	0.192907204801709	0.173076271281706
CATD0734a	0.328397028422075	0.148334775121489	0.0700436585359026	0.289220879048393	0.106015151663709	0.118676412691053	0.0811761513640883	0.164028189396285	0.195148811106369	0.150555185212697	0.0694181628144868	0.223557053148251	0.0688412919772692	0.154903998563911	0.0696415301095671	0.262501254914365	0.114909604956497	0.172623111974642	0.0702672900786404	0.304434114793191	0.167676052103289	0.155410749672441	0.0698142881737761	0.173592114380585	0.227248908971204	0.243752072285242	0.107152787959359	0.643405291182962	0.221504606999057	0.120492983476858	0.0686196039796017	0.390593552535247	0.327799471122871	0.451536557796133	0.449584424264819	0.356979237362427	0.378941861187497	0.348384378584347	0.233174714675558	0.3551279038108	0.505210880200132	0.552889831800386	0.336274834893094	0.670694836324404	0.177289647370707	0.605311524812448	0.242613631323365	0.186213637051737	0.288097928003255	0.123153787204998	0.0701351099935258	0.574341236501122	0.181216690246711	0.12158791760797	0.204753967365825	0.16074864680687	0.119235106275111	0.10200772956395	0.118108075385468	0.185997765734919	0.170587079860809	0.231217441547202	0.0690214251410627	0.125187291960687	0.200611576450293	0.274239936121621	0.249490600260287	0.60073621176196	0.187862307150962	0.295080321105946	0.347288310154475	0.167418798062632	0.360425312145676	0.345374008342305	0.243183869913014	0.404878495460787	0.219409162637399	0.301253567433763	0.498663034784315	0.259213382893323	0.967116713925806	0.219951473911831	0.218219911813287	0.314093189988137	0.313288979131315	0.094969738707895	0.204129483944331	0.288830983330439	0.199094566971241	0.229114527543294	0.230684251542194	0.447521294987219	0.665402284644316	0.193231717541501	0.44294514176213	0.240895606183591
CATD0678a	0.0949616954158718	0.0422088380052631	0.0198251878724235	0.0837465419971354	0.0300303171440812	0.0330879492744004	0.0224292942166246	0.0453770715812536	0.0549577521276862	0.04206475577885	0.0196552306668008	0.060379377277429	0.0194797432661515	0.0442277320236144	0.0197092316134419	0.0756038410467007	0.0327614424471611	0.0496543821137465	0.0198930779043868	0.0860312654315198	0.048127952108001	0.0443824622402336	0.0197740640718791	0.0499530314675229	0.0655793629059062	0.0690200683177123	0.0304151924415327	0.185831723413535	0.0638133749477925	0.0336915009205261	0.0194145023224743	0.113208370393606	0.093978513292075	0.131072130914846	0.127231186283439	0.102098409827189	0.109649641083088	0.100247735691361	0.0641817017547343	0.0999207678696548	0.14264855388628	0.15807692568148	0.0875891980403981	0.191766416095322	0.049444738137219	0.175805219174868	0.0678416921426289	0.0505363099277313	0.075284868420806	0.0320836213567456	0.0198573179318008	0.167061029814898	0.049030400232972	0.0348352505531476	0.0586810515494921	0.0460165022267607	0.0341008741056931	0.0271763532940023	0.0321281269863972	0.0521365335405716	0.0490240063680824	0.0667886710348014	0.0195383752465932	0.0334784571685723	0.0574251030695417	0.0717820117775876	0.0658879890328623	0.169533053746491	0.0510649340035774	0.0807121942829006	0.0951016513561738	0.0480619253086246	0.0982470526295337	0.084655233925951	0.0606837921817846	0.114298045415741	0.0550292367581274	0.0759994521867504	0.139772079328036	0.0713080082688385	0.281780623391511	0.0600906539617296	0.0628313774015297	0.0905946114770467	0.0895815573722516	0.0266702961218608	0.0552533648216095	0.0804031654852593	0.0528627464958254	0.0612369860075111	0.0583868653104449	0.108626682145966	0.193366277974533	0.0551597076487457	0.128461611509784	0.0665247972129552
