	Signature A	Signature B
CATD0735a	0.991840811909149	0.00815918809085145
CATD0575a	0.306059772105384	0.693940227894616
CATD0584a	0.117242802397215	0.882757197602785
CATD0600a	0.544092293998698	0.455907706001302
CATD0576a	0.205952471024421	0.794047528975579
CATD0679a	0.283391588538029	0.716608411461971
CATD0591a	0.75690491038178	0.24309508961822
CATD0686a	0.524632963378434	0.475367036621566
CATD0734a	0.203123134935275	0.796876865064725
CATD0678a	0.167124863669879	0.832875136330121
CATD0729a	0.408370998421752	0.591629001578248
CATD0609a	0.139160670666322	0.860839329333678
CATD0601a	0.160679744831052	0.839320255168948
CATD0731a	0.10020562700687	0.89979437299313
CATD0723a	0.59975021758719	0.40024978241281
CATD0730a	0.685317006368809	0.314682993631191
CATD0586a	0.50450506132323	0.49549493867677
CATD0733a	0.851096255818987	0.148903744181013
CATD0687a	0.419277094748235	0.580722905251765
CATD0578a	0.601592225240375	0.398407774759625
CATD0587a	0.621225025542844	0.378774974457156
CATD0589a	0.262773899622839	0.737226100377161
CATD0590a	0.243339941700236	0.756660058299764
CATD0727a	0.439337230569448	0.560662769430552
CATD0583a	0.263800132241008	0.736199867758992
CATD0732a	0.198813668530269	0.801186331469731
CATD0725a	0.816108048199435	0.183891951800565
CATD0577a	0.107809112800098	0.892190887199902
CATD0606a	0.328511281212359	0.671488718787641
CATD0588a	0.211474495782354	0.788525504217646
CATD0572a	0.215865129170093	0.784134870829907
CATD0573a	0.217478937735152	0.782521062264848
CATD0592a	0.199011923872144	0.800988076127856
CATD0603a	0.758398910845276	0.241601089154724
CATD0722a	0.584640876039626	0.415359123960374
CATD0582a	0.477923417433813	0.522076582566187
CATD0585a	0.235078598028217	0.764921401971783
CATD0593a	0.481274224117943	0.518725775882056
CATD0581a	0.251345367581671	0.748654632418329
CATD0736a	0.622990094443645	0.377009905556355
CATD0596a	0.40529169741946	0.59470830258054
CATD0719a	0.382144587209213	0.617855412790787
CATD0721a	0.490119165144482	0.509880834855518
CATD0604a	0.489289752485374	0.510710247514626
CATD0720a	0.226166318496378	0.773833681503622
CATD0682a	0.555765037566302	0.444234962433698
