Query	Reference	Cosine_sim
Signature.A	SBS1	0.554407900436613
Signature.A	SBS2	0.202763520824402
Signature.A	SBS3	0.653445336204437
Signature.A	SBS4	0.52154612383961
Signature.A	SBS5	0.782269059626873
Signature.A	SBS6	0.581945306154829
Signature.A	SBS7a	0.243888622488836
Signature.A	SBS7c	0.27040634611179
Signature.A	SBS8	0.618926267875966
Signature.A	SBS9	0.454913266308139
Signature.A	SBS10a	0.234265956925546
Signature.A	SBS10d	0.290636949538921
Signature.A	SBS11	0.275196023809378
Signature.A	SBS12	0.587680831460116
Signature.A	SBS13	0.249043346345947
Signature.A	SBS14	0.5287656069254
Signature.A	SBS15	0.448961495542566
Signature.A	SBS16	0.573419813833519
Signature.A	SBS17	0.323553462375213
Signature.A	SBS17a	0.398539060527012
Signature.A	SBS18	0.457439237807289
Signature.A	SBS19	0.281803031504491
Signature.A	SBS20	0.504616888286304
Signature.A	SBS22	0.334502373038773
Signature.A	SBS23	0.492721681850526
Signature.A	SBS24	0.423061563811329
Signature.A	SBS26	0.668987901434622
Signature.A	SBS28	0.416977839476996
Signature.A	SBS30	0.347866648254905
Signature.A	SBS31	0.38659332078238
Signature.A	SBS32	0.39672228134985
Signature.A	SBS33	0.486494428897438
Signature.A	SBS35	0.581857768708402
Signature.A	SBS38	0.250905807637975
Signature.A	SBS44	0.676533872483908
Signature.A	SBS52	0.271819419956299
Signature.A	SBS53	0.499050517223488
Signature.A	SBS57	0.437729247853197
Signature.A	SBS84	0.493972408530738
Signature.A	SBS87	0.329358238770467
Signature.A	SBS88	0.423874309537532
Signature.A	SBS90	0.268024488834548
Signature.A	SBS92	0.724694371919276
Signature.A	SBS93	0.526529257503775
Signature.A	SBS94	0.369291372661517
Signature.A	SBS95	0.457979361132151
Signature.A	SBS96	0.399016330146287
Signature.A	SBS97	0.544656091509954
Signature.A	SBS98	0.496935140924242
Signature.A	SBS99	0.495942623304804
Signature.A	SBS100	0.436900982022531
Signature.A	SBS101	0.500184821038095
Signature.A	SBS102	0.635168677378523
Signature.A	SBS103	0.652437658096204
Signature.A	SBS104	0.276042850551108
Signature.A	SBS105	0.425109750135629
Signature.A	SBS106	0.404555388876805
Signature.A	SBS107	0.527009539169831
Signature.A	SBS108	0.330980738723361
Signature.A	SBS109	0.345706768262549
Signature.A	SBS110	0.740306755066796
Signature.A	SBS111	0.553888638176613
Signature.A	SBS112	0.432511962868575
Signature.A	SBS113	0.475537438543725
Signature.A	SBS114	0.543169095394641
Signature.A	SBS115	0.254713286130529
Signature.A	SBS116	0.504440435953832
Signature.A	SBS117	0.73715314896725
Signature.A	SBS118	0.540925062267584
Signature.A	SBS119	0.518267720934499
Signature.A	SBS120	0.739470554711092
Signature.A	SBS121	0.360226412194043
Signature.A	SBS122	0.677212253843536
Signature.A	SBS123	0.663080645200659
Signature.A	SBS124	0.564281152912392
Signature.A	SBS125	0.705212943671206
Signature.A	SBS126	0.687698922767734
Signature.A	SBS127	0.676244868901185
Signature.A	SBS128	0.410155111245853
Signature.A	SBS129	0.219180548052653
Signature.A	SBS130	0.643222755216542
Signature.A	SBS131	0.484718519691017
Signature.A	SBS132	0.449208387781834
Signature.A	SBS133	0.439263219668021
Signature.A	SBS134	0.338157391838283
Signature.A	SBS135	0.425616066594846
Signature.A	SBS136	0.445779996030103
Signature.A	SBS137	0.291900824519478
Signature.A	SBS138	0.392595309561932
Signature.A	SBS139	0.556797601695285
Signature.A	SBS140	0.607058561598429
Signature.A	SBS141	0.580031532271923
Signature.A	SBS142	0.565737537931534
Signature.A	SBS143	0.453408195110866
Signature.A	SBS144	0.543763360426086
Signature.A	SBS145	0.591610630181008
Signature.A	SBS146	0.562983633590536
Signature.A	SBS147	0.462045868552428
Signature.A	SBS148	0.367722727152457
Signature.A	SBS149	0.557460440971288
Signature.A	SBS150	0.705797594960208
Signature.A	SBS151	0.600426317283785
Signature.A	SBS152	0.521639071323532
Signature.A	SBS153	0.606664761302098
Signature.A	SBS154	0.627761730807474
Signature.A	SBS155	0.618858187756144
Signature.A	SBS156	0.777978470695789
Signature.A	SBS157	0.777010290749704
Signature.A	SBS158	0.704684518602406
Signature.A	SBS159	0.630894072824626
Signature.A	SBS160	0.741190401776148
Signature.A	SBS161	0.542224234529533
Signature.A	SBS162	0.507221186851635
Signature.A	SBS163	0.61961765808319
Signature.A	SBS164	0.66268041803925
Signature.A	SBS165	0.579159230063045
Signature.A	SBS166	0.54232698421741
Signature.A	SBS167	0.730362266457163
Signature.A	SBS168	0.50803467083455
Signature.A	SBS169	0.454184140841784
Signature.B	SBS1	0.561719274112104
