	Signature A	Signature B	Signature C
CATD0393a	0.480104533538947	0.358266667588117	0.161628798872937
CATD0657a	0.336647183536949	0.337821330073131	0.32553148638992
CATD0388a	0.324526335326765	0.32868252674797	0.346791137925264
CATD0395a	0.362195714932193	0.347335266163292	0.290469018904515
CATD0434a	0.331874934255601	0.332900662400202	0.335224403344197
CATD0666a	0.336881169223376	0.332731170887418	0.330387659889206
CATD0391a	0.327096675889446	0.331304499895741	0.341598824214813
CATD0387a	0.346819441872405	0.339461042750132	0.313719515377463
CATD0381a	0.321766529888457	0.327310751499134	0.350922718612409
CATD0390a	0.329128414760059	0.33084663328432	0.340024951955621
CATD0423a	0.330674961588511	0.332467981869125	0.336857056542364
CATD0398a	0.341758750177366	0.334337993863827	0.323903255958807
CATD0428a	0.332515088291491	0.333449271926911	0.334035639781598
CATD0378a	0.323270757667548	0.328581311465207	0.348147930867245
CATD0380a	0.33342812595134	0.33198441692502	0.33458745712364
CATD0662a	0.331359966645068	0.332623474694581	0.336016558660351
CATD0399a	0.331630261669111	0.331138854606796	0.337230883724093
CATD0659a	0.331695280640383	0.329545462211704	0.338759257147913
CATD0389a	0.327340749820838	0.330203522852782	0.34245572732638
CATD0658a	0.341989220931407	0.336706560278167	0.321304218790427
CATD0665a	0.332604362462085	0.332283732757938	0.335111904779977
CATD0377a	0.331847874537109	0.331482667218183	0.336669458244707
CATD0422a	0.332536297725365	0.330364440955884	0.337099261318751
CATD0392a	0.334234098411888	0.335137230205159	0.330628671382953
CATD0661a	0.331856849060558	0.330273589209138	0.337869561730304
CATD0424a	0.333662196714831	0.332263394521297	0.334074408763871
CATD0426a	0.332800583836717	0.329829271008796	0.337370145154487
CATD0383a	0.332379968094325	0.331048176726273	0.336571855179402
CATD0385a	0.334490758869841	0.334449353894967	0.331059887235192
CATD0382a	0.324538306670291	0.334108107387684	0.341353585942025
CATD0660a	0.340488361573199	0.336888661891975	0.322622976534826
CATD0437a	0.340198802215232	0.336435520752372	0.323365677032395
CATD0439a	0.331089652081937	0.334500766654566	0.334409581263497
CATD0663a	0.330827662120151	0.333992795335483	0.335179542544367
CATD0379a	0.333442372505279	0.335134984878886	0.331422642615835
CATD0397a	0.332026017034676	0.330517243464299	0.337456739501025
