	ACA>AAA	ACC>AAC	ACG>AAG	ACT>AAT	CCA>CAA	CCC>CAC	CCG>CAG	CCT>CAT	GCA>GAA	GCC>GAC	GCG>GAG	GCT>GAT	TCA>TAA	TCC>TAC	TCG>TAG	TCT>TAT	ACA>AGA	ACC>AGC	ACG>AGG	ACT>AGT	CCA>CGA	CCC>CGC	CCG>CGG	CCT>CGT	GCA>GGA	GCC>GGC	GCG>GGG	GCT>GGT	TCA>TGA	TCC>TGC	TCG>TGG	TCT>TGT	ACA>ATA	ACC>ATC	ACG>ATG	ACT>ATT	CCA>CTA	CCC>CTC	CCG>CTG	CCT>CTT	GCA>GTA	GCC>GTC	GCG>GTG	GCT>GTT	TCA>TTA	TCC>TTC	TCG>TTG	TCT>TTT	ATA>AAA	ATC>AAC	ATG>AAG	ATT>AAT	CTA>CAA	CTC>CAC	CTG>CAG	CTT>CAT	GTA>GAA	GTC>GAC	GTG>GAG	GTT>GAT	TTA>TAA	TTC>TAC	TTG>TAG	TTT>TAT	ATA>ACA	ATC>ACC	ATG>ACG	ATT>ACT	CTA>CCA	CTC>CCC	CTG>CCG	CTT>CCT	GTA>GCA	GTC>GCC	GTG>GCG	GTT>GCT	TTA>TCA	TTC>TCC	TTG>TCG	TTT>TCT	ATA>AGA	ATC>AGC	ATG>AGG	ATT>AGT	CTA>CGA	CTC>CGC	CTG>CGG	CTT>CGT	GTA>GGA	GTC>GGC	GTG>GGG	GTT>GGT	TTA>TGA	TTC>TGC	TTG>TGG	TTT>TGT
SBS1	0.000876022635356003	0.00222011996660382	0.000179726789406941	0.0012650524935993	0.000305025887817277	0.00173825906507983	9.19381669024737e-05	2.17983414690651e-16	0.00155626922147895	0.000329319017514006	0.000582767956470667	2.18503963414352e-16	6.5053431264588e-05	0.00249718030558195	2.23875147712296e-16	5.83816953698747e-06	0.00183905469260169	0.00118795921131966	0.000116771499441264	0.00112668720727411	2.35571418384464e-05	7.45668066779931e-05	0.000347295439013076	2.17983414690651e-16	9.44428951450573e-06	0.000159316549058588	0.000164802796514533	2.18503963414352e-16	2.20469835440777e-16	0.000200366614985774	6.96723553866967e-05	0.00154917715147316	0.0247184825041428	0.00615401710821483	0.37062395750626	0.0094681302675427	0.00195529653370313	0.000262195533981493	0.193380701247738	0.000191625016586914	0.00437331564012851	9.01339138361935e-05	0.216428400877268	3.76257945969108e-05	0.00109760067218316	3.68096039075306e-05	0.110451301887841	2.21413572576226e-16	0.000783811669183491	0.00220131441832612	0.00111728026558637	0.000179455134101234	4.22572266870015e-05	0.000387449064619025	0.000318464901822308	0.000257225975767313	7.93353850531457e-05	0.000126346129110188	0.000242933029009487	0.000257267715644762	0.00652536265954244	2.23419047165811e-16	2.77363947956318e-05	0.00222100502164409	0.00106794293395692	0.00300089416416766	0.000103887676461891	0.00562882727598378	2.19147943051194e-16	0.00246468743209162	0.000353850546075992	4.21380316085906e-05	0.00102607032866284	0.00186091025596109	0.001155411934496	7.10849543316754e-05	0.00024761390900233	0.003396974401693	0.000412156883149918	0.00427420190667546	0.000168519969282084	0.000204337495775183	0.000262659371435846	0.000109830871771167	3.48867801718268e-05	0.000209005838053499	0.000125813767719868	0.000169175294507447	2.17879197867629e-16	2.18373365923688e-16	0.000343661117292435	1.45559654031201e-05	2.16502584671409e-16	5.52035403535255e-05	0.000577613393375618	2.20087246673426e-16
SBS2	5.789891879522e-07	0.000145504262403276	5.36170588586833e-05	9.7588405990118e-05	0.000205314310759611	9.34361704288167e-05	2.22137866176283e-16	0.000415576391518612	8.57226829753152e-05	2.18717191789452e-16	1.39326340342851e-05	5.06596542740003e-05	0.000637962588111468	0.000169414981102438	8.64744599093842e-05	0.000441166664567891	2.22611360195415e-16	0.000130757607339567	1.55827781004204e-05	9.10026853404782e-05	2.20114281796646e-16	0.00034414512258362	4.85117223443272e-05	6.2778872100044e-05	6.50378592411324e-05	0.000255995232262697	2.23523553211912e-16	0.000132589771705725	2.22631689794117e-16	9.8357452044414e-05	4.17672655130906e-05	0.00118312791634953	6.09935161791024e-05	0.0013567315902747	3.35234765712991e-05	0.00185602970261291	0.00426422068003021	0.00016668012753149	0.00275937067415963	0.00143132077449201	2.21765177534748e-16	1.26522501079997e-07	2.23523553211912e-16	4.9868097175969e-05	0.53513021859711	0.096965116110932	0.0448098678643495	0.300795271001878	9.48639205593274e-05	0.000875074013503769	2.52323857001937e-05	2.20785999397523e-16	0.000241151031710489	0.000242876115435486	0.000147868579291423	2.22744666163546e-16	2.20015649284988e-16	0.000129543959239031	6.3611006856615e-05	6.32245296772238e-05	0.000413733633725364	0.000194253090572916	5.01149740269654e-05	0.000204312242677504	6.10334087435923e-05	2.14277398597204e-05	1.30614702448062e-05	0.000153465080944456	0.000299702403370491	2.83679127644344e-05	2.2130072469187e-16	0.000185792025245517	2.20015649284988e-16	2.70946267529957e-05	0.000106686027690884	1.25845003338423e-05	2.1862553747466e-16	4.40090905488466e-05	0.000117037970181178	3.56788498280764e-05	0.000235435632331218	7.43492741179137e-05	2.02848590923126e-06	3.72266976562639e-06	0.000151835430484849	0.000154285612285557	0.000120080948833589	0.000202773559189223	0.000206208927329409	0.000131521669221002	3.69900995984391e-05	2.24507485955747e-16	1.63724057211965e-05	7.12239074629609e-05	9.54285134166167e-05	2.22245349487738e-16
SBS3	0.020919748901364	0.0163431924792874	0.00180754849006549	0.0122650657574504	0.0223756965608661	0.0249915578618404	0.0025190806029569	0.0153153801105865	0.00714379016970873	0.0107709806408536	0.00144412596500982	0.00996880170043686	0.00845918994110469	0.0168674754209662	0.00144015272113762	0.0100712421035222	0.0198134161862761	0.0115888090865728	0.000261319660926524	0.0174927988515174	0.0191933748436517	0.0139281011907096	0.00150542665515353	0.0221774671016821	0.0127245633545151	0.00852784923379463	0.00244390547924739	0.0146541375629497	0.0133777918853585	0.0203815321730749	0.000531120152476285	0.0237386341267149	0.0142817516054815	0.0122821565202874	0.00265451406826761	0.0121645324480439	0.0160110541205149	0.0199537337537886	0.00224810380502927	0.022873620652699	0.0164317200253681	0.0132413885916145	0.000533215539031803	0.0112647456624085	0.00579369045483909	0.0133534176652427	0.00101015008300416	0.00825296304450001	0.00547148855703395	0.00723975450581816	0.00961049744914304	0.00609478735829342	0.00793855589635154	0.0178506160087386	0.0131978315104131	0.0127807649874798	0.00701785000341512	0.00745220640954517	0.0116525309402036	0.0124761835431607	0.0064302475409106	0.0107026944836848	0.00676243304577152	0.0130533459365718	0.0164443645102319	0.00779202419044384	0.0122623561538239	0.0172569267308512	0.00882839391376598	0.0145412316970457	0.010098341246339	0.0159004797906222	0.00992041744301983	0.00561904358051666	0.0109493610908618	0.0103461037722517	0.015013788090539	0.00916354436066483	0.00698415212899645	0.0139570389778219	0.00393668148168989	0.00261072941823047	0.00628071898131126	0.00396011586681552	0.00436920564672284	0.0070600187288433	0.0106982425877727	0.00707470681054188	0.0043936118467824	0.00233130490213409	0.0109493610908618	0.00591350818744183	0.00716118186497078	0.00640123040558227	0.00811290382541429	0.0105430874886549
SBS4	0.0424507367285633	0.0329895817461875	0.0161159609206424	0.0296627702006325	0.0802688810002227	0.0787427840741504	0.0245931489648063	0.0686334449709411	0.0316669242893953	0.0343943907938886	0.0154539738092441	0.0211377349695098	0.0400401329151637	0.0470970039651199	0.0111351386097004	0.041727036924924	0.00693093759198671	0.00281352562170267	0.00132233551993994	0.00356958718794821	0.00778817011923857	0.00678748986760308	0.00341292692623569	0.00678376954811837	0.00530120356861072	0.00568298141927556	0.00333320995806068	0.00303107166288455	0.00360160000004046	0.00597499280052205	0.00186947733868575	0.0034149483281292	0.00875169214531932	0.00414103453854842	0.000808897268292668	0.00427344962032128	0.012632153599344	0.0113618827489474	0.00332258427638275	0.0159150017323921	0.00409866253316827	0.0044080168784165	0.000486850687416751	0.00379881003851131	0.00376256563858826	0.0070193616377267	0.000287062168110086	0.00729465419315757	0.009389958501141	0.0035452178224412	0.0123643172756355	0.00420028850501317	0.0144000219100794	0.012236935012054	0.0325006206920182	0.0118772196094674	0.00916663538633818	0.00358728103000319	0.0131617370815853	0.00560009466358795	0.0087728218311531	0.00439400649311839	0.00961631021012253	0.00564409720265423	0.0079246464739918	0.000718082712019422	0.00498561172427197	0.00155640176123945	0.00518000774958686	0.00236714476285491	0.00550010545561472	0.00257675312466003	0.00288321465514792	0.00117583100981521	0.0023811688818112	0.000765954614539594	0.00238091225011724	0.000512803782255194	0.00175391867091513	0.000638726749181756	0.00104665159037708	0.000159685646977627	0.00141591359008452	0.000215501644171869	0.000870001521667358	0.000442334726130979	0.00379007189388089	0.00120785239804217	0.000594538443727806	0.000252106152063512	0.00244145162559381	0.000255656402874773	0.000372450041503214	0.000177391907195933	0.00233855721980417	0.000570435544751411
SBS5	0.0120520477511521	0.00933708676583284	0.0019081396861478	0.00663587148274771	0.00737852087309654	0.00605658251037459	0.0034676157668471	0.00644522714310415	0.0102053005328143	0.00754877760358073	0.00235977950190058	0.00678912449760995	0.00789481219128163	0.00919383256439483	0.00234586923935908	0.0128108537635617	0.0101438068572197	0.00563785959377619	0.00177405419468876	0.0101395313125192	0.00691177729162206	0.00894677579301263	0.00249548071082349	0.00946425495743953	0.00468243200917363	0.00501278303610328	0.00152276369567089	0.00668957721758634	0.00784459073968314	0.00761975217986922	0.0017441027823061	0.01260910704196	0.0327413973951682	0.017704858310102	0.00637421797859102	0.0220861088135626	0.0192655871222167	0.018741868689725	0.0175385200543739	0.02294063997723	0.0194100824062686	0.0213141965735466	0.0124039691766569	0.0185157950800627	0.0203899103536143	0.0230597773366143	0.0162170970661512	0.0211833008394232	0.00734473213281315	0.00694877544560155	0.00907925282782839	0.00617583229361831	0.00353435964486349	0.00519741048269936	0.00500210537475065	0.00432123657399006	0.00364293910004583	0.00289509444674431	0.00412278370053311	0.00326151193987873	0.00622389881943167	0.00421396200543044	0.00482061485355542	0.00877350260740712	0.0459792194076382	0.0134363056163386	0.0380293285290771	0.0381507079354382	0.013278809833828	0.0104148495221721	0.0207672249097644	0.0149735882033844	0.013996034047497	0.00789932986499993	0.0150466568446728	0.013876620136181	0.0177543874762146	0.00988347127360618	0.0127811719126791	0.0185496922299759	0.00384155366296189	0.00260704417872497	0.00790452494001726	0.00481117257712523	0.00258587329949052	0.00461658233627053	0.00612034050842745	0.00733605278840172	0.00250141867360095	0.00170124106664356	0.00531648506394781	0.0023802959809674	0.00514877208200211	0.00667719583469171	0.00698435638490076	0.0135362621686004
SBS6	0.000425145610351171	0.000516225710647392	5.33915981667323e-05	0.000179986092960888	0.00180020144732675	0.00401838757906496	0.00164705497171419	0.00949585387637271	0.000425522545656368	0.00089733656301608	0.000358585971392017	0.00121956110436162	0.00035615432056229	0.000497308349091414	0.000203177633578979	0.000750523619027072	0.000471161151751798	0.000284711987974866	2.27941053711819e-16	0.000253979676061429	4.06306209480348e-05	3.65286269513361e-05	8.41034063834724e-05	1.42359732729672e-05	1.93222856461179e-05	0.000673248244078232	2.2286387767228e-16	0.000318275804359602	4.96943239853053e-05	0.000112843113243089	1.97989298625261e-06	0.00012860352402135	0.0641219795810062	0.0225602639107525	0.123278962853669	0.0212983223537665	0.0134520571612055	0.0145408660826173	0.121782249235255	0.0136502914919877	0.0932761826093663	0.109095658167231	0.178790673605236	0.0737686139738165	0.0120052107819745	0.0104854209671217	0.0528261055348151	0.00702296946061009	9.73877335159433e-05	0.000545301371008085	2.20008463179057e-16	0.00164695239381067	6.61931194327374e-05	0.000549591958326288	0.000114362053458966	0.000179168420462374	5.03949668923922e-05	0.000484560156325333	0.000194828605024719	0.000250198106930053	0.000446024059126321	0.000115575613007459	2.95542592377627e-05	0.000425445747908146	0.00219069198770081	0.00112855530778779	0.00420426857461512	0.000498054086977172	0.00165076297292835	0.0010273683689385	0.00529049158177426	0.00127119563148587	0.00254090434934836	0.00109992247736684	0.00244784621748945	0.000914030343592917	0.00145399843041791	0.00110506064538639	0.00213508885103334	0.00173773438206168	2.54614928927746e-05	0.000203739258975766	0.000106098585853544	0.000382966432809969	4.91975887675751e-05	0.000781996836343583	0.000918875041996021	0.00130122443402425	4.29839423493933e-05	0.000211066341627872	0.000273758819865647	0.00079397485869861	0.000103155748507301	0.000290965048301226	0.000324774259362014	0.00100868514086527
SBS7a	6.71258684854829e-05	0.000176729602101867	7.32578125778775e-05	0.000248522409066438	0.000451033598596939	0.000236313333077863	2.22943723676547e-16	0.000368769012954385	4.05216552940544e-05	0.000135929256841939	4.27543210708302e-05	2.2144698844295e-16	0.000391021848733426	0.000636504992300386	3.50001515172139e-05	0.000617237340783401	6.50219233538484e-05	2.13122189274008e-05	5.22682145920811e-05	9.58393726155929e-05	2.20912798267316e-16	0.000128987546705107	7.75804168488792e-05	9.48071269220955e-05	1.95621784178194e-05	3.2680507836573e-05	4.53698795363398e-05	4.17075045497933e-05	2.23439338756022e-16	5.09073574991235e-05	6.46078378297407e-06	0.000282941956048371	0.00012230834177372	0.017475524208714	2.29445115236892e-16	0.00743563212898991	0.0495641915660444	0.0544505058967087	0.00671266356330679	0.0561083476803006	8.483597783238e-05	0.0115244060502095	5.55303181908195e-06	0.0159982619127203	0.238623788258429	0.33126287750451	0.0754417399627434	0.107739664448666	0.00192725341041491	0.000670605697108678	0.000583325125679631	0.00368888618388776	0.000176399901624336	0.000260901636790634	0.000111622469185507	0.000372161153237788	0.000397326226794583	0.000222450978366144	0.000290377990297687	0.000309387231605719	0.000350509983134049	0.000395237151056632	2.23875877744299e-16	0.000798702758119428	0.000486780254931239	0.000227204833102605	0.000185828926782273	0.000611499502662245	0.000449470913269635	0.000258902685248843	0.000103649649096547	0.00182569595862499	0.000100075194231225	7.35399741102023e-05	7.25474668028391e-05	0.000819976851339469	0.00211684490028846	0.0006055555096742	0.000320460750256164	0.000812714999469648	0.000469891992789863	0.000247222928542485	0.000274271980001183	0.000307241737023734	8.39596403858031e-05	0.000171935805977393	2.22103545263962e-16	2.65656825641601e-05	8.98108178494458e-05	0.000120163920719152	0.000325423920364388	0.000844241902391273	0.000126026006074032	0.000117859470084748	2.23875877744299e-16	8.30192042307281e-05
SBS7b	0.00234428047700156	0.00045678815358691	0.000192187645495283	0.000714050566701747	0.00113412143017128	0.0015316697834234	0.000409627999614176	0.0014823602040621	0.000747718739269924	0.000212533313838139	7.3666766481185e-05	0.000146595287224983	0.0029180406522747	0.00353544465225079	0.000306528847356664	0.00142484511096668	8.6147340471409e-06	0.000187272845194176	0.000521799829085442	0.000286625995462883	0.000455637787422476	0.00094864679194992	0.000794155685610917	0.000885437373298807	5.12312602345299e-05	0.00044681504580513	0.000340454649683711	0.000276237866545225	0.000255580027619025	0.00162710767914726	0.000371921518228065	0.00072151717817195	0.00141864239954874	0.0377518655478143	0.000561063982826836	0.0108616127521841	0.10644819859447	0.179847619573557	0.0221881540217055	0.125353977565149	0.000856970654930926	0.0259983022733694	0.000177804694505218	0.00537517050669768	0.00665111963452424	0.211925760738324	0.0586491742038689	0.103073857470532	0.00248252155046684	0.000469100649795942	0.0015558006449646	0.00827241598223045	0.0011202104184623	0.000961079748565051	0.000883180989888549	0.00011275343411766	0.000523052547881681	0.000255143522396134	0.000659214168406475	5.6736614947405e-05	0.00320149037434445	0.00228408572613977	0.00171391740965157	2.23052165060091e-16	0.00101693626239648	0.000458051273095428	0.00149596235046037	0.00214544028484583	0.00153028743771679	0.000842700366035962	0.000730150256940486	0.00576857122272641	0.000264509754589474	2.21315195664262e-16	0.000531592423486098	0.0069506859760846	0.00592868635429983	0.00176404801404418	0.00384119141849923	0.00298328955127581	8.41686881601743e-05	0.000936191773957526	0.00146604320320825	0.000731445421825939	0.000359067004468331	0.000794545428647275	0.00129026480987584	3.70574830359016e-06	0.000321190416287219	0.000319925072146832	0.00242180871611365	0.00185689907522981	0.000943648891382055	0.00158050601209264	0.00136105182332273	0.00177792067498849
SBS7c	0.00484098774431427	0.00113512743739791	0.000388049741112526	0.00196363103575958	0.000108022345377411	0.00304176065340174	0.00191027369036775	0.0133793360110468	0.00104838807604838	0.000730678180145514	2.23398005668927e-16	0.000360615060547521	0.00252596356866184	0.0142076691294514	2.25943415393595e-16	0.00375483054986231	0.00112254773749452	0.000314874572293245	2.28487349951677e-16	0.00193357498335282	0.000204152313365118	0.00222471798852268	0.000262037458045442	0.00420210209959818	0.000181720346925159	0.000465783191075724	0.000181148612569783	0.00127158899357731	0.00194459079445129	0.00461248946160538	8.90542740853132e-06	0.0123818827691121	0.00133302581409623	0.00758067439217136	0.000954169348731986	0.00749385652299838	0.00268569737423085	0.00587679938408303	0.00894127846156903	0.0204158747733579	0.000156758821150784	9.36410905447771e-06	3.4515998173172e-05	0.000753019150592913	0.0173409389721495	0.0137073990967275	4.72242093435261e-05	0.00233544452372704	0.0123154001754381	0.00342222329219562	0.000209626182047348	0.050398663637395	0.00345735716676051	0.0133915763300314	0.000957515587141974	0.0488400170568425	0.00171371697741054	0.00225373523895595	2.22214530239534e-16	0.0205194816469546	0.0151586709653615	0.0347395049476594	0.0122527617398031	0.279174928904626	0.000286034900948676	0.000533346767329296	0.00106303197427256	0.0026342499086386	0.00754241793818363	0.00357774967013875	0.00216213107109072	0.0432239152973812	2.19892072043176e-16	0.000419969571083213	0.000232243212124534	0.00714643999947923	0.0297267447696815	0.0212296981451405	0.0129557892420666	0.0881552379547688	0.0118188114747042	0.00105068247560954	0.000600066842126655	2.20661989469479e-16	0.00326804941415665	0.00557649234630539	0.00118568497375108	0.00340977549522105	0.00245665800098226	0.00164810626929643	0.0060363345950956	0.00682298008172502	0.0189975554648709	0.0176744847595412	0.00767304107360917	0.0217136055370023
SBS7d	4.04365576706885e-05	0.000753958815412574	0.000256936403850605	0.00405133392376924	0.0143481202073858	0.00316491259280226	8.49958350196375e-05	0.000115777931796507	0.000167486923695684	2.18313898277091e-16	1.8291114547712e-05	7.34132300096392e-05	0.0114096050612613	0.00775238752608163	2.25653541321968e-16	0.000191979543837582	0.00118088660976421	0.00251319506565741	0.000931136203617002	0.00291095836740966	0.00130617343817889	0.00028110702243989	0.00131818152845373	2.19715006230229e-16	0.00019540174334506	2.18313898277091e-16	0.000547644009608848	0.000874872406519601	0.0037431515854595	0.000587423499905997	0.000887231099097032	8.57504809072884e-05	0.00333250183075305	0.00137979304080793	0.00124357005660107	0.0329108358621229	0.0352271085953436	0.00255551936886011	0.00263636405568343	0.000136558814615499	0.000363885767328263	0.000177967129725233	0.00015776186798031	0.0417597607224401	0.000207174201960243	0.00564445729936719	0.00177852701131004	0.0502563362446782	8.81727883806097e-05	0.00107905915825027	0.00367031666069951	0.0407936089030685	0.00160169542658398	8.1137835956724e-05	0.00119383133612847	0.00115155363764241	2.34448472456587e-05	0.000111028650160872	0.00134936398556603	0.00884125131407076	0.0164133088108583	0.00124750375714396	0.00561566849383702	0.0272755872487206	0.00432367020890038	0.00392657743620882	0.0091162727940452	0.0506198073129325	0.0101473860251347	8.87226767103661e-05	0.000930192952559157	0.0397536120661262	0.000791265573009103	0.00229987535763255	0.00256878928361192	0.320949515170459	0.0798060282105729	0.0145034992868044	0.0228637925803639	0.0430614579752953	0.00366917024594439	0.002657683592857	0.0105149604933652	0.0141933962692401	0.00147236603782224	4.97006670436022e-05	2.56713099942946e-05	0.000156210628917916	7.39947077626697e-05	2.21099532838685e-05	0.00379820940392144	0.00690344200486409	0.000207378135217125	0.000116636196134143	0.000125349940174428	0.000165852051694475
