,CNA Gain Only,CNA Loss Only,Mutation Only,Gain + Mutation,Loss + Mutation,Total Alterations
TP53,0,1,21,0,1,23
TGFBR1,0,13,3,0,0,16
NFIB,4,11,0,0,0,15
CDKN2A,1,13,0,0,0,14
PTCH1,3,11,0,0,0,14
SMARCA2,4,10,0,0,0,14
MLLT3,2,11,0,0,0,13
TSC1,0,12,1,0,0,13
TEK,0,12,1,0,0,13
ABL1,0,12,1,0,0,13
PAX5,0,12,0,0,0,12
FANCG,0,12,0,0,0,12
XPA,0,12,0,0,0,12
NUP214,0,12,0,0,0,12
FNBP1,0,12,0,0,0,12
BRD3,0,12,0,0,0,12
RXRA,0,12,0,0,0,12
MAPKAP1,0,12,0,0,0,12
PPP6C,0,12,0,0,0,12
KLF4,0,12,0,0,0,12
CNTRL,0,12,0,0,0,12
VAV2,0,12,0,0,0,12
EGFL7,0,12,0,0,0,12
NOTCH1,0,12,0,0,0,12
TRAF2,0,12,0,0,0,12
NR4A3,0,12,0,0,0,12
PSIP1,1,11,0,0,0,12
ARID3C,0,12,0,0,0,12
MOB3B,0,12,0,0,0,12
PTPRD,0,11,0,0,0,11
GNAQ,0,11,0,0,0,11
FANCC,0,11,0,0,0,11
NTRK2,0,11,0,0,0,11
KDM4C,0,11,0,0,0,11
H1-3,10,0,0,0,0,10
H2AC6,10,0,0,0,0,10
H2BC5,10,0,0,0,0,10
SYK,0,10,0,0,0,10
H1-2,10,0,0,0,0,10
H1-4,10,0,0,0,0,10
JAK3,3,3,4,0,0,10
JAK2,0,10,0,0,0,10
CD274,0,10,0,0,0,10
PDCD1LG2,0,10,0,0,0,10
OMD,0,10,0,0,0,10
