,CNA Gain Only,CNA Loss Only,Mutation Only,Gain + Mutation,Loss + Mutation,Total Alterations
FBXW7,0,7,24,0,1,32
PIK3CA,0,0,22,0,0,22
PTEN,0,14,3,0,1,18
TP53,1,1,13,1,1,17
NRG1,0,12,0,0,0,12
FAS,0,12,0,0,0,12
FAT1,0,11,1,0,0,12
DOT1L,0,11,0,0,0,11
NKX3-1,0,11,0,0,0,11
PPP2R2A,0,11,0,0,0,11
WRN,0,11,0,0,0,11
DUSP4,0,11,0,0,0,11
IRF2,0,10,1,0,0,11
GNA11,0,11,0,0,0,11
GADD45B,0,11,0,0,0,11
TUSC3,0,11,0,0,0,11
PCM1,0,11,0,0,0,11
ADGRA2,0,9,2,0,0,11
ARID4B,0,11,0,0,0,11
TCF3,0,10,0,0,0,10
STK11,0,9,0,0,1,10
ARID3A,0,10,0,0,0,10
FSTL3,0,10,0,0,0,10
KAT6A,0,9,1,0,0,10
