,CNA Gain Only,CNA Loss Only,Mutation Only,Gain + Mutation,Loss + Mutation,Total Alterations
P2RY8,0,2,8,1,2,13
B2M,0,2,5,0,3,10
PTEN,0,6,2,0,1,9
IKZF3,4,0,4,0,0,8
FAS,0,4,2,0,2,8
IRS4,2,3,2,0,0,7
TP53,0,0,7,0,0,7
LRP1B,0,1,6,0,0,7
DDX3X,0,3,3,0,0,6
MAP2K1,0,0,6,0,0,6
PHF6,2,4,0,0,0,6
ELF4,2,3,1,0,0,6
KDM6A,1,3,2,0,0,6
SMARCA1,2,3,1,0,0,6
BTK,2,3,1,0,0,6
ATRX,1,3,2,0,0,6
GPC3,2,4,0,0,0,6
PAK3,2,3,1,0,0,6
TP53BP1,0,5,1,0,0,6
AFDN,0,3,2,0,0,5
MGA,0,3,1,0,1,5
ARAF,0,3,2,0,0,5
CRLF2,1,4,0,0,0,5
ASMTL,1,4,0,0,0,5
SH2D1A,2,3,0,0,0,5
STAG2,2,3,0,0,0,5
XIAP,2,3,0,0,0,5
ATP2B3,2,3,0,0,0,5
CCNQ,2,3,0,0,0,5
DUSP9,2,3,0,0,0,5
ATP6AP1,2,3,0,0,0,5
BCL11B,0,2,3,0,0,5
PTPRK,0,2,3,0,0,5
TNFAIP3,0,1,3,0,1,5
BCORL1,2,3,0,0,0,5
SEPTIN6,2,3,0,0,0,5
GNA13,2,0,3,0,0,5
PIK3C2G,0,1,3,0,0,4
BUB1B,1,3,0,0,0,4
KNL1,0,3,1,0,0,4
TRAF3,0,0,3,0,1,4
H1-2,2,0,2,0,0,4
PCLO,0,0,4,0,0,4
FAT4,0,0,4,0,0,4
INPP4B,0,1,3,0,0,4
SMARCA4,0,1,3,0,0,4
EBF1,2,0,2,0,0,4
CARD11,0,0,4,0,0,4
PTPRC,0,2,2,0,0,4
EIF1AX,0,3,1,0,0,4
BCOR,0,4,0,0,0,4
ZMYM3,0,3,1,0,0,4
AMER1,0,3,1,0,0,4
