Types,Mut_burden,log10BURDENpMB
BCC,31,0.7132104434506291
BCC,8,0.12493873660829993
BCC,8,0.12493873660829993
BCC,7,0.06694678963061322
BCC,5,-0.0791812460476248
BCC,5,-0.0791812460476248
BCC,5,-0.0791812460476248
BCC,4,-0.17609125905568127
BCC,4,-0.17609125905568127
BCC,4,-0.17609125905568127
BCC,4,-0.17609125905568127
BCC,4,-0.17609125905568127
BCC,4,-0.17609125905568127
BCC,3,-0.3010299956639812
BCC,3,-0.3010299956639812
BCC,3,-0.3010299956639812
BCC,3,-0.3010299956639812
BCC,3,-0.3010299956639812
BCC,3,-0.3010299956639812
BCC,2,-0.47712125471966244
BCC,2,-0.47712125471966244
BCC,2,-0.47712125471966244
BCC,2,-0.47712125471966244
BCC,2,-0.47712125471966244
BCC,2,-0.47712125471966244
BCC,2,-0.47712125471966244
BCC,2,-0.47712125471966244
BCC,2,-0.47712125471966244
BCC,2,-0.47712125471966244
BCC,1,-0.7781512503836436
BCC,1,-0.7781512503836436
BCC,1,-0.7781512503836436
BCC,1,-0.7781512503836436
BCC,1,-0.7781512503836436
BCC,1,-0.7781512503836436
BCC,1,-0.7781512503836436
BCC,1,-0.7781512503836436
BCC,1,-0.7781512503836436
PANC,10,0.2218487496163564
PANC,9,0.17609125905568124
PANC,8,0.12493873660829993
PANC,7,0.06694678963061322
PANC,6,0.0
PANC,6,0.0
PANC,6,0.0
PANC,6,0.0
PANC,5,-0.0791812460476248
PANC,5,-0.0791812460476248
PANC,5,-0.0791812460476248
PANC,5,-0.0791812460476248
PANC,4,-0.17609125905568127
PANC,4,-0.17609125905568127
PANC,4,-0.17609125905568127
PANC,4,-0.17609125905568127
PANC,4,-0.17609125905568127
PANC,4,-0.17609125905568127
PANC,3,-0.3010299956639812
PANC,2,-0.47712125471966244
PANC,2,-0.47712125471966244
PANC,2,-0.47712125471966244
PANC,1,-0.7781512503836436
PANC,1,-0.7781512503836436
PANC,1,-0.7781512503836436
PANC,1,-0.7781512503836436
LUCA,17,0.4522976709946303
LUCA,15,0.3979400086720376
LUCA,14,0.36797678529459443
LUCA,11,0.2632414347745814
LUCA,10,0.2218487496163564
LUCA,10,0.2218487496163564
LUCA,9,0.17609125905568124
LUCA,9,0.17609125905568124
LUCA,9,0.17609125905568124
LUCA,8,0.12493873660829993
LUCA,8,0.12493873660829993
LUCA,8,0.12493873660829993
LUCA,8,0.12493873660829993
LUCA,7,0.06694678963061322
LUCA,7,0.06694678963061322
LUCA,7,0.06694678963061322
LUCA,7,0.06694678963061322
LUCA,6,0.0
LUCA,6,0.0
LUCA,6,0.0
LUCA,6,0.0
LUCA,6,0.0
LUCA,6,0.0
LUCA,6,0.0
LUCA,6,0.0
LUCA,5,-0.0791812460476248
LUCA,5,-0.0791812460476248
LUCA,5,-0.0791812460476248
LUCA,5,-0.0791812460476248
LUCA,5,-0.0791812460476248
LUCA,5,-0.0791812460476248
LUCA,5,-0.0791812460476248
LUCA,5,-0.0791812460476248
LUCA,5,-0.0791812460476248
LUCA,5,-0.0791812460476248
LUCA,4,-0.17609125905568127
LUCA,4,-0.17609125905568127
LUCA,4,-0.17609125905568127
LUCA,4,-0.17609125905568127
LUCA,4,-0.17609125905568127
LUCA,4,-0.17609125905568127
LUCA,4,-0.17609125905568127
LUCA,4,-0.17609125905568127
LUCA,3,-0.3010299956639812
LUCA,3,-0.3010299956639812
LUCA,3,-0.3010299956639812
LUCA,3,-0.3010299956639812
LUCA,3,-0.3010299956639812
LUCA,3,-0.3010299956639812
LUCA,3,-0.3010299956639812
LUCA,3,-0.3010299956639812
LUCA,2,-0.47712125471966244
LUCA,2,-0.47712125471966244
LUCA,2,-0.47712125471966244
LUCA,2,-0.47712125471966244
LUCA,1,-0.7781512503836436
LUCA,1,-0.7781512503836436
MEN,7,0.06694678963061322
MEN,4,-0.17609125905568127
MEN,3,-0.3010299956639812
MEN,3,-0.3010299956639812
MEN,3,-0.3010299956639812
MEN,2,-0.47712125471966244
MEN,2,-0.47712125471966244
MEN,2,-0.47712125471966244
MEN,2,-0.47712125471966244
MEN,2,-0.47712125471966244
MEN,2,-0.47712125471966244
MEN,2,-0.47712125471966244
MEN,2,-0.47712125471966244
MEN,1,-0.7781512503836436
MEN,1,-0.7781512503836436
MEN,1,-0.7781512503836436
MEN,1,-0.7781512503836436
MEN,1,-0.7781512503836436
MEN,1,-0.7781512503836436
GLIO,21,0.5440680443502757
GLIO,8,0.12493873660829993
GLIO,6,0.0
GLIO,6,0.0
GLIO,5,-0.0791812460476248
GLIO,4,-0.17609125905568127
GLIO,3,-0.3010299956639812
cSCC,753,2.098643725817057
cSCC,740,2.0910804693473324
cSCC,686,2.058172865323108
cSCC,663,2.0433622780211294
cSCC,654,2.037426497940624
cSCC,634,2.023938007498089
cSCC,614,2.010017120757524
cSCC,537,1.951823035315912
cSCC,503,1.9234167346722837
cSCC,493,1.9146956688935863
cSCC,450,1.8750612633917
cSCC,448,1.8731267636145004
cSCC,448,1.8731267636145004
cSCC,407,1.8314431588415763
cSCC,405,1.8293037728310249
cSCC,384,1.806179973983887
cSCC,377,1.7981900998221492
cSCC,371,1.7912226592314022
cSCC,371,1.7912226592314022
cSCC,360,1.7781512503836436
cSCC,358,1.7757317762602307
cSCC,353,1.769623455004179
cSCC,326,1.7350663496842953
cSCC,326,1.7350663496842953
cSCC,307,1.708987125093543
cSCC,298,1.6960650136926116
