	T:ACA>AAA	T:ACC>AAC	T:ACG>AAG	T:ACT>AAT	T:CCA>CAA	T:CCC>CAC	T:CCG>CAG	T:CCT>CAT	T:GCA>GAA	T:GCC>GAC	T:GCG>GAG	T:GCT>GAT	T:TCA>TAA	T:TCC>TAC	T:TCG>TAG	T:TCT>TAT	T:ACA>AGA	T:ACC>AGC	T:ACG>AGG	T:ACT>AGT	T:CCA>CGA	T:CCC>CGC	T:CCG>CGG	T:CCT>CGT	T:GCA>GGA	T:GCC>GGC	T:GCG>GGG	T:GCT>GGT	T:TCA>TGA	T:TCC>TGC	T:TCG>TGG	T:TCT>TGT	T:ACA>ATA	T:ACC>ATC	T:ACG>ATG	T:ACT>ATT	T:CCA>CTA	T:CCC>CTC	T:CCG>CTG	T:CCT>CTT	T:GCA>GTA	T:GCC>GTC	T:GCG>GTG	T:GCT>GTT	T:TCA>TTA	T:TCC>TTC	T:TCG>TTG	T:TCT>TTT	T:ATA>AAA	T:ATC>AAC	T:ATG>AAG	T:ATT>AAT	T:CTA>CAA	T:CTC>CAC	T:CTG>CAG	T:CTT>CAT	T:GTA>GAA	T:GTC>GAC	T:GTG>GAG	T:GTT>GAT	T:TTA>TAA	T:TTC>TAC	T:TTG>TAG	T:TTT>TAT	T:ATA>ACA	T:ATC>ACC	T:ATG>ACG	T:ATT>ACT	T:CTA>CCA	T:CTC>CCC	T:CTG>CCG	T:CTT>CCT	T:GTA>GCA	T:GTC>GCC	T:GTG>GCG	T:GTT>GCT	T:TTA>TCA	T:TTC>TCC	T:TTG>TCG	T:TTT>TCT	T:ATA>AGA	T:ATC>AGC	T:ATG>AGG	T:ATT>AGT	T:CTA>CGA	T:CTC>CGC	T:CTG>CGG	T:CTT>CGT	T:GTA>GGA	T:GTC>GGC	T:GTG>GGG	T:GTT>GGT	T:TTA>TGA	T:TTC>TGC	T:TTG>TGG	T:TTT>TGT	U:ACA>AAA	U:ACC>AAC	U:ACG>AAG	U:ACT>AAT	U:CCA>CAA	U:CCC>CAC	U:CCG>CAG	U:CCT>CAT	U:GCA>GAA	U:GCC>GAC	U:GCG>GAG	U:GCT>GAT	U:TCA>TAA	U:TCC>TAC	U:TCG>TAG	U:TCT>TAT	U:ACA>AGA	U:ACC>AGC	U:ACG>AGG	U:ACT>AGT	U:CCA>CGA	U:CCC>CGC	U:CCG>CGG	U:CCT>CGT	U:GCA>GGA	U:GCC>GGC	U:GCG>GGG	U:GCT>GGT	U:TCA>TGA	U:TCC>TGC	U:TCG>TGG	U:TCT>TGT	U:ACA>ATA	U:ACC>ATC	U:ACG>ATG	U:ACT>ATT	U:CCA>CTA	U:CCC>CTC	U:CCG>CTG	U:CCT>CTT	U:GCA>GTA	U:GCC>GTC	U:GCG>GTG	U:GCT>GTT	U:TCA>TTA	U:TCC>TTC	U:TCG>TTG	U:TCT>TTT	U:ATA>AAA	U:ATC>AAC	U:ATG>AAG	U:ATT>AAT	U:CTA>CAA	U:CTC>CAC	U:CTG>CAG	U:CTT>CAT	U:GTA>GAA	U:GTC>GAC	U:GTG>GAG	U:GTT>GAT	U:TTA>TAA	U:TTC>TAC	U:TTG>TAG	U:TTT>TAT	U:ATA>ACA	U:ATC>ACC	U:ATG>ACG	U:ATT>ACT	U:CTA>CCA	U:CTC>CCC	U:CTG>CCG	U:CTT>CCT	U:GTA>GCA	U:GTC>GCC	U:GTG>GCG	U:GTT>GCT	U:TTA>TCA	U:TTC>TCC	U:TTG>TCG	U:TTT>TCT	U:ATA>AGA	U:ATC>AGC	U:ATG>AGG	U:ATT>AGT	U:CTA>CGA	U:CTC>CGC	U:CTG>CGG	U:CTT>CGT	U:GTA>GGA	U:GTC>GGC	U:GTG>GGG	U:GTT>GGT	U:TTA>TGA	U:TTC>TGC	U:TTG>TGG	U:TTT>TGT
CATD292a	0	0	3.1161117144407	0	4.74516705988837	0	1.34383972191083	1.10103376713569	1.16196595742031	0.815626867505669	1.09149648872011	0	0	0	0.498823259791655	0	8.9523111152413	2.14666028424167	1.03870390481357	1.51539838425712	1.18629176497209	2.1948328860274	4.36747909621019	0	3.48589787226094	4.07813433752834	3.27448946616034	2.15500608799155	2.97137142079184	0	1.99529303916662	0	1.49205185254022	0	1.03870390481357	0	2.37258352994419	2.1948328860274	0.671919860955414	1.10103376713569	0	0	0.727664325813408	2.15500608799155	1.48568571039592	1.05934231179965	0	0	2.28731565986261	0	1.61605408967355	0	0	0	2.18841549945034	0	1.51377849402102	2.02730829518003	0	0	0	0	3.16052874839324	0	2.28731565986261	0	1.61605408967355	4.06762467023429	1.85590050313244	2.24154332383063	7.6594542480762	3.99202899287237	4.54133548206305	1.01365414759001	3.51172353466075	10.0750024176942	1.9322947504035	2.70319109255156	1.58026437419662	5.47043711938272	2.28731565986261	1.4972110985637	4.84816226902065	0	0	2.24154332383063	4.37683099890069	0	0	1.01365414759001	2.34114902310716	0	0	1.35159554627578	6.32105749678648	0	0	0	1.03870390481357	0	0	2.1948328860274	1.67979965238854	1.10103376713569	0	0.815626867505669	1.45532865162682	1.07750304399577	0	1.05934231179965	1.49646977937496	0	0	1.07333014212083	0.519351952406783	1.51539838425712	2.37258352994419	4.3896657720548	5.37535888764331	6.60620260281413	1.16196595742031	4.89376120503401	1.45532865162682	1.07750304399577	4.45705713118776	2.11868462359929	2.49411629895827	2.80474016161685	1.49205185254022	2.14666028424167	2.07740780962713	0	2.37258352994419	0.731610962009134	2.01575958286624	0	1.16196595742031	0.815626867505669	0.727664325813408	1.07750304399577	2.97137142079184	4.23736924719859	0	0	0	0	0	0	1.85590050313244	2.24154332383063	3.28262324917552	0	0	0	1.17057451155358	0	0	0	1.58026437419662	1.82347903979424	4.57463131972522	4.49163329569111	0	8.13524934046858	1.85590050313244	4.48308664766126	6.56524649835103	3.99202899287237	1.51377849402102	5.06827073795006	9.36459609242865	1.4392860596706	3.86458950080701	5.40638218510312	7.90132187098311	1.82347903979424	0	0	0	0	0	2.24154332383063	0	1.33067633095746	0	2.02730829518003	1.17057451155358	0	0	0	1.58026437419662	0
CATD0653a	0	0	0	0	0	0	0.303869269908179	0	1.05097577153743	0	0	0	1.34377403724632	0.958154665681959	0	0	0	0	0	0	0	0.661727988115797	0	0.995863781993414	0	0	0.329079165942112	0	0	0	0	0	0	0	0	0	0	1.98518396434739	0.303869269908179	3.98345512797365	1.05097577153743	0.737718752334629	0	1.94916139455841	4.03132211173897	5.74892799409175	1.80470402587092	10.1473332725221	2.0688328474878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.64930158107623	0	0	0	0	0	0	0	0	1.3691834175784	0	0	0	0	1.22249207300994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.44498414601988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.34377403724632	0	0	0	0	0	0	0	0	0	0	0.995863781993414	0	0	0	0	0	0	0	0	0	0.970806388109853	0	2.74129715403546	4.29191197899805	7.27900786927377	1.5193463495409	7.96691025594731	0	2.21315625700389	0	1.94916139455841	10.7501922979706	13.4141653195474	2.70705603880638	10.1473332725221	0	0	0	1.8395439852709	1.67862616862429	0	0	0	0	0	1.05876204252433	0	0	0	0	1.64930158107623	0	0	0	0	1.67862616862429	0	0	0	0	0	0	1.30180644911804	1.74772329014838	0	0	1.64930158107623	0	0	1.46168971895836	0	0	0	0	0	0	0	1.05876204252433	0	0	2.44498414601988	0	0
CATD294a	0	0	0	1.33467567488654	0	0.644360825917481	0	0.969727169760107	0	0	0	0	1.30850646192554	0.933007735540233	0.439334816394109	1.23512685079259	0	0	0	0	0	0	0	0.969727169760107	0	0	0	0	1.30850646192554	0	0	1.23512685079259	0	0	0	0	1.04481750704957	0.644360825917481	0.295894169878625	2.90918150928032	0	0.718357199765247	0.32044242795665	0.949002663179133	1.30850646192554	5.5980464132414	2.63600889836466	4.94050740317037	0	1.31865736045557	0	1.79126484438991	0	0	0	1.17198312240965	0	0	0	0	0	0	0	4.81804615214484	0	0	0	0	0	1.97422234285124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.987111171425619	0	0	0	0	0	0	1.70185399883397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.23512685079259	0	0	0	0	0	0.644360825917481	0	0	0	0	0	0	0	0	0	0	0	0.945327411387902	0	0	6.26890504229744	3.2218041295874	1.77536501927175	5.81836301856064	0	1.43671439953049	0	1.89800532635827	6.5425323096277	9.33007735540233	2.19667408197055	16.0566490603037	0	0	0	3.58252968877982	0	0	0	0	1.3332489688028	0	1.03097465487839	0	0	0	0	3.21203076809656	0	0	0	0	0	0	0	1.17198312240965	0	0	0	1.26764032019696	0	1.19040756321223	0	3.21203076809656	0	0	0	0	0	0.987111171425619	0	0	0	0.892768230183552	1.03097465487839	0	0	0	0	3.21203076809656
CATD283a	0	0	0	0	0	0	0.275142831214947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.08979083490627	0	0	0	0	0	0	0	0	1.87325466356067	0	0	1.66564174259807	0	0.917884129117366	0	0	0	0	0	0	0	0	0	0	0	0	1.32350812490354	0	0	0	0	0	0	0	0	0	0	0	1.29419723764774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.24107360443309	0	0	0	0	0	0	0.297969496680351	0.882448206683959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.297969496680351	0.882448206683959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.958671424889693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CATD0645a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.56413775720165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.32313414700104	0	0	0	0	0	0	0	0	0	1.1127280957973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CATD0670a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.813177947859169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.593116471195047	0	0	0	0	0	0	0	0.846643669044613	0	1.933883964042	0	0	0	0	0	0	0	0	0	0.813177947859169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CATD0650a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.499787821580368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.499787821580368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.39243324232945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.60799111450982	0	0	0	0	0
CATD289a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.643734411215868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.35626558878413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CATD0144a	0	0	0.486035879570544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0240150703314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.24531435367367	0	0	0	0	0	0	0	0	0	0	0	1.90334466367008	0	0	0	0	0	0	0	0	0	1.26489161562493	1.47889149450056	0	0	0	0	0	0	0	0.31440833052322	0	0	0	0	0	0	0.991386226422725	0	0	0	1.0044767469877	0	0	0	0	0	0	1.08742663530697	0.76330496133186	0	0	0	0	0	0	0	0	0	0	0	0	0.31440833052322	0	0	0	0	0	1.39037998735025	0	0.46682408855794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.26489161562493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CATD293a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.06501563016013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.21769107999666	0	0	0	0.717293289843208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
