Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
C5ORF22		1	1	115	0.9%	No
TSKS		1	1	115	0.9%	No
AVIL		1	1	115	0.9%	No
ZNF292		1	1	115	0.9%	Yes
NEXMIF		1	1	115	0.9%	No
HTR4		1	1	115	0.9%	No
PREX1		3	3	115	2.6%	No
PSMD2		1	1	115	0.9%	No
AKT1		4	4	115	3.5%	Yes
MTERF1		1	1	115	0.9%	No
PRKACA		1	1	115	0.9%	Yes
GTSE1		1	1	115	0.9%	Yes
SAMD11		1	1	115	0.9%	No
GBP5		1	1	115	0.9%	No
OR2L3		1	1	115	0.9%	No
PHKA1		1	1	115	0.9%	No
UPB1		1	1	115	0.9%	No
EWSR1		1	1	115	0.9%	Yes
PRKAR1A		1	1	115	0.9%	Yes
ETHE1		1	1	115	0.9%	No
TXNIP		1	1	115	0.9%	No
ENTHD1		1	1	115	0.9%	No
SKAP1		1	1	115	0.9%	No
FLG		13	10	115	8.7%	No
SHMT2		1	1	115	0.9%	No
DHH		3	3	115	2.6%	No
C5ORF47		1	1	115	0.9%	No
BAZ2A		1	1	115	0.9%	No
LYPD3		1	1	115	0.9%	No
AGAP3		1	1	115	0.9%	No
SLC5A3		1	1	115	0.9%	No
MRPL13		1	1	115	0.9%	No
EPB41L2		1	1	115	0.9%	No
ADAMTS18		1	1	115	0.9%	No
NPBWR2		1	1	115	0.9%	No
AFMID		1	1	115	0.9%	No
CTC1		3	3	115	2.6%	No
CREBBP		6	6	115	5.2%	Yes
FUCA2		1	1	115	0.9%	No
NR0B1		1	1	115	0.9%	No
ZNF35		1	1	115	0.9%	No
HRNR		1	1	115	0.9%	No
C12ORF76		1	1	115	0.9%	No
COL1A1		1	1	115	0.9%	Yes
FAM135B		1	1	115	0.9%	No
FAT1		1	1	115	0.9%	Yes
DCHS1		1	1	115	0.9%	No
FAT4		4	4	115	3.5%	Yes
FERMT3		1	1	115	0.9%	No
SNORA81		1	1	115	0.9%	No
PIGO		1	1	115	0.9%	No
ZNF43		1	1	115	0.9%	No
EFCAB6		2	2	115	1.7%	No
OSBPL11		1	1	115	0.9%	No
AACS		1	1	115	0.9%	No
JPH4		1	1	115	0.9%	No
MED14		1	1	115	0.9%	No
LMBR1		1	1	115	0.9%	No
MMP26		1	1	115	0.9%	No
SLC18A2		1	1	115	0.9%	No
MYBPC1		1	1	115	0.9%	No
LRRC45		2	2	115	1.7%	No
CHST7		1	1	115	0.9%	No
CNOT6L		1	1	115	0.9%	No
ELOVL5		1	1	115	0.9%	No
TEX11		1	1	115	0.9%	No
EMP2		2	1	115	0.9%	No
RBSN		2	2	115	1.7%	No
SLC7A8		1	1	115	0.9%	No
INCENP		1	1	115	0.9%	No
MMP15		1	1	115	0.9%	No
MED21		2	2	115	1.7%	No
PIGK		1	1	115	0.9%	No
ZNF473		1	1	115	0.9%	No
SAMD7		1	1	115	0.9%	No
ZNF470		1	1	115	0.9%	No
LRRC18		1	1	115	0.9%	No
KCNA6		1	1	115	0.9%	No
PRR14L		2	2	115	1.7%	No
NRAP		1	1	115	0.9%	No
CARNS1		2	2	115	1.7%	No
STAT4		2	2	115	1.7%	Yes
SPOP		1	1	115	0.9%	Yes
DMD		6	5	115	4.3%	No
GC		2	2	115	1.7%	No
ZSWIM4		1	1	115	0.9%	No
SLF1		1	1	115	0.9%	No
KCNB2		1	1	115	0.9%	No
TMEM64		1	1	115	0.9%	No
CENPI		1	1	115	0.9%	No
WT1		1	1	115	0.9%	Yes
