Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
PGLYRP3		1	1	50	2.0%	No
PGLYRP2		1	1	50	2.0%	No
ALKBH3		1	1	50	2.0%	No
DPYSL4		1	1	50	2.0%	No
PRKACG		1	1	50	2.0%	No
ALKBH1		3	2	50	4.0%	No
FAM110C		1	1	50	2.0%	No
ZC3H12A		4	4	50	8.0%	No
PWWP2A		1	1	50	2.0%	No
PRKACA		1	1	50	2.0%	Yes
VSTM4		1	1	50	2.0%	No
PRKACB		1	1	50	2.0%	No
SPATA31G1		1	1	50	2.0%	No
SDS		1	1	50	2.0%	No
UNC5A		2	1	50	2.0%	No
UNC5B		3	3	50	6.0%	No
CACNA2D1		3	2	50	4.0%	No
CACNA2D3		2	2	50	4.0%	No
ZNF10		1	1	50	2.0%	No
CACNA2D2		1	1	50	2.0%	No
RC3H1		2	2	50	4.0%	No
UNC5C		2	2	50	4.0%	No
UNC5D		3	2	50	4.0%	No
BCR		2	2	50	4.0%	Yes
ABITRAM		1	1	50	2.0%	No
SPINT1		1	1	50	2.0%	No
AGTR2		2	2	50	4.0%	No
HOATZ		1	1	50	2.0%	No
OPTN		1	1	50	2.0%	No
SPATA31H1		2	2	50	4.0%	No
PLBD2		1	1	50	2.0%	No
SHMT1		1	1	50	2.0%	No
MEPCE		1	1	50	2.0%	No
ZNF20		1	1	50	2.0%	No
LYPD2		1	1	50	2.0%	No
ADAMTS12		1	1	50	2.0%	No
ADAMTS10		1	1	50	2.0%	No
ADAMTS15		1	1	50	2.0%	No
LARP1		1	1	50	2.0%	No
ADAMTS19		1	1	50	2.0%	No
ADAMTS18		2	2	50	4.0%	No
ADAMTS17		1	1	50	2.0%	No
RDH14		1	1	50	2.0%	No
CREBBP		11	8	50	16.0%	Yes
GSTM2		1	1	50	2.0%	No
PRPF38B		1	1	50	2.0%	No
JUP		1	1	50	2.0%	No
BTBD17		1	1	50	2.0%	No
EIF2AK3		1	1	50	2.0%	No
LNPEP		1	1	50	2.0%	No
EIF2AK4		1	1	50	2.0%	No
DHFR		1	1	50	2.0%	No
PKIB		1	1	50	2.0%	No
LAS1L		1	1	50	2.0%	No
AGO3		1	1	50	2.0%	No
FXYD2		1	1	50	2.0%	No
L1TD1		1	1	50	2.0%	No
DZIP1		1	1	50	2.0%	No
SPMAP2		1	1	50	2.0%	No
KCNC2		1	1	50	2.0%	No
DPYS		1	1	50	2.0%	No
ZNF43		1	1	50	2.0%	No
PRKAG2		2	2	50	4.0%	No
JRKL		1	1	50	2.0%	No
SNX11		1	1	50	2.0%	No
BBC3		1	1	50	2.0%	Yes
NPAP1		1	1	50	2.0%	No
NHSL2		1	1	50	2.0%	No
NEFM		1	1	50	2.0%	No
JAK3		1	1	50	2.0%	Yes
JAK1		1	1	50	2.0%	Yes
SLC18A3		1	1	50	2.0%	No
APC2		1	1	50	2.0%	No
DUSP2		40	8	50	16.0%	Yes
CHST6		1	1	50	2.0%	No
MYBPC1		1	1	50	2.0%	No
KCND1		1	1	50	2.0%	No
MYBPC2		1	1	50	2.0%	No
RING1		1	1	50	2.0%	No
KCND3		1	1	50	2.0%	No
TEX10		1	1	50	2.0%	No
TEX11		1	1	50	2.0%	No
BGN		1	1	50	2.0%	No
TEX15		1	1	50	2.0%	No
DUSP8		1	1	50	2.0%	No
DUSP6		1	1	50	2.0%	No
MMP10		1	1	50	2.0%	No
DUSP7		1	1	50	2.0%	No
MMP11		1	1	50	2.0%	No
MMP16		1	1	50	2.0%	No
SDHAF2		1	1	50	2.0%	Yes
DPYD		3	3	50	6.0%	Yes
RAPGEF2		2	2	50	4.0%	No
RAPGEF5		1	1	50	2.0%	No
CHST4		1	1	50	2.0%	No
RAPGEF3		1	1	50	2.0%	No
CHST3		1	1	50	2.0%	No
PKN3		1	1	50	2.0%	No
SYNPO2		1	1	50	2.0%	No
SPESP1		1	1	50	2.0%	No
ADAM21		2	2	50	4.0%	No
SNX32		1	1	50	2.0%	No
KCNA6		2	2	50	4.0%	No
SNX27		1	1	50	2.0%	No
PLAGL2		1	1	50	2.0%	No
STX5		1	1	50	2.0%	No
RICTOR		1	1	50	2.0%	Yes
EGLN1		1	1	50	2.0%	No
MBD4		1	1	50	2.0%	Yes
RIC3		1	1	50	2.0%	No
MBD5		1	1	50	2.0%	No
RIC1		1	1	50	2.0%	No
EGLN2		1	1	50	2.0%	No
ATAD5		1	1	50	2.0%	No
KCNB2		5	5	50	10.0%	No
APEX2		1	1	50	2.0%	No
PASD1		1	1	50	2.0%	No
ADAM32		1	1	50	2.0%	No
ZNF77		1	1	50	2.0%	No
ADAM30		1	1	50	2.0%	No
DCBLD2		2	2	50	4.0%	No
SNX19		1	1	50	2.0%	No
SNX17		1	1	50	2.0%	No
CCDC8		1	1	50	2.0%	No
CCDC7		1	1	50	2.0%	No
PWWP3B		2	2	50	4.0%	No
AGRN		1	1	50	2.0%	No
LGR5		1	1	50	2.0%	Yes
ALDH1L1		3	2	50	4.0%	No
RIF1		1	1	50	2.0%	No
MSI2		1	1	50	2.0%	Yes
ATP12A		1	1	50	2.0%	No
FBXO22		1	1	50	2.0%	No
FADS2		2	1	50	2.0%	No
EFEMP1		1	1	50	2.0%	No
POFUT1		1	1	50	2.0%	No
NEK1		2	2	50	4.0%	No
POTEE		1	1	50	2.0%	No
MAP3K6		1	1	50	2.0%	Yes
MAP3K4		1	1	50	2.0%	No
UGT2B10		2	2	50	4.0%	No
KCNH5		1	1	50	2.0%	No
FBXW8		1	1	50	2.0%	No
KCNH6		1	1	50	2.0%	No
KCNH7		1	1	50	2.0%	No
KCNH8		1	1	50	2.0%	No
STX7		1	1	50	2.0%	No
FBXO15		1	1	50	2.0%	No
ATP11A		1	1	50	2.0%	No
FBXO11		4	3	50	6.0%	Yes
MSH6		1	1	50	2.0%	Yes
NPAS4		1	1	50	2.0%	No
MINPP1		1	1	50	2.0%	No
MSH3		1	1	50	2.0%	Yes
LGSN		1	1	50	2.0%	No
MSH4		1	1	50	2.0%	No
SRSF2		3	3	50	6.0%	Yes
PKP4		2	2	50	4.0%	No
PTPRCAP		1	1	50	2.0%	No
SRSF5		1	1	50	2.0%	No
SRSF7		3	2	50	4.0%	No
GRIA1		2	2	50	4.0%	No
GRIA2		4	4	50	8.0%	No
KMT2D		20	14	50	28.0%	Yes
KMT2A		3	3	50	6.0%	Yes
ZC4H2		2	2	50	4.0%	No
KMT2C		6	2	50	4.0%	Yes
CES5A		1	1	50	2.0%	No
NPAS3		1	1	50	2.0%	No
LOXHD1		1	1	50	2.0%	No
ZKSCAN8		1	1	50	2.0%	No
MBIP		1	1	50	2.0%	No
TNFRSF17		1	1	50	2.0%	Yes
TNFRSF14		4	4	50	8.0%	Yes
AP4S1		1	1	50	2.0%	No
ZKSCAN5		1	1	50	2.0%	No
BMF		1	1	50	2.0%	No
KDSR		1	1	50	2.0%	Yes
GRIA4		1	1	50	2.0%	No
NOP14		1	1	50	2.0%	No
HTR1A		1	1	50	2.0%	No
FBXO34		1	1	50	2.0%	No
FAM90A1		1	1	50	2.0%	No
LRCH2		1	1	50	2.0%	No
SON		1	1	50	2.0%	No
SP3		2	2	50	4.0%	No
ADSS1		1	1	50	2.0%	No
CLPTM1L		1	1	50	2.0%	No
LRCH3		3	3	50	6.0%	No
TRIM77		1	1	50	2.0%	No
PIWIL1		2	2	50	4.0%	No
ALAS2		1	1	50	2.0%	No
PIWIL4		1	1	50	2.0%	No
PTEN		4	3	50	6.0%	Yes
DYSF		2	2	50	4.0%	No
HTR2A		1	1	50	2.0%	No
ECE2		1	1	50	2.0%	No
BMP15		1	1	50	2.0%	No
UNC80		2	2	50	4.0%	No
KIAA1549		2	2	50	4.0%	No
ARL5B		1	1	50	2.0%	No
TRIM68		1	1	50	2.0%	No
UNC45B		1	1	50	2.0%	No
GRID2		2	2	50	4.0%	No
TRIM62		1	1	50	2.0%	No
SLC36A2		1	1	50	2.0%	No
GRID1		3	3	50	6.0%	No
VPS13C		2	2	50	4.0%	No
VPS13A		1	1	50	2.0%	No
VPS13B		3	3	50	6.0%	No
HTR3D		1	1	50	2.0%	No
RABGGTB		2	1	50	2.0%	No
ADAMTS20		3	3	50	6.0%	No
MSL1		2	2	50	4.0%	No
TRIM59		3	2	50	4.0%	No
TOP1		1	1	50	2.0%	Yes
OR56A1		2	2	50	4.0%	No
TRIM50		1	1	50	2.0%	No
BLTP3A		2	2	50	4.0%	No
TRIM51		1	1	50	2.0%	No
CANT1		1	1	50	2.0%	Yes
UHRF2		4	3	50	6.0%	No
ATP10D		2	2	50	4.0%	No
ATP10B		1	1	50	2.0%	No
ATP10A		1	1	50	2.0%	No
SRL		1	1	50	2.0%	No
SRR		1	1	50	2.0%	No
ARL13B		1	1	50	2.0%	No
UBQLN1		2	2	50	4.0%	No
ZNF865		1	1	50	2.0%	No
E2F6		1	1	50	2.0%	No
SLC36A4		1	1	50	2.0%	No
ZNF862		1	1	50	2.0%	No
KCNJ3		1	1	50	2.0%	No
UBQLN2		2	2	50	4.0%	No
NOP58		2	2	50	4.0%	No
SSB		1	1	50	2.0%	No
SORL1		1	1	50	2.0%	No
HCRTR2		1	1	50	2.0%	No
BICC1		1	1	50	2.0%	No
TM6SF2		1	1	50	2.0%	No
UROC1		1	1	50	2.0%	No
PDCD1		1	1	50	2.0%	Yes
TRIM38		1	1	50	2.0%	No
ZNF853		1	1	50	2.0%	No
KCNK2		1	1	50	2.0%	No
TRIM33		1	1	50	2.0%	Yes
UNC79		2	2	50	4.0%	No
THSD7B		2	2	50	4.0%	No
CCP110		1	1	50	2.0%	No
ICAM4		1	1	50	2.0%	No
IKZF2		1	1	50	2.0%	Yes
IKZF3		1	1	50	2.0%	Yes
RCBTB2		1	1	50	2.0%	No
PEX26		1	1	50	2.0%	No
STS		1	1	50	2.0%	No
TRIM28		3	3	50	6.0%	No
TRIM29		2	2	50	4.0%	No
PEG10		1	1	50	2.0%	No
THSD7A		6	6	50	12.0%	No
FBXO7		1	1	50	2.0%	No
TRIM23		1	1	50	2.0%	No
GAREM1		2	2	50	4.0%	No
CRISPLD1		2	2	50	4.0%	No
PNLDC1		1	1	50	2.0%	No
BTK		2	2	50	4.0%	Yes
KCNQ3		1	1	50	2.0%	No
TP53		10	9	50	18.0%	Yes
CERKL		1	1	50	2.0%	No
TMEM63A		1	1	50	2.0%	No
AARS2		1	1	50	2.0%	No
TMEM63B		1	1	50	2.0%	No
RRAD		1	1	50	2.0%	No
TMEM63C		1	1	50	2.0%	No
MYCBP2		1	1	50	2.0%	No
CWF19L2		1	1	50	2.0%	No
ZBTB5		1	1	50	2.0%	No
MED12L		1	1	50	2.0%	No
SPMIP9		1	1	50	2.0%	No
PKHD1		2	2	50	4.0%	No
NKAIN2		1	1	50	2.0%	No
HLTF		1	1	50	2.0%	No
H3C1		1	1	50	2.0%	Yes
H3C3		1	1	50	2.0%	Yes
H3C2		2	2	50	4.0%	Yes
APOB		2	2	50	4.0%	No
H3C4		3	2	50	4.0%	Yes
H3C7		2	2	50	4.0%	Yes
BBS2		1	1	50	2.0%	No
MSR1		1	1	50	2.0%	No
XBP1		3	1	50	2.0%	Yes
FAM9B		1	1	50	2.0%	No
SPHKAP		1	1	50	2.0%	No
SLC10A1		1	1	50	2.0%	No
SUCO		1	1	50	2.0%	No
NBEAL1		1	1	50	2.0%	No
NBEAL2		2	2	50	4.0%	No
CPLANE1		1	1	50	2.0%	No
CFAP119		1	1	50	2.0%	No
SPMIP4		1	1	50	2.0%	No
POLA1		1	1	50	2.0%	No
PEX5L		1	1	50	2.0%	No
SPMIP5		1	1	50	2.0%	No
PTK7		2	2	50	4.0%	Yes
NDUFAF7		1	1	50	2.0%	No
NDUFAF5		1	1	50	2.0%	No
FAM30A		3	2	50	4.0%	No
ITGBL1		1	1	50	2.0%	No
GRB2		7	5	50	10.0%	No
FBXL5		1	1	50	2.0%	No
FBXL7		2	2	50	4.0%	No
SPAG17		2	2	50	4.0%	No
MRPS16		1	1	50	2.0%	No
GRIK3		1	1	50	2.0%	No
GRIK4		1	1	50	2.0%	No
GRIK2		1	1	50	2.0%	No
C8B		1	1	50	2.0%	No
HERPUD1		1	1	50	2.0%	Yes
SYNCRIP		1	1	50	2.0%	No
PCM1		3	3	50	6.0%	Yes
PCLO		8	7	50	14.0%	Yes
KCNT1		1	1	50	2.0%	No
KCNT2		1	1	50	2.0%	No
CNTRL		1	1	50	2.0%	Yes
RAC2		2	2	50	4.0%	Yes
GIT1		1	1	50	2.0%	No
H3C8		2	1	50	2.0%	Yes
PCYT1B		1	1	50	2.0%	No
ZHX2		1	1	50	2.0%	No
SYK		1	1	50	2.0%	Yes
GAB1		1	1	50	2.0%	Yes
PRPF40B		1	1	50	2.0%	No
PRPF40A		1	1	50	2.0%	No
RNF144A		1	1	50	2.0%	No
CNKSR2		1	1	50	2.0%	No
RAP2C		1	1	50	2.0%	No
ANKFN1		2	2	50	4.0%	No
SLTM		1	1	50	2.0%	No
TAX1BP1		1	1	50	2.0%	No
MICU3		1	1	50	2.0%	No
FAM193A		2	1	50	2.0%	No
ARHGEF2		1	1	50	2.0%	No
ARHGEF7		1	1	50	2.0%	No
CYLC1		3	2	50	4.0%	No
PTMA		1	1	50	2.0%	No
ARHGEF6		1	1	50	2.0%	No
PRICKLE2		1	1	50	2.0%	No
SH3BGRL		1	1	50	2.0%	No
SLX4		1	1	50	2.0%	Yes
FHIP1A		1	1	50	2.0%	No
PCNT		1	1	50	2.0%	No
FILIP1L		1	1	50	2.0%	No
DYNC1I1		2	2	50	4.0%	No
MAP3K2		1	1	50	2.0%	No
DYNC1H1		2	2	50	4.0%	No
MAP3K3		1	1	50	2.0%	No
PEX19		1	1	50	2.0%	No
KLHL2		1	1	50	2.0%	No
KLHL4		3	2	50	4.0%	No
KCNRG		1	1	50	2.0%	No
PEX13		1	1	50	2.0%	No
YIF1B		1	1	50	2.0%	No
VMP1		10	4	50	8.0%	No
RP1L1		1	1	50	2.0%	No
ETAA1		1	1	50	2.0%	Yes
FHIP2A		1	1	50	2.0%	No
KLHL6		10	7	50	14.0%	Yes
KCNS3		2	2	50	4.0%	No
CACHD1		1	1	50	2.0%	No
NEK10		1	1	50	2.0%	No
TACC1		1	1	50	2.0%	No
TACC2		1	1	50	2.0%	No
ZFP28		1	1	50	2.0%	No
KLB		1	1	50	2.0%	No
PRDM7		1	1	50	2.0%	No
PRDM9		4	4	50	8.0%	No
NUP188		1	1	50	2.0%	No
PLAT		1	1	50	2.0%	No
PRDM1		4	3	50	6.0%	Yes
ETS1		5	3	50	6.0%	Yes
ETS2		1	1	50	2.0%	No
IGF1R		1	1	50	2.0%	Yes
DMBT1		1	1	50	2.0%	No
ENPP3		1	1	50	2.0%	No
RAG2		2	2	50	4.0%	No
TGM2		1	1	50	2.0%	No
ENPP7		1	1	50	2.0%	No
CARD10		1	1	50	2.0%	No
SPINK5		3	3	50	6.0%	No
ADAM10		1	1	50	2.0%	No
ZNF99		1	1	50	2.0%	No
ZNF90		1	1	50	2.0%	No
SLFN11		1	1	50	2.0%	Yes
ZNF92		1	1	50	2.0%	No
SLFN14		1	1	50	2.0%	No
ADAM12		1	1	50	2.0%	No
RAF1		4	3	50	6.0%	Yes
CARD14		1	1	50	2.0%	No
CARD11		10	9	50	18.0%	Yes
COX19		1	1	50	2.0%	No
TSG101		1	1	50	2.0%	No
OR9Q2		1	1	50	2.0%	No
RAI1		1	1	50	2.0%	No
RNASEH1		2	2	50	4.0%	No
GRK4		1	1	50	2.0%	No
GRK6		1	1	50	2.0%	No
LPXN		1	1	50	2.0%	No
ECT2		1	1	50	2.0%	No
CNTLN		2	2	50	4.0%	No
DENND4B		1	1	50	2.0%	No
AUTS2		1	1	50	2.0%	No
CNTN5		5	4	50	8.0%	No
CNTN6		1	1	50	2.0%	No
PCIF1		1	1	50	2.0%	No
CHCHD10		1	1	50	2.0%	No
NUP153		1	1	50	2.0%	No
IGF2R		1	1	50	2.0%	No
BLTP1		3	3	50	6.0%	No
SDK1		2	2	50	4.0%	No
MKRN2		1	1	50	2.0%	No
RSPH14		1	1	50	2.0%	No
CNTN3		2	2	50	4.0%	No
ZMYND15		1	1	50	2.0%	No
TTC22		1	1	50	2.0%	No
TNFAIP3		5	5	50	10.0%	Yes
GRM1		1	1	50	2.0%	No
GRM3		2	2	50	4.0%	Yes
GRM2		1	1	50	2.0%	No
CYP26B1		1	1	50	2.0%	No
GRM4		1	1	50	2.0%	No
GRM7		2	2	50	4.0%	No
GRM6		1	1	50	2.0%	No
ZIC3		1	1	50	2.0%	No
MYBL1		1	1	50	2.0%	Yes
SUN1		1	1	50	2.0%	No
CAD		1	1	50	2.0%	Yes
SHROOM3		1	1	50	2.0%	No
ETV1		2	2	50	4.0%	Yes
ETV5		1	1	50	2.0%	Yes
TTC38		1	1	50	2.0%	No
SHROOM4		1	1	50	2.0%	No
ETV6		4	3	50	6.0%	Yes
OXLD1		1	1	50	2.0%	No
ACOX1		1	1	50	2.0%	No
SPATA31D1		1	1	50	2.0%	No
ZMYND12		1	1	50	2.0%	No
SHANK2		1	1	50	2.0%	No
PLEC		1	1	50	2.0%	No
SHANK1		2	2	50	4.0%	No
PTX4		1	1	50	2.0%	No
SLC3A1		1	1	50	2.0%	No
MTA1		1	1	50	2.0%	No
NWD2		1	1	50	2.0%	No
CBS		1	1	50	2.0%	No
SLIT1		1	1	50	2.0%	No
CLVS2		1	1	50	2.0%	No
PTK2B		1	1	50	2.0%	No
SLIT3		2	2	50	4.0%	Yes
OXCT2		1	1	50	2.0%	No
ZPLD1		1	1	50	2.0%	No
SLIT2		1	1	50	2.0%	Yes
SPATA31E1		1	1	50	2.0%	No
HSD3B7		1	1	50	2.0%	No
TTC12		2	2	50	4.0%	No
RRM2		1	1	50	2.0%	No
HSD3B2		2	2	50	4.0%	No
ZIC4		1	1	50	2.0%	No
USF3		3	2	50	4.0%	No
TBX19		1	1	50	2.0%	No
HS3ST4		1	1	50	2.0%	No
USF1		1	1	50	2.0%	No
TBX18		1	1	50	2.0%	No
HS3ST1		1	1	50	2.0%	No
HS3ST2		2	2	50	4.0%	No
TTC17		2	2	50	4.0%	No
GALC		1	1	50	2.0%	No
TBX15		1	1	50	2.0%	No
TNIP1		1	1	50	2.0%	No
COL7A1		2	2	50	4.0%	No
SARDH		5	4	50	8.0%	No
ERCC5		1	1	50	2.0%	Yes
PRSS1		1	1	50	2.0%	Yes
FRMPD3		1	1	50	2.0%	No
FRMPD4		1	1	50	2.0%	No
RRP1		1	1	50	2.0%	No
FRMPD2		2	2	50	4.0%	No
MRGPRF		1	1	50	2.0%	No
SLC4A1		2	2	50	4.0%	No
SMC5		2	2	50	4.0%	No
CWH43		1	1	50	2.0%	No
SLC4A3		1	1	50	2.0%	No
SMC3		1	1	50	2.0%	Yes
CAPN15		1	1	50	2.0%	No
SLC4A5		1	1	50	2.0%	No
WDR87		1	1	50	2.0%	No
ELK3		1	1	50	2.0%	No
ELK4		1	1	50	2.0%	Yes
TFG		1	1	50	2.0%	Yes
SCN11A		1	1	50	2.0%	No
WDR93		2	2	50	4.0%	No
MSANTD2		1	1	50	2.0%	No
EVA1C		1	1	50	2.0%	No
ZSCAN32		2	2	50	4.0%	No
LUC7L		2	2	50	4.0%	No
VPS35		1	1	50	2.0%	No
VPS39		1	1	50	2.0%	No
NUP214		1	1	50	2.0%	Yes
RSPH6A		1	1	50	2.0%	No
VPS18		1	1	50	2.0%	No
MBNL1		1	1	50	2.0%	No
PRKCI		1	1	50	2.0%	Yes
NUP210		3	3	50	6.0%	No
PRKCB		2	2	50	4.0%	Yes
DNAAF2		2	1	50	2.0%	No
PRKCE		1	1	50	2.0%	No
PRKCD		7	5	50	10.0%	No
WDR75		2	2	50	4.0%	No
DNAAF6		1	1	50	2.0%	No
TAAR2		1	1	50	2.0%	No
ARMC8		3	3	50	6.0%	No
HCFC1		1	1	50	2.0%	No
SCN10A		1	1	50	2.0%	No
ADCY9		1	1	50	2.0%	No
ARMC5		1	1	50	2.0%	No
DAAM2		1	1	50	2.0%	No
PARD3		2	2	50	4.0%	No
HECW2		2	2	50	4.0%	No
HECW1		2	2	50	4.0%	No
PRKCQ		1	1	50	2.0%	No
PRKD2		2	2	50	4.0%	No
SRFBP1		1	1	50	2.0%	No
TARS1		1	1	50	2.0%	No
FREM1		1	1	50	2.0%	No
PI4K2A		1	1	50	2.0%	No
FREM2		2	2	50	4.0%	No
FREM3		1	1	50	2.0%	No
NUP205		1	1	50	2.0%	No
PRKDC		2	2	50	4.0%	Yes
PRDM15		2	2	50	4.0%	No
PRDM13		1	1	50	2.0%	No
BCL10		2	2	50	4.0%	Yes
PRDM12		1	1	50	2.0%	No
SDSL		1	1	50	2.0%	No
PRKCZ		1	1	50	2.0%	No
XKRX		1	1	50	2.0%	No
WDR70		1	1	50	2.0%	No
RRS1		1	1	50	2.0%	No
VPS11		1	1	50	2.0%	No
ST3GAL6		2	2	50	4.0%	No
PLK4		1	1	50	2.0%	No
WDR59		1	1	50	2.0%	No
ARPP21		2	2	50	4.0%	No
