Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
PGLYRP3		2	2	209	1.0%	No
PGLYRP2		4	3	209	1.4%	No
HTR4		1	1	209	0.5%	No
PTPDC1		1	1	209	0.5%	No
BBX		2	2	209	1.0%	No
SPATA31G1		2	2	209	1.0%	No
ZNF17		2	2	209	1.0%	No
ZNF18		1	1	209	0.5%	No
PRKAB2		1	1	209	0.5%	No
ZNF19		1	1	209	0.5%	No
UNC5B		2	2	209	1.0%	No
RC3H1		3	3	209	1.4%	No
UNC5C		3	3	209	1.4%	No
ZNF12		1	1	209	0.5%	No
UNC5D		3	3	209	1.4%	No
BHLHA15		1	1	209	0.5%	No
RC3H2		2	2	209	1.0%	No
ZNF16		1	1	209	0.5%	No
BCR		2	2	209	1.0%	Yes
SCO1		1	1	209	0.5%	No
TFR2		1	1	209	0.5%	No
SCO2		1	1	209	0.5%	No
AGTR1		3	3	209	1.4%	No
SPATA31H1		2	2	209	1.0%	No
UNC119B		2	2	209	1.0%	No
COL13A1		1	1	209	0.5%	No
FAXDC2		1	1	209	0.5%	No
ZNF20		2	2	209	1.0%	No
ADAMTS12		1	1	209	0.5%	No
ZNF25		2	2	209	1.0%	No
ADAMTS10		3	3	209	1.4%	No
ADAMTS16		5	5	209	2.4%	No
ADAMTS14		2	2	209	1.0%	No
ADAMTS13		2	2	209	1.0%	No
LARP1		1	1	209	0.5%	No
RDH11		1	1	209	0.5%	No
ADAMTS18		3	3	209	1.4%	No
ADAMTS17		1	1	209	0.5%	No
RDH14		1	1	209	0.5%	No
HCRT		1	1	209	0.5%	No
PRPF38B		2	2	209	1.0%	No
KRTAP16-1		1	1	209	0.5%	No
NEBL		2	2	209	1.0%	No
LARP7		1	1	209	0.5%	No
ZNF34		1	1	209	0.5%	No
L1CAM		1	1	209	0.5%	No
LARP4		2	2	209	1.0%	No
SPATA31J1		1	1	209	0.5%	No
MOV10		1	1	209	0.5%	No
PPFIBP1		2	2	209	1.0%	Yes
LAS1L		2	2	209	1.0%	No
FXYD3		1	1	209	0.5%	No
ZNF30		1	1	209	0.5%	No
SFXN4		1	1	209	0.5%	No
STRN		1	1	209	0.5%	Yes
HYOU1		1	1	209	0.5%	No
L1TD1		1	1	209	0.5%	No
DZIP3		1	1	209	0.5%	No
SPMAP2		1	1	209	0.5%	No
SFXN5		2	2	209	1.0%	No
KCNC1		1	1	209	0.5%	No
ZNF43		1	1	209	0.5%	No
